move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0136,0.28,40,40,40
3,0.0109,0.0109,0.1,39,40,39
5,0.0109,0.0245,0.13,39,40,39
7,0.0217,0.0353,0.18,38,40,38
9,0.0239,0.0239,0.11,38,40,38
11,0.0,0.0,0.19,36,39,37
13,-0.0543,-0.0543,0.2,35,38,37
15,-0.0543,-0.0543,0.14,35,38,37
17,-0.0543,-0.0408,0.09,35,38,37
19,-0.0522,-0.0522,0.15,34,37,36
21,-0.0761,-0.0761,0.15,33,36,35
23,-0.0761,-0.0761,0.15,33,36,35
25,-0.0495,-0.0495,0.12,33,36,34
27,-0.0625,-0.0625,0.12,32,35,34
29,-0.0625,-0.0625,0.09,32,35,34
31,-0.0625,-0.0489,0.12,32,35,34
33,-0.0516,-0.0516,0.03,31,35,33
35,-0.0516,-0.038,0.06,31,35,33
37,-0.0516,-0.0516,0.23,31,35,33
39,-0.106,-0.1196,0.13,30,34,33
41,-0.106,-0.1196,0.13,30,34,33
43,-0.106,-0.0924,0.03,30,34,33
45,-0.106,-0.1196,0.13,30,34,33
47,-0.106,-0.1196,0.17,30,34,33
49,-0.106,-0.1196,0.23,30,34,33
51,-0.1408,-0.1272,0.17,30,33,33
53,-0.0864,-0.1,0.1,30,33,32
55,-0.0299,-0.0435,0.13,30,33,31
57,-0.0299,-0.0163,0.33,30,33,31
59,-0.0299,-0.0163,0.17,30,33,31
61,-0.0299,-0.0163,0.27,30,33,31
63,-0.0299,-0.0163,0.1,30,33,31
65,-0.0299,-0.0299,0.23,30,33,31
67,-0.0342,-0.0457,0.13,30,33,31
69,-0.0886,-0.075,0.21,29,32,31
71,-0.0516,-0.0652,0.17,29,32,30
73,-0.0516,-0.0652,0.1,29,32,30
75,-0.0408,-0.0272,0.18,28,32,29
77,-0.0386,-0.0522,0.14,28,32,29
79,0.0158,0.0158,0.07,27,32,28
81,0.0158,0.0293,0.15,27,32,28
83,0.0158,0.0022,0.19,27,32,28
85,0.0266,0.013,0.27,26,32,27
87,0.0266,0.013,0.23,26,32,27
89,0.0266,0.0402,0.12,26,32,27
91,0.0266,0.013,0.15,26,32,27
93,-0.0082,0.0054,0.12,25,31,27
95,-0.0408,-0.0272,0.12,25,30,27
97,0.0158,0.0022,0.08,25,30,26
99,0.0136,0.0272,0.17,24,29,25
101,0.0136,0.0272,0.21,24,29,25
103,-0.0734,-0.087,0.17,23,28,25
105,-0.0734,-0.0734,0.13,23,28,25
107,-0.0734,-0.087,0.13,23,28,25
109,-0.0734,-0.087,0.13,23,28,25
111,-0.0734,-0.0734,0.17,23,28,25
113,-0.0734,-0.0598,0.22,23,28,25
115,-0.0734,-0.087,0.13,23,28,25
117,-0.0734,-0.087,0.22,23,28,25
119,-0.0734,-0.087,0.26,23,28,25
121,-0.0734,-0.0598,0.22,23,28,25
123,-0.0734,-0.087,0.17,23,28,25
125,-0.1603,-0.1739,0.18,22,27,25
127,-0.1712,-0.1848,0.14,21,26,25
129,-0.1386,-0.125,0.33,21,26,24
131,-0.1386,-0.125,0.1,21,26,24
133,-0.1386,-0.1522,0.19,21,26,24
135,-0.1386,-0.1386,0.19,21,26,24
137,-0.1386,-0.1522,0.24,21,26,24
139,-0.1386,-0.125,0.29,21,26,24
141,-0.1386,-0.125,0.1,21,26,24
143,-0.1364,-0.15,0.14,21,26,24
145,-0.0821,-0.0685,0.2,20,26,23
147,-0.0821,-0.0821,0.15,20,26,23
149,-0.1929,-0.1793,0.16,19,25,23
151,-0.1929,-0.2065,0.32,19,25,23
153,-0.1772,-0.1772,0.37,19,25,23
155,-0.1902,-0.1902,0.17,18,24,23
157,-0.1902,-0.2038,0.11,18,24,23
159,-0.1924,-0.1924,0.17,18,24,23
161,-0.1924,-0.1924,0.28,18,24,23
163,-0.1924,-0.2196,0.17,18,24,23
165,-0.225,-0.225,0.11,18,23,23
167,-0.225,-0.2522,0.17,18,23,23
169,-0.225,-0.2522,0.28,18,22,22
171,-0.225,-0.225,0.22,18,22,22
173,-0.225,-0.225,0.22,18,22,22
175,-0.225,-0.2522,0.17,18,22,22
177,-0.2141,-0.2141,0.24,17,22,21
179,-0.2141,-0.2141,0.18,17,22,21
181,-0.2141,-0.2413,0.18,17,22,21
183,-0.2141,-0.2141,0.29,17,22,21
185,-0.2141,-0.2413,0.24,17,22,21
187,-0.2141,-0.2141,0.18,17,22,21
189,-0.2141,-0.2413,0.29,17,22,21
191,-0.2685,-0.2685,0.38,16,21,21
193,-0.2685,-0.2821,0.12,16,21,21
195,-0.2685,-0.2957,0.5,16,21,21
197,-0.2685,-0.2957,0.12,16,21,21
199,-0.2685,-0.2821,0.06,16,21,21
201,-0.2685,-0.2957,0.31,16,21,21
203,-0.2685,-0.2685,0.38,16,21,21
205,-0.2576,-0.2848,0.27,15,21,20
207,-0.2576,-0.2576,0.33,15,21,20
209,-0.2598,-0.287,0.27,15,21,20
