move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.2,40,40,40
2,0.0,0.0,0.03,40,40,40
4,0.0109,0.0109,0.18,39,40,39
6,0.0109,0.0109,0.1,39,40,39
8,0.0783,0.0783,0.22,37,40,37
10,0.0543,0.0543,0.17,35,39,36
12,0.0435,0.0435,0.09,34,38,36
14,0.0326,0.0326,0.21,33,37,36
16,0.0326,0.0326,0.3,33,37,36
18,-0.0217,-0.0082,0.19,32,36,36
20,-0.0109,-0.0109,0.13,31,36,35
22,-0.0652,-0.0652,0.1,30,35,35
24,-0.0109,-0.0109,0.07,30,35,34
26,-0.0109,-0.0109,0.07,30,35,34
28,-0.0109,-0.0109,0.13,30,35,34
30,-0.0,-0.0,0.1,29,35,33
32,-0.0,-0.0,0.1,29,35,33
34,-0.0,-0.0,0.07,29,35,33
36,-0.0,-0.0,0.17,29,35,33
38,-0.0022,-0.0022,0.17,29,35,33
40,0.0109,0.0109,0.04,28,35,32
42,0.013,0.0266,0.07,28,35,32
44,0.0109,0.0109,0.25,28,34,31
46,0.0087,0.0087,0.14,28,34,31
48,0.0087,0.0087,0.18,28,34,31
50,0.0788,0.0652,0.25,28,34,30
52,0.0788,0.0652,0.04,28,34,30
54,0.0788,0.0652,0.14,28,34,30
56,0.0897,0.0761,0.11,27,34,29
58,0.0897,0.0761,0.11,27,34,29
60,0.0918,0.0783,0.11,27,34,29
62,0.0918,0.0918,0.11,27,34,29
64,0.1245,0.1109,0.11,27,34,28
66,0.1788,0.1652,0.08,26,34,27
68,0.1788,0.1652,0.12,26,34,27
70,0.2658,0.2522,0.12,25,34,26
72,0.2658,0.2522,0.24,25,34,26
74,0.2658,0.2522,0.16,25,34,26
76,0.2658,0.2522,0.36,25,34,26
78,0.2658,0.2793,0.04,25,34,26
80,0.2658,0.2658,0.12,25,34,26
82,0.2658,0.2522,0.0,25,34,26
84,0.2658,0.2522,0.28,25,34,26
86,0.1788,0.1788,0.21,24,33,26
