move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.12,40,40,40
2,0.0,0.0,0.2,40,40,40
4,0.0326,0.0326,0.13,39,40,39
6,0.0457,0.0457,0.03,38,40,38
8,0.0457,0.0457,0.05,38,40,38
10,0.0348,0.0348,0.16,37,39,38
12,0.0109,0.0109,0.11,35,38,37
14,0.0109,0.0109,0.12,34,37,36
16,0.0109,0.0109,0.15,34,37,36
18,0.0109,0.0109,0.12,34,36,35
20,0.0109,0.0109,0.15,34,36,35
22,0.0652,0.0652,0.12,33,36,34
24,0.0652,0.0652,0.18,33,36,34
26,0.0652,0.0652,0.18,33,36,34
28,0.0652,0.0652,0.15,33,36,34
30,0.1522,0.1522,0.12,32,36,33
32,0.1522,0.1522,0.19,32,36,33
34,0.1522,0.1522,0.16,32,36,33
36,0.1522,0.1658,0.06,32,36,33
38,0.1522,0.1522,0.03,32,36,33
40,0.1522,0.1522,0.09,32,36,33
42,0.1543,0.1543,0.12,32,36,33
44,0.1543,0.1543,0.12,32,36,33
46,0.1652,0.1652,0.13,31,36,32
48,0.1652,0.1652,0.16,31,36,32
50,0.1652,0.1652,0.1,31,36,32
52,0.1978,0.1978,0.07,30,36,31
54,0.087,0.1005,0.07,29,35,31
56,0.087,0.087,0.17,29,35,31
58,0.0891,0.0891,0.24,29,35,31
60,0.0891,0.0891,0.21,29,35,31
62,0.0891,0.0891,0.1,29,35,31
64,0.0543,0.0543,0.18,28,34,31
66,0.0652,0.0652,0.18,28,34,30
68,0.0652,0.0652,0.14,28,34,30
70,0.0652,0.0652,0.04,28,34,30
72,0.0652,0.0652,0.11,28,34,30
74,0.0652,0.0652,0.21,28,34,30
76,0.0761,0.0761,0.11,27,34,29
78,0.0652,0.0652,0.11,27,33,29
80,0.0652,0.0788,0.07,27,33,29
82,0.0652,0.0652,0.15,27,33,29
84,0.1217,0.1217,0.11,27,33,28
86,0.1217,0.1353,0.11,27,33,28
88,0.1761,0.1897,0.19,27,33,27
90,0.1761,0.1761,0.07,27,33,27
92,0.1739,0.1739,0.19,26,32,26
94,0.1739,0.1875,0.15,26,32,26
96,0.1739,0.1739,0.08,26,32,26
98,0.1739,0.1739,0.12,26,32,26
100,0.1739,0.1739,0.15,26,32,26
102,0.1739,0.1739,0.15,26,32,26
104,0.1739,0.1875,0.12,26,32,26
106,0.1739,0.1875,0.04,26,32,26
108,0.1739,0.1739,0.08,26,32,26
110,0.1739,0.1739,0.15,26,32,26
112,0.1739,0.1739,0.23,26,32,26
114,0.1739,0.1739,0.15,26,32,26
116,0.1739,0.1739,0.12,25,31,25
118,0.1739,0.1739,0.16,25,31,25
120,0.1739,0.1739,0.16,25,31,25
122,0.1739,0.1739,0.16,25,31,25
124,0.1761,0.1761,0.08,25,31,25
126,0.1739,0.1739,0.21,24,30,24
128,0.1739,0.1739,0.25,24,30,24
130,0.1739,0.1875,0.21,24,30,24
132,0.1739,0.1739,0.17,24,30,24
134,0.163,0.163,0.17,23,29,24
136,0.163,0.1766,0.09,23,29,24
138,0.163,0.163,0.17,23,29,24
140,0.1609,0.1609,0.26,23,29,24
142,0.1609,0.1609,0.22,23,29,24
144,0.1609,0.1609,0.17,23,29,24
146,0.1609,0.1609,0.22,23,29,24
148,0.1609,0.1609,0.13,23,29,24
150,0.1609,0.1745,0.3,23,29,24
152,0.1609,0.1609,0.13,23,29,24
154,0.1609,0.1745,0.26,23,29,24
156,0.1609,0.1609,0.13,23,29,24
158,0.1609,0.1609,0.13,23,29,24
160,0.1609,0.1609,0.17,23,29,24
162,0.1609,0.1745,0.17,23,29,24
164,0.1609,0.1609,0.17,23,29,24
166,0.1609,0.1745,0.17,23,29,24
168,0.1283,0.1283,0.43,23,28,24
170,0.1283,0.1283,0.09,23,28,24
172,0.1283,0.1283,0.26,23,28,24
174,0.1304,0.144,0.22,23,28,24
176,0.1174,0.131,0.14,22,27,24
178,0.1174,0.1174,0.14,22,27,24
180,0.1174,0.1174,0.09,22,27,24
182,0.1174,0.1174,0.23,22,27,24
184,0.1174,0.131,0.27,22,27,24
186,0.1174,0.131,0.23,22,27,24
188,0.1174,0.131,0.18,22,27,24
190,0.1174,0.131,0.27,22,27,24
192,0.1174,0.1174,0.27,22,27,24
194,0.1196,0.1332,0.18,22,27,24
196,0.1196,0.1332,0.14,22,27,24
198,0.1196,0.1332,0.18,22,27,24
200,0.1196,0.1332,0.18,22,27,24
202,0.1196,0.1196,0.23,22,27,24
204,0.1087,0.1223,0.29,21,26,24
206,0.1087,0.1223,0.14,21,26,24
208,0.1087,0.1223,0.38,21,26,24
210,0.0761,0.0761,0.19,21,25,24
212,0.0761,0.0897,0.24,21,25,24
214,0.0761,0.0897,0.14,21,25,24
216,0.1087,0.1223,0.2,20,25,23
218,0.1087,0.1087,0.15,20,25,23
220,0.1087,0.1223,0.15,20,25,23
222,0.1087,0.1087,0.25,20,25,23
224,0.1087,0.1087,0.2,20,25,23
226,0.1087,0.1087,0.2,20,25,23
228,0.1087,0.1223,0.25,20,25,23
230,0.1413,0.1413,0.26,19,25,22
232,0.1413,0.1549,0.21,19,25,22
234,0.1413,0.1413,0.16,19,25,22
236,0.1413,0.1549,0.21,19,25,22
238,0.1413,0.1413,0.21,19,25,22
240,0.1957,0.2092,0.28,18,25,21
242,0.1957,0.2092,0.28,18,25,21
244,0.1957,0.1957,0.44,18,25,21
246,0.1957,0.2092,0.22,18,25,21
248,0.2283,0.2554,0.29,17,25,20
250,0.1957,0.1957,0.24,17,24,20
252,0.1957,0.2092,0.47,17,24,20
254,0.1065,0.1201,0.19,16,23,20
256,0.1065,0.1337,0.25,16,23,20
258,0.1065,0.1201,0.25,16,23,20
260,0.1087,0.1223,0.25,16,23,20
262,0.1087,0.1087,0.25,16,23,20
264,0.1087,0.1223,0.19,16,23,20
266,0.1087,0.1223,0.25,16,23,20
268,0.1087,0.1087,0.31,16,23,20
270,0.1087,0.1087,0.31,16,23,20
272,0.1087,0.1087,0.31,16,23,20
274,0.1087,0.1359,0.19,16,23,20
276,0.113,0.1266,0.19,16,23,20
278,0.113,0.113,0.31,16,23,20
280,0.113,0.113,0.31,16,23,20
282,0.113,0.1266,0.25,16,23,20
284,0.113,0.1266,0.25,16,23,20
286,0.0761,0.0761,0.2,15,22,20
288,0.0761,0.1033,0.2,15,22,20
290,0.0761,0.0761,0.4,15,22,20
292,0.0739,0.0739,0.27,15,21,19
294,0.0739,0.0875,0.27,15,21,19
296,0.0739,0.0875,0.4,15,21,19
298,0.1304,0.144,0.4,15,21,18
300,0.1304,0.144,0.33,15,21,18
302,0.1304,0.144,0.33,15,21,18
304,0.1304,0.144,0.2,15,21,18
306,0.1304,0.1576,0.33,15,21,18
308,0.1304,0.144,0.4,15,21,18
310,0.1304,0.1712,0.2,15,21,18
312,0.1304,0.1576,0.33,15,21,18
314,0.1304,0.1304,0.4,15,21,18
316,0.1304,0.144,0.27,15,21,18
318,0.1283,0.1283,0.4,15,21,18
320,0.1283,0.1261,0.33,15,21,18
322,0.1283,0.1418,0.33,15,21,18
324,0.1739,0.1875,0.15,13,20,17
326,0.1739,0.1739,0.31,13,20,17
328,0.1739,0.1739,0.23,13,20,17
330,0.1739,0.1875,0.38,13,20,17
332,0.1739,0.1875,0.38,13,20,17
334,0.1739,0.1739,0.23,13,20,17
336,0.1717,0.1717,0.31,13,20,17
338,0.1582,0.1696,0.15,13,20,17
340,0.1582,0.1582,0.38,13,20,17
342,0.1929,0.2065,0.33,12,20,16
344,0.1908,0.1908,0.42,12,20,16
346,0.1908,0.1908,0.42,12,20,16
348,0.1908,0.2043,0.75,12,20,16
350,0.1908,0.2043,0.42,12,20,16
352,0.1908,0.1908,0.17,12,20,16
354,0.1908,0.2043,0.25,12,20,16
356,0.3016,0.3016,0.42,12,20,15
358,0.3016,0.3288,0.58,12,20,15
360,0.3016,0.3152,0.25,12,20,15
362,0.3016,0.3016,0.67,12,20,15
364,0.3016,0.3424,0.5,12,20,15
366,0.3016,0.3016,0.42,12,20,15
368,0.3016,0.3016,0.58,12,20,15
370,0.3016,0.3152,0.33,12,20,15
372,0.2973,0.3266,0.5,12,20,15
374,0.2837,0.2837,0.67,12,20,15
376,0.2837,0.3245,0.33,12,20,15
378,0.2837,0.2995,0.42,12,20,15
380,0.2293,0.2429,0.55,11,19,15
382,0.2337,0.2473,0.27,11,18,14
384,0.2337,0.2609,0.27,11,18,14
386,0.2337,0.2745,0.36,11,18,14
388,0.2337,0.2337,0.55,11,18,14
390,0.2337,0.2473,0.36,11,18,14
392,0.2337,0.2473,0.45,11,18,14
394,0.2337,0.2745,0.64,11,18,14
396,0.2337,0.2745,0.64,11,18,14
398,0.2337,0.2473,0.55,11,18,14
400,0.2337,0.2473,0.36,11,18,14
402,0.2337,0.2609,0.27,11,18,14
404,0.238,0.238,0.45,11,18,14
406,0.238,0.238,0.36,11,18,14
408,0.238,0.2516,0.45,11,18,14
410,0.2489,0.2489,0.4,10,18,13
412,0.3033,0.3033,0.56,9,18,12
414,0.3033,0.3304,0.67,9,18,12
416,0.3712,0.3984,0.25,8,18,11
