move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.12,40,40,40
2,0.0,0.0,0.07,40,40,40
4,0.0,0.0,0.17,40,40,40
6,0.0326,0.0326,0.05,38,39,38
8,0.0326,0.0326,0.11,38,39,38
10,0.0326,0.0326,0.08,38,39,38
12,0.0326,0.0326,0.13,38,39,38
14,0.0326,0.0326,0.18,38,39,38
16,0.0326,0.0326,0.08,38,39,38
18,0.0109,0.0109,0.03,36,38,37
20,0.0109,0.0109,0.17,36,38,37
22,0.0109,0.0109,0.14,36,38,37
24,0.0109,0.0109,0.08,36,38,37
26,0.0109,0.0109,0.2,35,37,36
28,0.0109,0.0109,0.23,35,37,36
30,0.0109,0.0109,0.2,35,37,36
32,0.0652,0.0652,0.12,33,36,34
34,0.0652,0.0788,0.18,33,36,34
36,-0.0217,-0.0217,0.28,32,35,34
38,-0.0217,-0.0217,0.22,32,35,34
40,-0.0217,-0.0217,0.31,32,35,34
42,-0.0217,-0.0217,0.03,32,35,34
44,-0.0217,-0.0217,0.22,32,35,34
46,-0.0217,-0.0217,0.28,32,35,34
48,-0.0239,-0.0239,0.09,32,35,34
50,-0.0239,-0.0239,0.19,32,35,34
52,-0.0348,-0.0348,0.25,32,34,34
54,-0.0457,-0.0457,0.19,32,33,34
56,-0.0783,-0.0783,0.06,32,32,34
58,-0.1109,-0.1109,0.25,32,31,34
60,0.0,0.0,0.12,32,31,33
62,0.0,0.0,0.28,32,31,33
64,-0.0326,-0.0326,0.16,31,30,33
66,-0.0326,-0.0326,0.23,31,30,33
68,0.0543,0.0543,0.19,31,30,32
70,0.0543,0.0543,0.16,31,30,32
72,0.0543,0.0543,0.26,31,30,32
74,0.0565,0.0565,0.16,31,30,32
76,0.0326,0.0326,0.3,30,29,31
78,0.0217,0.0217,0.1,30,28,31
80,0.0,0.0,0.17,29,27,30
82,-0.0543,-0.0543,0.24,29,26,30
84,-0.087,-0.087,0.07,29,25,30
86,-0.1978,-0.1978,0.14,28,24,30
88,-0.2304,-0.2304,0.07,28,23,30
90,-0.263,-0.263,0.14,28,22,30
92,-0.1522,-0.1522,0.25,28,22,29
94,-0.1522,-0.1522,0.25,28,22,29
96,-0.1522,-0.1522,0.18,28,22,29
98,-0.1522,-0.1522,0.11,28,22,29
100,-0.1522,-0.1522,0.14,28,22,29
102,-0.1522,-0.1522,0.18,28,22,29
104,-0.1522,-0.1522,0.11,28,22,29
106,-0.1522,-0.1522,0.21,28,22,29
108,-0.0978,-0.0978,0.26,27,22,28
110,-0.0978,-0.0978,0.19,27,22,28
112,-0.0978,-0.0978,0.22,27,22,28
114,-0.0978,-0.0978,0.26,27,22,28
116,-0.0978,-0.0978,0.19,27,22,28
118,-0.0652,-0.0516,0.31,26,22,27
120,-0.0652,-0.0652,0.27,26,22,27
122,-0.063,-0.063,0.23,26,22,27
124,-0.063,-0.0495,0.16,25,21,26
126,-0.063,-0.063,0.24,25,21,26
128,-0.0304,-0.0304,0.12,24,21,25
130,0.0239,0.0239,0.22,23,21,24
132,0.0239,0.0239,0.09,23,21,24
134,0.0239,0.0239,0.35,23,21,24
136,0.0239,0.0239,0.3,23,21,24
138,0.0565,0.0565,0.27,22,21,23
140,0.0543,0.0543,0.18,22,21,23
142,0.081,0.0674,0.19,21,21,22
144,0.081,0.0674,0.19,21,21,22
146,0.081,0.0674,0.19,21,21,22
148,0.1353,0.1217,0.2,20,21,21
150,0.1353,0.1353,0.25,20,21,21
152,0.1353,0.1217,0.3,20,21,21
154,0.1897,0.1761,0.42,19,21,20
