move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.17,40,40,40
2,0.0,0.0,0.12,40,40,40
4,0.0109,0.0109,0.13,39,40,39
6,0.0109,0.0109,0.1,39,40,39
8,0.0109,0.0109,0.05,39,40,39
10,0.0457,0.0457,0.21,38,40,38
12,0.0804,0.0804,0.05,37,40,37
14,0.0565,0.0565,0.14,35,39,36
16,0.0565,0.0701,0.11,35,39,36
18,0.0565,0.0565,0.17,35,39,36
20,0.0674,0.0674,0.12,34,39,35
22,0.0783,0.0783,0.06,33,39,34
24,0.0783,0.0783,0.13,31,38,33
26,0.0783,0.0783,0.06,31,38,33
28,0.0783,0.0783,0.23,31,38,33
30,0.0217,0.0217,0.2,30,37,33
32,0.0217,0.0217,0.1,30,37,33
34,0.0217,0.0217,0.13,30,37,33
36,0.0217,0.0217,0.1,30,36,32
38,0.0109,0.0109,0.1,29,35,32
40,0.0435,0.0435,0.28,29,35,31
42,0.0435,0.0435,0.07,29,35,31
44,0.0435,0.0435,0.07,29,35,31
46,0.0435,0.0435,0.1,29,35,31
48,0.1,0.1,0.04,28,35,30
50,0.0435,0.0435,0.15,27,34,30
52,0.0435,0.0435,0.11,27,34,30
54,0.0435,0.0435,0.04,27,34,30
56,0.0435,0.0571,0.11,27,34,30
58,0.1326,0.1462,0.11,27,34,29
60,0.1761,0.1761,0.12,25,34,27
62,0.1761,0.1761,0.12,25,34,27
64,0.1761,0.1897,0.24,25,34,27
66,0.187,0.2005,0.21,24,34,26
68,0.187,0.2005,0.0,24,34,26
70,0.2549,0.2549,0.04,23,34,25
72,0.2549,0.2549,0.13,23,34,25
74,0.2549,0.2413,0.0,23,34,25
76,0.2549,0.2549,0.04,23,34,25
78,0.2413,0.2413,0.26,23,34,25
80,0.2413,0.2549,0.26,23,34,25
82,0.2549,0.2549,0.3,23,34,25
84,0.2549,0.2413,0.09,23,34,25
86,0.2527,0.2391,0.13,23,34,25
88,0.2527,0.2663,0.17,23,34,25
90,0.2549,0.2549,0.22,23,34,25
92,0.2658,0.2658,0.36,22,34,24
94,0.2658,0.2658,0.14,22,34,24
96,0.2984,0.2984,0.05,21,34,23
98,0.2984,0.2848,0.19,21,34,23
100,0.2984,0.2848,0.14,21,34,23
102,0.2984,0.2848,0.19,21,34,23
104,0.2984,0.2848,0.19,21,34,23
106,0.2984,0.312,0.14,21,34,23
108,0.2984,0.2984,0.14,21,34,23
110,0.1875,0.1739,0.2,20,33,23
112,0.1766,0.1766,0.16,19,32,23
114,0.1766,0.1766,0.26,19,32,23
116,0.1766,0.163,0.16,19,32,23
118,0.1766,0.1766,0.16,19,32,23
120,0.1766,0.163,0.16,19,32,23
122,0.1766,0.1766,0.21,19,32,23
124,0.2853,0.2853,0.26,19,32,22
126,0.2853,0.2853,0.21,19,32,22
128,0.3011,0.2739,0.21,19,32,22
130,0.2902,0.2766,0.28,18,31,22
132,0.3582,0.3174,0.18,17,31,21
134,0.369,0.3283,0.38,16,31,20
136,0.369,0.3418,0.19,16,31,20
138,0.369,0.369,0.31,16,31,20
140,0.4016,0.3609,0.33,15,31,19
142,0.4946,0.4674,0.2,15,31,18
144,0.5082,0.4674,0.33,15,31,18
146,0.5082,0.4674,0.27,15,31,18
148,0.5082,0.4674,0.2,15,31,18
150,0.5082,0.481,0.27,15,31,18
152,0.5082,0.481,0.47,15,31,18
154,0.506,0.4788,0.27,15,31,18
156,0.5054,0.4783,0.21,14,31,17
158,0.5054,0.4783,0.21,14,31,17
160,0.538,0.538,0.46,13,31,16
162,0.5402,0.5402,0.23,13,31,16
164,0.5864,0.5864,0.38,13,31,15
166,0.6054,0.5783,0.17,12,31,14
168,0.6054,0.5783,0.33,12,31,14
170,0.5489,0.5489,0.18,11,30,14
172,0.5516,0.5109,0.0,10,29,14
174,0.5538,0.513,0.1,10,29,14
176,0.5516,0.5109,0.3,10,29,14
178,0.5516,0.5109,0.2,10,29,14
180,0.5516,0.5109,0.3,10,29,14
182,0.5516,0.5109,0.2,10,29,14
184,0.5516,0.5516,0.4,10,29,14
186,0.5516,0.5109,0.1,10,29,14
188,0.5516,0.5516,0.3,10,29,14
190,0.5516,0.5109,0.2,10,29,14
192,0.538,0.5109,0.1,10,29,14
194,0.606,0.5652,0.22,9,29,13
196,0.606,0.5652,0.0,9,29,13
198,0.606,0.606,0.33,9,29,13
200,0.606,0.5652,0.33,9,29,13
202,0.606,0.606,0.44,9,29,13
204,0.5924,0.5788,0.22,9,29,13
206,0.6103,0.5832,0.0,9,29,13
208,0.6511,0.6239,0.22,9,29,12
210,0.6511,0.6239,0.22,9,29,12
212,0.6511,0.6511,0.44,9,29,12
214,0.6511,0.6239,0.11,9,29,12
216,0.6511,0.6375,0.22,9,29,12
218,0.7076,0.6804,0.25,8,29,11
220,0.7946,0.7674,0.5,8,29,10
222,0.8082,0.7674,0.62,8,29,10
224,0.7946,0.7674,0.25,8,29,10
226,0.7946,0.781,0.25,8,29,10
228,0.8082,0.781,0.25,8,29,10
230,0.7946,0.7674,0.25,8,29,10
232,0.8408,0.8136,0.29,7,29,9
234,0.8408,0.8136,0.57,7,29,9
236,0.8408,0.8,0.29,7,29,9
238,0.8408,0.8408,0.71,7,29,9
240,0.8408,0.8408,0.71,7,29,9
242,0.8272,0.8,0.43,7,29,9
244,0.8408,0.8,0.14,7,29,9
246,0.8408,0.8136,0.71,7,29,9
248,0.8408,0.8136,0.14,7,29,9
250,0.8408,0.8136,0.0,7,29,9
252,0.8038,0.763,0.17,6,28,9
254,0.8038,0.763,0.5,6,28,9
256,0.8038,0.763,0.5,6,28,9
258,0.8038,0.763,0.5,6,28,9
260,0.8038,0.763,0.33,6,28,9
262,0.806,0.806,0.67,6,28,9
264,0.8038,0.8038,0.33,6,28,9
266,0.8038,0.8038,0.33,6,28,9
268,0.8038,0.763,0.17,6,28,9
270,0.8038,0.8038,0.67,6,28,9
272,0.806,0.806,0.33,6,28,9
274,0.806,0.7652,0.5,6,28,9
276,0.806,0.7788,0.5,6,28,9
