move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0272,0.12,40,40,40
3,0.0,0.0272,0.2,40,40,40
5,-0.0326,-0.0054,0.21,39,39,40
7,-0.0326,-0.0326,0.28,39,39,40
9,-0.0217,-0.0217,0.24,38,39,39
11,-0.0217,-0.0082,0.18,38,39,39
13,-0.0217,-0.0217,0.08,38,39,39
15,-0.0217,-0.0217,0.03,38,39,39
17,-0.0217,-0.0217,0.11,38,38,38
19,-0.0217,-0.0217,0.16,37,37,37
21,-0.0217,-0.0217,0.19,37,37,37
23,-0.0196,-0.0196,0.14,37,37,37
25,-0.0435,-0.0435,0.17,35,36,36
27,-0.0435,-0.0435,0.21,34,35,35
29,-0.0435,-0.0299,0.21,33,34,34
31,-0.0435,-0.0299,0.27,33,34,34
33,-0.0435,-0.0435,0.18,33,34,34
35,-0.0435,-0.0299,0.15,33,34,34
37,-0.0435,-0.0435,0.3,33,34,34
39,-0.0304,-0.0304,0.19,32,34,33
41,-0.0304,-0.0168,0.16,32,34,33
43,-0.0196,-0.0196,0.16,31,34,32
45,-0.0087,-0.0087,0.27,30,34,31
47,-0.0087,-0.0087,0.1,30,34,31
49,-0.0087,-0.0087,0.2,30,34,31
51,-0.0087,-0.0087,0.13,30,34,31
53,0.0783,0.0783,0.21,29,34,30
55,0.0783,0.0918,0.14,29,34,30
57,0.0783,0.0783,0.34,29,34,30
59,0.0783,0.0783,0.17,29,34,30
61,0.0783,0.0783,0.07,29,34,30
63,0.0783,0.0783,0.21,29,34,30
65,0.0783,0.0918,0.1,29,34,30
67,0.113,0.1266,0.14,28,34,29
69,0.1109,0.1109,0.21,28,34,29
71,0.1087,0.1087,0.07,28,34,29
73,0.1087,0.1223,0.14,28,34,29
75,0.1087,0.1087,0.21,28,34,29
77,0.1087,0.1223,0.18,28,34,29
79,0.1087,0.1087,0.18,28,34,29
81,0.1087,0.1087,0.11,28,34,29
83,0.1043,0.1179,0.21,28,34,29
85,0.0717,0.0853,0.15,27,33,29
87,0.0717,0.0717,0.22,27,33,29
89,0.1065,0.1337,0.11,27,33,28
91,0.1065,0.1065,0.19,27,33,28
93,0.1065,0.1065,0.15,27,33,28
95,0.1087,0.1087,0.15,27,33,28
97,0.1087,0.1087,0.37,27,33,28
99,0.1087,0.1359,0.15,27,33,28
101,0.1065,0.1065,0.15,27,33,28
103,0.1087,0.1087,0.15,27,33,28
105,0.1087,0.1087,0.19,27,33,28
107,0.1087,0.1087,0.15,27,33,28
109,0.1065,0.1065,0.15,27,33,28
111,0.1087,0.1087,0.26,27,33,28
113,0.1087,0.1087,0.3,27,33,28
115,0.1087,0.1087,0.07,27,33,28
117,0.1065,0.1065,0.22,27,33,28
119,0.1087,0.1087,0.15,27,33,28
121,0.1087,0.1359,0.19,27,33,28
123,0.1087,0.1223,0.11,27,33,28
125,0.1065,0.1065,0.15,27,33,28
127,0.1087,0.1359,0.22,27,33,28
129,0.1087,0.1359,0.26,27,33,28
131,0.1087,0.1359,0.15,27,33,28
133,0.1065,0.1065,0.19,27,33,28
135,0.1087,0.1087,0.11,27,33,28
137,0.1087,0.1223,0.26,27,33,28
139,0.1087,0.1087,0.26,27,33,28
141,0.1065,0.1065,0.37,27,33,28
143,0.1087,0.1087,0.26,27,33,28
145,0.1087,0.1359,0.19,27,33,28
147,0.1087,0.1087,0.15,27,33,28
149,0.1087,0.1359,0.15,27,33,28
151,0.1087,0.1087,0.15,27,33,28
153,0.1109,0.1109,0.11,27,33,28
155,0.1109,0.1109,0.19,27,33,28
157,0.1109,0.138,0.07,27,33,28
159,0.1087,0.1359,0.22,27,33,28
161,0.1065,0.1201,0.15,27,33,28
163,0.1087,0.1359,0.04,27,33,28
165,0.1087,0.1087,0.19,27,33,28
167,0.1087,0.1087,0.3,27,33,28
169,0.1065,0.1337,0.15,27,33,28
171,0.1087,0.1087,0.19,27,33,28
173,0.1087,0.1223,0.15,27,33,28
175,0.1087,0.1359,0.22,27,33,28
177,0.1087,0.1087,0.26,27,33,28
179,0.1087,0.1087,0.22,27,33,28
181,0.1109,0.1109,0.19,27,33,28
183,0.1109,0.1109,0.26,27,33,28
185,0.1109,0.138,0.04,27,33,28
187,0.1087,0.1359,0.11,27,33,28
189,0.1065,0.1337,0.11,27,33,28
191,0.1087,0.1223,0.19,27,33,28
193,0.1087,0.1223,0.11,27,33,28
195,0.1087,0.1087,0.26,27,33,28
197,0.1065,0.1065,0.15,27,33,28
199,0.1087,0.1087,0.07,27,33,28
201,0.1087,0.1359,0.15,27,33,28
203,0.1087,0.1087,0.22,27,33,28
205,0.1087,0.1087,0.22,27,33,28
207,0.1087,0.1223,0.19,27,33,28
209,0.1109,0.1245,0.19,27,33,28
211,0.1109,0.1109,0.04,27,33,28
213,0.1109,0.1109,0.19,27,33,28
215,0.1109,0.1109,0.15,27,33,28
217,0.1109,0.1109,0.19,27,33,28
219,0.1109,0.1245,0.11,27,33,28
221,0.1109,0.1109,0.19,27,33,28
223,0.1217,0.1625,0.23,26,33,27
225,0.1217,0.1217,0.19,26,33,27
227,0.1217,0.1217,0.19,26,33,27
229,0.1217,0.1217,0.12,26,33,27
231,0.1217,0.1217,0.23,26,33,27
233,0.1217,0.1217,0.15,26,33,27
235,0.1217,0.1217,0.12,26,33,27
237,0.1217,0.1217,0.19,26,33,27
239,0.1217,0.1625,0.19,26,33,27
241,0.1217,0.1625,0.12,26,33,27
243,0.1217,0.1217,0.23,26,33,27
245,0.2087,0.2495,0.23,26,33,26
247,0.2087,0.2087,0.27,26,33,26
249,0.2087,0.2087,0.12,26,33,26
251,0.2087,0.2359,0.08,26,33,26
253,0.2087,0.2087,0.23,26,33,26
255,0.2087,0.2087,0.31,26,33,26
257,0.2087,0.2495,0.08,26,33,26
259,0.2087,0.2495,0.19,26,33,26
261,0.2087,0.2087,0.23,26,33,26
263,0.2087,0.2495,0.23,26,33,26
265,0.2087,0.2087,0.08,26,33,26
