move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.1,40,40,40
3,0.0,0.0,0.05,40,40,40
5,-0.0109,-0.0109,0.1,39,39,40
7,0.0217,0.0217,0.21,39,39,39
9,0.0217,0.0217,0.18,39,39,39
11,0.0217,0.0353,0.15,39,39,39
13,0.0217,0.0217,0.21,39,39,39
15,0.0217,0.0353,0.08,39,39,39
17,-0.0109,-0.0109,0.11,38,38,39
19,-0.0109,-0.0109,0.05,38,38,39
21,-0.0457,-0.0457,0.16,37,37,39
23,-0.0109,-0.0109,0.05,37,37,38
25,-0.0109,0.0027,0.08,37,37,38
27,-0.0109,0.0027,0.11,37,37,38
29,-0.0674,-0.0538,0.11,36,36,38
31,-0.013,-0.013,0.11,36,36,37
33,-0.013,0.0141,0.22,36,36,37
35,-0.1,-0.1,0.14,35,35,37
37,-0.1,-0.1,0.09,34,34,36
39,-0.1,-0.1,0.12,34,34,36
41,-0.1109,-0.1109,0.21,34,33,36
43,-0.1435,-0.1435,0.09,34,32,36
45,-0.087,-0.087,0.09,34,32,35
47,-0.087,-0.0734,0.12,34,32,35
49,-0.0543,-0.0408,0.18,33,32,34
51,-0.0543,-0.0408,0.06,33,32,34
53,-0.0543,-0.0408,0.09,33,32,34
55,-0.0543,-0.0543,0.06,33,32,34
57,-0.0543,-0.0543,0.18,33,32,34
59,-0.0543,-0.0408,0.21,33,32,34
61,-0.0543,-0.0543,0.09,33,32,34
63,-0.0543,-0.0408,0.15,33,32,34
65,-0.0543,-0.0543,0.12,33,32,34
67,-0.0543,-0.0543,0.27,33,32,34
69,-0.0543,-0.0408,0.21,33,32,34
71,-0.0522,-0.0522,0.15,33,32,34
73,-0.0413,-0.0277,0.19,32,32,33
75,-0.0413,-0.0413,0.22,32,32,33
77,-0.0413,-0.0413,0.19,32,32,33
79,-0.0087,-0.0087,0.13,31,32,32
81,-0.0109,0.0163,0.26,31,32,32
83,-0.0109,0.0027,0.16,31,32,32
85,-0.0109,0.0027,0.23,31,32,32
87,-0.0109,0.0027,0.23,31,32,32
89,-0.0109,0.0027,0.13,31,32,32
91,-0.0109,-0.0109,0.26,31,32,32
93,-0.013,-0.013,0.13,31,32,32
95,-0.013,0.0005,0.16,31,32,32
