move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0136,0.15,40,40,40
3,-0.0109,-0.0109,0.21,39,39,40
5,-0.0109,-0.0109,0.08,39,39,40
7,-0.0109,-0.0109,0.23,39,39,40
9,0.0217,0.0217,0.18,39,39,39
11,0.0217,0.0217,0.13,39,39,39
13,0.0543,0.0543,0.26,38,39,38
15,-0.0109,0.0027,0.14,36,37,38
17,-0.0109,-0.0109,0.14,36,37,38
19,-0.0,0.0136,0.2,35,37,37
21,-0.0109,0.0027,0.06,35,36,37
23,0.1,0.1136,0.09,35,36,36
25,0.1,0.1272,0.17,35,36,36
27,0.1,0.1272,0.29,35,36,36
29,0.1326,0.1598,0.11,35,36,35
31,0.1652,0.1652,0.09,34,36,34
33,0.1674,0.181,0.15,34,36,34
35,0.1565,0.1565,0.24,33,35,34
37,0.1326,0.1326,0.26,31,34,33
39,0.1326,0.1326,0.1,31,34,33
41,0.1326,0.1326,0.26,31,34,33
43,0.0761,0.1033,0.2,30,33,33
45,0.0217,0.0489,0.14,28,32,32
47,0.0217,0.0217,0.11,28,32,32
49,0.0217,0.0489,0.21,28,32,32
51,0.0196,0.0196,0.21,28,32,32
53,0.1304,0.1304,0.07,28,32,31
55,0.1304,0.1304,0.14,28,31,30
57,0.1304,0.1304,0.04,28,31,30
59,0.1196,0.1196,0.22,27,30,30
61,0.1196,0.1467,0.26,27,30,30
63,0.1196,0.1196,0.3,27,30,30
65,0.1304,0.1304,0.27,26,30,29
67,0.1304,0.1304,0.19,26,29,28
69,0.1304,0.1304,0.15,26,29,28
71,0.1304,0.1576,0.27,26,29,28
73,0.1304,0.1304,0.19,26,29,28
75,0.0217,0.0353,0.16,25,28,28
77,0.0217,0.0353,0.08,25,28,28
79,0.0217,0.0217,0.36,25,28,28
81,0.0217,0.0217,0.28,25,28,28
83,0.0217,0.0217,0.28,25,28,28
85,0.0217,0.0217,0.24,25,28,28
87,0.0217,0.0217,0.04,25,28,28
89,0.0217,0.0217,0.12,25,28,28
91,0.0217,0.0217,0.16,25,28,28
93,0.0217,0.0217,0.24,25,28,28
95,0.0217,0.0353,0.32,25,28,28
97,0.0239,0.0375,0.2,25,28,28
99,0.0239,0.0239,0.2,25,28,28
101,0.0348,0.0348,0.25,24,28,27
103,0.0027,0.0163,0.14,22,27,26
105,0.0027,0.0027,0.05,22,27,26
107,0.0027,-0.0109,0.14,22,26,25
109,0.0027,0.0163,0.18,22,26,25
111,0.0027,0.0163,0.09,22,26,25
113,0.0027,0.0027,0.0,22,26,25
115,0.0027,0.0299,0.27,22,26,25
117,0.0005,0.0277,0.23,22,26,25
119,0.0136,0.0408,0.29,21,26,24
121,0.0,0.0543,0.29,21,26,24
123,0.0,0.0136,0.05,21,26,24
125,0.0,0.0,0.1,21,26,24
127,-0.0109,-0.0109,0.15,20,25,24
129,-0.0109,0.0027,0.15,20,25,24
131,-0.0109,0.0435,0.15,20,25,24
133,-0.0109,-0.0109,0.2,20,25,24
135,-0.013,0.0005,0.1,20,25,24
137,-0.013,-0.013,0.2,20,25,24
139,0.0217,0.0353,0.35,20,25,23
141,0.0217,0.0217,0.2,20,25,23
143,0.0217,0.0353,0.15,20,25,23
145,0.0217,0.0217,0.35,20,25,23
147,0.0217,0.0217,0.35,20,25,23
149,0.0217,0.0489,0.25,20,25,23
151,0.0217,0.0217,0.25,20,25,23
153,0.0348,0.0348,0.37,19,25,22
155,0.0484,0.0348,0.26,19,25,22
157,0.0592,0.0457,0.44,18,25,21
159,0.1054,0.0918,0.18,17,25,20
161,0.0946,0.0946,0.19,16,24,20
163,0.0946,0.0946,0.12,16,24,20
165,0.0946,0.081,0.19,16,24,20
167,0.081,0.081,0.31,16,24,20
169,0.081,0.081,0.31,16,24,20
171,0.081,0.081,0.19,16,24,20
173,0.1136,0.1136,0.2,15,24,19
175,0.1136,0.1,0.2,15,24,19
177,0.1272,0.1,0.27,15,24,19
179,0.1272,0.1272,0.47,15,24,19
