move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.21,39,39,39
3,0.0,0.0272,0.1,39,39,39
5,0.0,0.0,0.15,39,39,39
7,0.0326,0.0462,0.13,38,39,38
9,0.0326,0.0326,0.13,38,39,38
11,0.0326,0.0326,0.03,38,39,38
13,0.0326,0.0326,0.24,37,38,37
15,0.0326,0.0326,0.11,36,37,36
17,0.0326,0.0326,0.22,36,37,36
19,0.0326,0.0326,0.08,36,37,36
21,0.0326,0.0326,0.11,36,37,36
23,0.0348,0.0348,0.22,36,37,36
25,0.1217,0.1217,0.09,35,37,35
27,0.1217,0.1217,0.17,35,37,35
29,0.1543,0.1679,0.03,34,37,34
31,0.187,0.2141,0.18,33,37,33
33,0.1848,0.1848,0.25,32,36,32
35,0.1848,0.1848,0.19,32,36,32
37,0.1957,0.2228,0.23,31,36,31
39,0.1957,0.1957,0.16,31,36,31
41,0.1957,0.2228,0.23,31,36,31
43,0.1957,0.2228,0.23,31,36,31
45,0.2283,0.2283,0.23,30,36,30
47,0.2848,0.2984,0.21,29,36,29
49,0.2826,0.2962,0.17,29,36,29
51,0.2826,0.2826,0.24,29,36,29
53,0.2826,0.2962,0.21,29,36,29
55,0.3152,0.3288,0.18,28,36,28
57,0.3152,0.3424,0.29,28,36,28
59,0.3152,0.3152,0.14,28,36,28
61,0.3283,0.3554,0.26,27,36,27
63,0.3283,0.3283,0.11,27,36,27
65,0.3609,0.3609,0.35,26,36,26
67,0.3717,0.3853,0.12,25,36,25
69,0.3853,0.3989,0.16,25,36,25
71,0.3875,0.3875,0.12,25,36,25
73,0.3853,0.3717,0.08,24,35,24
75,0.3745,0.3609,0.13,23,34,24
77,0.3745,0.388,0.26,23,34,24
79,0.3745,0.388,0.17,23,34,24
81,0.3745,0.3609,0.17,23,34,24
83,0.3745,0.3609,0.13,23,34,24
85,0.3745,0.388,0.13,23,34,24
87,0.3745,0.3609,0.17,23,34,24
89,0.4092,0.3957,0.27,22,34,23
91,0.4745,0.4609,0.35,20,34,21
93,0.5288,0.5152,0.11,19,34,20
95,0.5614,0.575,0.22,18,34,19
97,0.5614,0.575,0.17,18,34,19
99,0.594,0.6076,0.35,17,34,18
101,0.6049,0.6049,0.31,16,34,17
103,0.6158,0.6022,0.27,15,34,16
105,0.6701,0.6565,0.14,14,34,15
107,0.6701,0.6837,0.07,14,34,15
109,0.6701,0.6837,0.07,14,34,15
111,0.6701,0.6565,0.36,14,34,15
113,0.6701,0.6837,0.29,14,34,15
115,0.6701,0.6565,0.36,14,34,15
117,0.6701,0.6837,0.29,14,34,15
119,0.6679,0.6951,0.46,13,33,14
121,0.6788,0.706,0.17,12,33,13
123,0.6788,0.706,0.33,12,33,13
125,0.6788,0.6788,0.5,12,33,13
127,0.6788,0.6924,0.17,12,33,13
129,0.6788,0.6924,0.25,12,33,13
131,0.681,0.6946,0.42,12,33,13
133,0.7136,0.7,0.45,11,33,12
135,0.7136,0.7408,0.36,11,33,12
137,0.6788,0.706,0.5,10,32,12
139,0.6788,0.6924,0.4,10,32,12
141,0.6788,0.6788,0.5,10,32,12
143,0.6788,0.706,0.3,10,32,12
145,0.7353,0.7489,0.5,10,32,11
147,0.7353,0.7625,0.6,10,32,11
149,0.7005,0.7277,0.44,9,31,11
151,0.7005,0.7277,0.22,9,31,11
153,0.6897,0.6897,0.5,8,30,11
155,0.6788,0.706,0.14,7,29,11
157,0.6788,0.706,0.14,7,29,11
159,0.6788,0.6788,0.71,7,29,11
161,0.6788,0.706,0.29,7,29,11
163,0.6788,0.706,0.29,7,29,11
165,0.6788,0.706,0.29,7,29,11
167,0.6788,0.6652,0.29,7,29,11
169,0.681,0.7082,0.29,7,29,11
171,0.681,0.7082,0.29,7,29,11
173,0.7136,0.7,0.43,7,29,10
175,0.7136,0.7408,0.43,7,29,10
177,0.7245,0.7516,0.33,6,29,9
179,0.7245,0.7516,0.67,6,29,9
181,0.7245,0.7516,0.67,6,29,9
183,0.7245,0.7109,0.5,6,29,9
185,0.7245,0.7516,0.33,6,29,9
187,0.7266,0.7538,0.17,6,29,9
189,0.7266,0.713,0.67,6,29,9
191,0.7266,0.7538,0.67,6,29,9
193,0.7266,0.7538,0.33,6,29,9
195,0.7266,0.7538,0.33,6,29,9
197,0.7266,0.713,0.5,6,29,9
199,0.7266,0.7538,0.67,6,29,9
201,0.7266,0.7266,1.0,6,29,9
203,0.7266,0.7538,0.33,6,29,9
205,0.7266,0.713,0.5,6,29,9
207,0.7266,0.7266,0.67,6,29,9
209,0.7266,0.713,0.5,6,29,9
211,0.7266,0.7538,0.67,6,29,9
213,0.7266,0.7538,0.33,6,29,9
215,0.7266,0.7538,0.33,6,29,9
217,0.7266,0.7538,0.67,6,29,9
219,0.7266,0.7266,1.0,6,29,9
221,0.7266,0.7538,0.33,6,29,9
223,0.7288,0.7152,0.5,6,29,9
225,0.7266,0.7538,0.67,6,29,9
227,0.7266,0.7538,0.67,6,29,9
229,0.7266,0.7266,1.0,6,29,9
231,0.7266,0.7266,0.67,6,29,9
233,0.7266,0.7538,0.33,6,29,9
235,0.7266,0.7538,0.33,6,29,9
237,0.7266,0.713,0.67,6,29,9
239,0.7266,0.7538,0.33,6,29,9
241,0.7266,0.7266,1.0,6,29,9
243,0.7288,0.7152,0.67,6,29,9
245,0.7266,0.7538,0.33,6,29,9
247,0.7266,0.7538,0.33,6,29,9
