move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0136,0.23,40,40,40
3,0.0,0.0,0.17,40,40,40
5,0.0109,0.0109,0.18,39,40,39
7,0.0,0.0,0.11,38,39,39
9,0.0,0.0272,0.08,38,39,39
11,-0.0217,-0.0217,0.25,36,38,38
13,-0.0217,-0.0217,0.14,36,38,38
15,-0.0217,-0.0217,0.11,36,38,38
17,-0.0217,-0.0217,0.19,36,37,37
19,-0.0217,0.0054,0.2,35,36,36
21,-0.0217,-0.0217,0.14,35,36,36
23,-0.0326,-0.0326,0.06,34,35,36
25,-0.0326,-0.0054,0.21,34,35,36
27,0.0,0.0272,0.12,33,35,35
29,0.0,0.0,0.15,33,35,35
31,0.0,0.0,0.15,33,35,35
33,0.0,0.0272,0.12,33,35,35
35,-0.1087,-0.1087,0.22,32,34,35
37,-0.1087,-0.1087,0.12,32,34,35
39,-0.1087,-0.1087,0.19,32,34,35
41,-0.1435,-0.1435,0.13,31,33,35
43,-0.1087,-0.0815,0.23,31,33,34
45,-0.1087,-0.0815,0.23,31,33,34
47,-0.1087,-0.1087,0.1,31,33,34
49,-0.0783,-0.0783,0.3,30,32,33
51,-0.0891,-0.062,0.17,30,31,33
53,-0.1217,-0.1217,0.17,30,30,33
55,-0.0652,-0.038,0.2,30,30,32
57,-0.063,-0.063,0.23,30,30,32
59,-0.0652,-0.0652,0.17,30,30,32
61,-0.0543,-0.0543,0.1,29,30,31
63,-0.0543,-0.0543,0.1,29,30,31
65,-0.0543,-0.0543,0.07,29,30,31
67,-0.1413,-0.1277,0.1,29,29,31
69,-0.1435,-0.1435,0.03,29,29,31
71,-0.1435,-0.1163,0.14,29,29,31
73,-0.1435,-0.1435,0.17,29,29,31
75,-0.1435,-0.1435,0.17,29,29,31
77,-0.1326,-0.1326,0.07,28,29,30
79,-0.1326,-0.1054,0.14,28,29,30
81,-0.1326,-0.1326,0.25,28,29,30
83,-0.1326,-0.1054,0.25,28,29,30
85,-0.1326,-0.1054,0.14,28,29,30
87,-0.1326,-0.1326,0.32,28,29,30
89,-0.1913,-0.1913,0.11,27,28,30
91,-0.1913,-0.1641,0.15,27,28,30
93,-0.1913,-0.1913,0.07,27,28,30
95,-0.1913,-0.1913,0.22,27,28,30
97,-0.1913,-0.1641,0.15,27,28,30
99,-0.1913,-0.1913,0.07,27,28,30
101,-0.1913,-0.1641,0.11,27,28,30
103,-0.3,-0.3,0.12,26,27,30
105,-0.3,-0.3,0.12,26,27,30
107,-0.2457,-0.2457,0.2,25,27,29
109,-0.2435,-0.2163,0.16,25,27,29
111,-0.2326,-0.2054,0.12,25,27,28
113,-0.2326,-0.219,0.28,25,27,28
115,-0.2326,-0.219,0.08,25,27,28
117,-0.2326,-0.2326,0.08,25,27,28
119,-0.3217,-0.2946,0.25,24,26,28
121,-0.3217,-0.3217,0.08,24,26,28
123,-0.3217,-0.3217,0.21,24,26,28
125,-0.3217,-0.3217,0.12,24,26,28
127,-0.3217,-0.2946,0.08,24,26,28
129,-0.3217,-0.2946,0.08,24,26,28
131,-0.3109,-0.2837,0.04,23,26,27
133,-0.3109,-0.2837,0.26,23,26,27
135,-0.3109,-0.3109,0.17,23,26,27
137,-0.3435,-0.3435,0.0,22,25,27
139,-0.3457,-0.3185,0.09,22,25,27
141,-0.3783,-0.3511,0.14,22,24,27
143,-0.3217,-0.281,0.23,22,24,26
145,-0.3217,-0.3082,0.23,22,24,26
147,-0.3326,-0.3326,0.1,21,23,26
149,-0.3326,-0.3326,0.19,21,23,26
151,-0.3326,-0.3326,0.19,21,23,26
153,-0.3326,-0.3326,0.0,21,23,26
155,-0.3326,-0.3326,0.24,21,23,26
157,-0.3217,-0.2946,0.2,20,23,25
159,-0.3217,-0.3217,0.2,20,23,25
161,-0.3217,-0.2946,0.15,20,23,25
163,-0.3217,-0.3217,0.15,20,23,25
165,-0.3217,-0.2946,0.4,20,23,25
167,-0.3217,-0.3082,0.15,20,23,25
169,-0.3217,-0.2946,0.1,20,23,25
171,-0.3217,-0.3217,0.15,20,23,25
173,-0.3217,-0.3082,0.25,20,23,25
175,-0.3217,-0.2946,0.05,20,23,25
177,-0.3565,-0.3293,0.16,19,22,25
179,-0.3543,-0.3272,0.05,19,21,24
181,-0.3543,-0.3272,0.26,19,21,24
183,-0.3543,-0.3408,0.16,19,21,24
185,-0.3543,-0.3272,0.05,19,21,24
187,-0.3543,-0.3408,0.26,19,21,24
189,-0.3543,-0.3543,0.16,19,21,24
191,-0.3435,-0.3435,0.11,18,21,23
193,-0.3435,-0.3027,0.28,18,21,23
195,-0.3065,-0.2658,0.17,18,21,22
197,-0.3065,-0.3065,0.33,18,21,22
199,-0.3609,-0.3201,0.22,18,20,22
201,-0.3609,-0.3337,0.39,18,20,22
203,-0.3609,-0.3337,0.17,18,20,22
205,-0.3609,-0.3201,0.0,18,20,22
207,-0.3587,-0.3587,0.33,18,20,22
209,-0.3609,-0.3201,0.22,18,20,22
