move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.12,40,40,40
2,0.0,0.0,0.15,40,40,40
4,0.0109,0.0109,0.1,39,40,39
6,0.0109,0.0109,0.15,39,40,39
8,0.0109,0.0109,0.21,39,40,39
10,-0.0217,-0.0217,0.21,38,39,39
12,-0.0543,-0.0543,0.05,37,38,39
14,-0.0217,-0.0217,0.16,37,38,38
16,-0.0217,-0.0217,0.03,37,37,37
18,-0.0217,-0.0217,0.11,37,37,37
20,-0.1304,-0.1304,0.17,36,36,37
22,-0.1413,-0.1413,0.2,35,35,37
24,-0.1087,-0.1087,0.09,35,35,36
26,-0.1087,-0.1087,0.06,35,35,36
28,-0.0761,-0.0761,0.21,34,35,35
30,-0.0761,-0.0761,0.18,34,35,35
32,-0.0761,-0.0761,0.15,34,35,35
34,-0.1087,-0.1087,0.09,33,34,35
36,-0.1109,-0.1109,0.18,33,34,35
38,-0.0543,-0.0543,0.18,33,34,34
40,-0.0543,-0.0543,0.18,33,34,34
42,-0.0543,-0.0543,0.12,33,34,34
44,-0.0543,-0.0543,0.15,33,34,34
46,-0.0543,-0.0543,0.18,33,34,34
48,-0.0543,-0.0543,0.12,33,34,34
50,-0.0565,-0.0565,0.15,33,34,34
52,-0.0565,-0.0565,0.12,33,34,34
54,-0.0565,-0.0565,0.24,33,34,34
56,-0.0565,-0.0565,0.3,33,34,34
58,-0.0565,-0.0565,0.18,33,34,34
60,-0.0565,-0.0565,0.12,33,34,34
62,-0.1435,-0.1435,0.09,33,33,34
64,-0.1435,-0.1435,0.15,33,33,34
66,-0.1435,-0.1435,0.09,33,33,34
68,-0.1435,-0.1435,0.06,33,33,34
70,-0.1326,-0.1326,0.12,32,33,33
72,-0.1326,-0.1326,0.16,32,33,33
74,-0.1326,-0.1326,0.16,32,33,33
76,-0.1674,-0.1674,0.23,31,32,33
78,-0.1326,-0.1326,0.23,31,32,32
80,-0.1326,-0.1326,0.23,31,32,32
82,-0.1326,-0.1326,0.06,31,32,32
84,-0.1326,-0.1326,0.06,31,32,32
86,-0.1348,-0.1348,0.13,31,32,32
88,-0.1217,-0.1217,0.07,30,32,31
90,-0.1217,-0.1217,0.13,30,32,31
92,-0.1196,-0.1196,0.1,30,32,31
94,-0.1196,-0.1196,0.17,30,32,31
96,-0.1217,-0.1217,0.27,30,32,31
98,-0.087,-0.087,0.18,28,31,29
100,-0.087,-0.087,0.21,28,31,29
102,-0.0326,-0.0326,0.07,27,31,28
104,-0.0217,-0.0082,0.23,26,31,27
106,-0.0217,-0.0217,0.15,26,31,27
108,-0.0217,-0.0217,0.15,26,31,27
110,-0.0587,-0.0587,0.16,25,30,27
112,-0.113,-0.113,0.32,25,29,27
114,-0.1109,-0.1109,0.12,25,28,26
116,-0.1087,-0.0951,0.28,25,28,26
118,-0.1087,-0.1087,0.12,25,28,26
120,-0.1087,-0.1087,0.12,25,28,26
122,-0.1109,-0.1109,0.08,25,28,26
124,-0.113,-0.113,0.04,25,28,26
126,-0.113,-0.113,0.04,25,28,26
128,-0.1109,-0.1109,0.29,24,27,25
130,-0.1353,-0.1353,0.17,23,26,25
132,-0.1353,-0.1353,0.13,23,26,25
134,-0.1332,-0.1332,0.22,23,26,25
136,-0.144,-0.144,0.23,22,25,25
138,-0.144,-0.1304,0.23,22,25,25
140,-0.1462,-0.1326,0.18,22,25,25
142,-0.1462,-0.1348,0.14,22,25,25
144,-0.144,-0.144,0.19,21,24,24
146,-0.1304,-0.144,0.14,21,24,24
148,-0.1543,-0.1679,0.21,19,23,23
150,-0.1543,-0.1679,0.21,19,23,23
152,-0.1543,-0.1679,0.26,19,23,23
154,-0.1543,-0.1543,0.16,19,23,23
156,-0.1543,-0.1679,0.26,19,23,23
158,-0.1543,-0.1679,0.21,19,23,23
160,-0.1543,-0.1679,0.26,19,23,23
162,-0.1543,-0.1543,0.11,19,23,23
164,-0.1565,-0.1565,0.21,19,23,23
166,-0.1565,-0.1701,0.16,19,23,23
168,-0.1565,-0.1565,0.32,19,23,23
170,-0.1565,-0.1565,0.05,19,23,23
172,-0.1565,-0.1565,0.21,19,23,23
174,-0.2435,-0.2571,0.32,19,22,23
176,-0.2435,-0.2571,0.26,19,22,23
178,-0.2435,-0.2435,0.32,19,22,23
180,-0.2435,-0.2435,0.16,19,22,23
182,-0.2413,-0.2549,0.26,19,22,23
184,-0.2413,-0.2549,0.21,19,22,23
186,-0.2168,-0.2168,0.39,18,22,22
188,-0.2168,-0.2304,0.44,18,22,22
190,-0.2168,-0.2304,0.28,18,22,22
192,-0.2734,-0.2734,0.39,18,21,22
194,-0.2755,-0.2891,0.11,18,21,22
196,-0.2755,-0.2891,0.22,18,21,22
198,-0.2755,-0.3027,0.11,18,21,22
200,-0.3082,-0.3353,0.22,18,20,22
202,-0.3408,-0.3679,0.17,18,19,22
204,-0.3386,-0.3658,0.39,18,18,21
206,-0.3386,-0.3522,0.22,18,18,21
208,-0.3386,-0.3658,0.28,18,18,21
210,-0.3386,-0.3522,0.39,18,18,21
212,-0.3386,-0.3522,0.17,18,18,21
214,-0.3386,-0.3658,0.22,18,17,20
216,-0.3386,-0.3522,0.06,18,17,20
218,-0.2277,-0.2277,0.5,18,17,19
