move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.12,40,40,40
2,0.0,0.0,0.15,40,40,40
4,0.0,0.0,0.15,39,39,39
6,0.0,0.0,0.13,39,39,39
8,0.0,0.0,0.18,39,39,39
10,-0.0109,-0.0109,0.11,38,38,39
12,-0.0109,-0.0109,0.11,38,37,38
14,-0.0109,-0.0109,0.21,38,37,38
16,0.0217,0.0217,0.16,37,37,37
18,0.0217,0.0217,0.24,37,37,37
20,-0.0217,-0.0217,0.14,35,36,36
22,-0.0217,-0.0217,0.14,35,36,36
24,-0.0217,-0.0217,0.14,35,36,36
26,-0.0217,-0.0217,0.06,35,36,36
28,-0.0217,-0.0217,0.09,35,36,36
30,-0.0217,-0.0217,0.23,35,36,36
32,0.013,0.013,0.18,34,36,35
34,-0.0326,-0.0326,0.09,32,35,34
36,-0.0326,-0.0326,0.09,32,35,34
38,-0.0326,-0.0326,0.09,32,35,34
40,-0.0326,-0.0326,0.03,32,35,34
42,-0.0326,-0.0326,0.19,32,35,34
44,-0.0326,-0.0326,0.19,32,35,34
46,-0.0326,-0.0326,0.12,32,35,34
48,-0.0326,-0.0326,0.19,32,35,34
50,-0.0326,-0.0326,0.19,32,35,34
52,-0.0326,-0.0326,0.06,32,35,34
54,-0.0326,-0.0326,0.19,32,35,34
56,-0.0326,-0.0326,0.19,32,35,34
58,-0.0326,-0.0326,0.09,32,35,34
60,-0.0674,-0.0674,0.06,32,34,34
62,-0.0674,-0.0674,0.22,32,34,34
64,-0.0674,-0.0674,0.19,32,34,34
66,-0.0674,-0.0674,0.12,32,34,34
68,-0.0674,-0.0674,0.09,32,34,34
70,-0.0674,-0.0674,0.09,32,34,34
72,-0.0674,-0.0674,0.22,32,34,34
74,-0.0674,-0.0674,0.22,32,34,34
76,-0.0674,-0.0674,0.12,32,34,34
78,-0.0674,-0.0674,0.09,32,34,34
80,-0.0674,-0.0674,0.12,32,34,34
82,-0.0674,-0.0674,0.03,32,34,34
84,-0.0674,-0.0674,0.12,32,34,34
86,-0.0674,-0.0674,0.19,32,34,34
88,-0.0674,-0.0674,0.09,32,34,34
90,-0.0674,-0.0674,0.12,32,34,34
92,-0.0674,-0.0674,0.19,32,34,34
94,-0.0674,-0.0674,0.09,32,34,34
96,-0.0674,-0.0674,0.19,32,34,34
98,-0.0674,-0.0674,0.12,32,34,34
100,-0.0674,-0.0674,0.22,32,34,34
102,-0.0674,-0.0674,0.03,32,34,34
104,-0.0674,-0.0674,0.19,32,34,34
106,-0.0674,-0.0674,0.09,32,34,34
108,-0.0674,-0.0674,0.22,32,34,34
110,-0.0674,-0.0674,0.09,32,34,34
112,-0.0674,-0.0674,0.19,32,34,34
114,-0.0674,-0.0402,0.31,32,34,34
116,-0.0674,-0.0674,0.12,32,34,34
118,-0.0674,-0.0538,0.12,32,34,34
120,-0.0674,-0.0674,0.22,32,34,34
122,-0.0674,-0.0674,0.06,32,34,34
124,-0.0674,-0.0674,0.12,32,34,34
126,-0.0674,-0.0674,0.03,32,34,34
128,-0.0674,-0.0674,0.06,32,34,34
130,-0.0674,-0.0674,0.06,32,34,34
132,-0.0674,-0.0538,0.06,32,34,34
134,-0.0674,-0.0538,0.12,32,34,34
136,-0.0674,-0.0674,0.09,32,34,34
138,-0.0674,-0.0674,0.22,32,34,34
140,-0.0674,-0.0674,0.16,32,34,34
142,-0.0674,-0.0674,0.16,32,34,34
144,-0.0674,-0.0674,0.06,32,34,34
146,-0.0674,-0.0674,0.09,32,34,34
148,-0.0674,-0.0674,0.22,32,34,34
150,-0.0674,-0.0674,0.12,32,34,34
152,-0.0674,-0.0674,0.19,32,34,34
154,-0.0674,-0.0674,0.09,32,34,34
156,-0.0674,-0.0674,0.06,32,34,34
158,-0.0674,-0.0674,0.12,32,34,34
160,-0.0674,-0.0674,0.19,32,34,34
162,-0.0674,-0.0674,0.06,32,34,34
164,-0.0674,-0.0674,0.19,32,34,34
166,-0.0674,-0.0674,0.12,32,34,34
168,-0.0674,-0.0674,0.09,32,34,34
170,-0.0674,-0.0674,0.06,32,34,34
172,-0.0674,-0.0674,0.19,32,34,34
174,-0.0674,-0.0674,0.19,32,34,34
176,-0.0674,-0.0674,0.16,32,34,34
178,-0.0674,-0.0674,0.09,32,34,34
180,-0.0674,-0.0674,0.09,32,34,34
182,-0.0674,-0.0674,0.16,32,34,34
184,-0.0674,-0.0674,0.19,32,34,34
186,-0.0674,-0.0674,0.19,32,34,34
188,-0.0674,-0.0674,0.16,32,34,34
190,-0.0674,-0.0674,0.16,32,34,34
192,-0.0674,-0.0674,0.16,32,34,34
194,-0.0674,-0.0674,0.09,32,34,34
196,-0.0674,-0.0674,0.06,32,34,34
198,-0.0674,-0.0674,0.19,32,34,34
200,-0.0674,-0.0674,0.19,32,34,34
202,-0.0674,-0.0674,0.09,32,34,34
204,-0.0674,-0.0674,0.19,32,34,34
206,-0.0674,-0.0674,0.12,32,34,34
