move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.12,40,40,40
2,0.0,0.0,0.15,39,39,39
4,0.0,0.0,0.08,39,39,39
6,-0.0543,-0.0543,0.18,38,38,39
8,-0.0217,-0.0217,0.19,37,38,38
10,-0.0326,-0.0326,0.14,36,37,38
12,-0.087,-0.087,0.2,35,36,38
14,-0.087,-0.087,0.17,35,36,38
16,-0.087,-0.087,0.2,35,36,38
18,-0.0543,-0.0543,0.11,35,36,37
20,-0.0413,-0.0413,0.21,34,36,36
22,-0.0326,-0.0326,0.19,32,35,34
24,-0.0326,-0.019,0.12,32,35,34
26,-0.0348,-0.0212,0.12,32,35,34
28,-0.0457,-0.0321,0.28,32,34,34
30,0.0109,0.0109,0.25,32,34,33
32,0.0109,0.0245,0.16,32,34,33
34,0.0109,0.0109,0.22,32,34,33
36,0.0435,0.0435,0.13,31,34,32
38,0.0543,0.0543,0.07,29,33,30
40,0.0543,0.0679,0.17,29,33,30
42,0.0543,0.0543,0.28,29,33,30
44,0.0543,0.0543,0.17,29,33,30
46,0.0543,0.0543,0.07,29,33,30
48,0.0543,0.0543,0.24,29,33,30
50,0.0543,0.0543,0.14,29,33,30
52,0.1087,0.1087,0.21,28,33,29
54,0.1087,0.1087,0.18,28,33,29
56,0.1087,0.1087,0.21,28,33,29
58,0.1087,0.1087,0.21,28,33,29
60,0.1087,0.1087,0.14,28,33,29
62,0.1087,0.1087,0.18,28,33,29
64,0.1196,0.1196,0.15,27,33,28
66,0.1304,0.1304,0.23,26,33,27
68,0.1304,0.1304,0.08,26,33,27
70,0.1196,0.1196,0.16,25,32,27
72,0.1196,0.1196,0.2,25,32,27
74,0.1174,0.1174,0.24,25,32,27
76,0.1196,0.1196,0.04,25,31,26
78,0.1217,0.1217,0.04,25,31,26
80,0.1217,0.1217,0.2,25,31,26
82,0.0674,0.0674,0.08,24,30,26
84,0.0674,0.0674,0.12,24,30,26
86,0.1543,0.1543,0.21,24,30,25
88,0.1543,0.1543,0.17,24,30,25
90,0.1543,0.1543,0.17,24,30,25
92,0.1522,0.1658,0.29,24,30,25
94,0.1522,0.1658,0.33,24,30,25
96,0.1522,0.1522,0.12,24,30,25
98,0.1522,0.1522,0.21,24,30,25
100,0.1522,0.1522,0.21,24,30,25
102,0.1522,0.1522,0.17,24,30,25
104,0.187,0.187,0.26,23,30,24
106,0.187,0.2005,0.17,23,30,24
108,0.187,0.187,0.17,23,30,24
110,0.1891,0.1891,0.22,23,30,24
112,0.187,0.2005,0.13,23,30,24
114,0.187,0.2005,0.35,23,30,24
116,0.2196,0.2196,0.23,22,30,23
118,0.2196,0.2332,0.14,22,30,23
120,0.2196,0.2332,0.41,22,30,23
122,0.2196,0.2196,0.32,22,30,23
