move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.2,40,40,40
2,0.0,0.0,0.12,40,40,40
4,0.0,0.0,0.15,40,40,40
6,0.0,0.0,0.12,40,40,40
8,-0.0543,-0.0543,0.18,39,39,40
10,-0.0543,-0.0543,0.18,38,38,39
12,-0.0435,-0.0435,0.11,37,38,38
14,-0.0435,-0.0435,0.05,37,38,38
16,-0.0435,-0.0435,0.11,37,38,38
18,-0.0435,-0.0435,0.05,37,38,38
20,-0.0413,-0.0413,0.14,37,38,38
22,-0.0087,-0.0087,0.14,36,38,37
24,-0.0087,-0.0087,0.22,36,38,37
26,-0.0109,-0.0109,0.11,36,38,37
28,-0.0109,0.0027,0.17,35,37,36
30,-0.0109,-0.0109,0.11,35,37,36
32,-0.0109,-0.0109,0.2,35,37,36
34,0.0239,0.0239,0.18,34,37,35
36,0.013,0.013,0.12,33,36,35
38,0.013,0.013,0.12,33,36,35
40,0.0457,0.0457,0.09,32,36,34
42,0.0457,0.0457,0.16,32,35,33
44,0.0783,0.0783,0.23,31,35,32
46,0.0109,0.0109,0.17,29,33,32
48,0.0109,0.0109,0.21,29,33,32
50,0.0109,0.0109,0.17,29,33,32
52,0.0109,0.0245,0.1,29,33,32
54,0.0109,0.0109,0.17,29,33,32
56,0.0109,0.0109,0.14,29,33,32
58,0.0109,0.0109,0.17,29,33,32
60,0.0217,0.0217,0.11,28,33,31
62,0.0217,0.0217,0.14,28,33,31
64,0.0217,0.0217,0.18,28,33,31
66,0.0217,0.0217,0.11,28,33,31
68,0.0217,0.0217,0.11,28,33,31
70,0.0565,0.0565,0.19,27,33,30
72,0.0565,0.0565,0.11,27,33,30
74,0.0565,0.0565,0.07,27,33,30
76,0.0565,0.0565,0.26,27,33,30
78,0.0674,0.0674,0.12,26,33,29
80,0.0674,0.0674,0.23,26,33,29
82,0.1,0.1,0.16,25,33,28
84,0.1,0.1,0.12,25,33,28
86,0.1,0.1,0.2,25,33,28
88,0.1109,0.1109,0.25,24,33,27
90,0.1109,0.1109,0.21,24,33,27
92,0.1435,0.1435,0.17,23,33,26
94,0.1435,0.1435,0.22,23,33,26
96,0.1543,0.1543,0.05,22,33,25
98,0.1543,0.1543,0.14,22,33,25
100,0.1543,0.1543,0.14,22,33,25
102,0.1543,0.1679,0.18,22,33,25
104,0.1543,0.1543,0.09,22,33,25
106,0.187,0.2005,0.19,21,33,24
108,0.187,0.2005,0.1,21,33,24
110,0.2005,0.2005,0.24,21,33,24
112,0.2005,0.187,0.14,21,33,24
114,0.187,0.187,0.19,21,33,24
116,0.187,0.187,0.14,21,33,24
118,0.187,0.187,0.19,21,33,24
120,0.2114,0.1978,0.25,20,33,23
122,0.2114,0.1978,0.15,20,33,23
124,0.2114,0.1978,0.05,20,33,23
126,0.2114,0.1978,0.15,20,33,23
128,0.2092,0.1957,0.15,20,33,23
130,0.1201,0.1065,0.21,19,32,23
132,0.1201,0.1065,0.16,19,32,23
134,0.1201,0.1065,0.11,19,32,23
136,0.1201,0.1065,0.11,19,32,23
138,0.1201,0.1065,0.26,19,32,23
140,0.1201,0.1473,0.37,19,32,23
142,0.1201,0.1473,0.32,19,32,23
144,0.1201,0.1065,0.16,19,32,23
146,0.1201,0.1201,0.26,19,32,23
148,0.1201,0.1473,0.37,19,32,23
150,0.1201,0.1065,0.21,19,32,23
152,0.1201,0.1473,0.32,19,32,23
154,0.1201,0.1201,0.32,19,32,23
156,0.1201,0.1201,0.39,18,31,22
158,0.1201,0.1201,0.39,18,31,22
160,0.1201,0.1201,0.28,18,31,22
162,0.1201,0.1065,0.44,18,31,22
164,0.0875,0.1147,0.17,18,30,22
166,0.1766,0.163,0.33,18,30,21
168,0.1745,0.1745,0.39,18,30,21
170,0.1745,0.1609,0.33,18,30,21
172,0.1875,0.1875,0.29,17,30,20
174,0.1853,0.2125,0.35,17,30,20
176,0.1984,0.2255,0.38,16,30,19
178,0.1984,0.1984,0.38,16,30,19
180,0.1984,0.1984,0.44,16,30,19
182,0.1984,0.212,0.56,16,30,19
184,0.1984,0.212,0.31,16,30,19
186,0.1984,0.1984,0.56,16,30,19
188,0.1984,0.212,0.31,16,30,19
190,0.1984,0.212,0.25,16,30,19
192,0.1984,0.212,0.44,16,30,19
194,0.1984,0.212,0.31,16,30,19
196,0.1984,0.212,0.31,16,30,19
198,0.3071,0.3071,0.31,16,30,18
200,0.3071,0.3207,0.5,16,30,18
202,0.3201,0.3337,0.4,15,30,17
204,0.3201,0.3337,0.47,15,30,17
206,0.3527,0.3799,0.5,14,30,16
208,0.3527,0.3663,0.5,14,30,16
210,0.3527,0.3663,0.43,14,30,16
212,0.4397,0.4668,0.58,12,30,14
214,0.4397,0.4668,0.58,12,30,14
216,0.4397,0.4533,0.5,12,30,14
218,0.494,0.5076,0.45,11,30,13
220,0.5266,0.5402,0.45,11,30,12
222,0.581,0.5946,0.5,10,30,11
224,0.581,0.5946,0.4,10,30,11
226,0.5832,0.5967,0.4,10,30,11
228,0.6158,0.6293,0.44,9,30,10
230,0.6158,0.6293,0.56,9,30,10
232,0.6158,0.6158,0.78,9,30,10
234,0.6158,0.6158,0.44,9,30,10
236,0.6158,0.6158,0.56,9,30,10
238,0.6158,0.6429,0.78,9,30,10
240,0.6158,0.6293,0.78,9,30,10
242,0.6158,0.6429,0.56,9,30,10
244,0.6158,0.6429,0.78,9,30,10
246,0.6158,0.6429,0.56,9,30,10
248,0.6158,0.6293,0.44,9,30,10
250,0.6158,0.6429,0.56,9,30,10
252,0.6179,0.6315,0.78,9,30,10
254,0.6179,0.6179,0.78,9,30,10
256,0.6179,0.6179,0.56,9,30,10
258,0.6179,0.6179,0.56,9,30,10
260,0.6179,0.6179,0.44,9,30,10
262,0.6179,0.6179,0.44,9,30,10
264,0.6158,0.6158,0.44,9,30,10
266,0.6136,0.6408,0.44,9,30,10
268,0.6136,0.6136,0.44,9,30,10
270,0.6136,0.6136,0.67,9,30,10
272,0.6136,0.6272,0.78,9,30,10
274,0.6136,0.6272,0.56,9,30,10
276,0.6136,0.6136,0.67,9,30,10
278,0.6136,0.6136,0.78,9,30,10
280,0.6027,0.6027,0.75,8,29,10
282,0.6027,0.6163,0.75,8,29,10
284,0.6027,0.6299,0.75,8,29,10
286,0.6027,0.6163,0.5,8,29,10
288,0.6027,0.6027,0.62,8,29,10
290,0.6049,0.6321,0.38,8,29,10
292,0.6049,0.6049,0.5,8,29,10
294,0.6049,0.6049,0.62,8,29,10
296,0.6049,0.6321,0.5,8,29,10
298,0.6049,0.6049,0.62,8,29,10
300,0.6049,0.6185,0.5,8,29,10
302,0.6049,0.6321,0.38,8,29,10
304,0.6049,0.6185,0.38,8,29,10
306,0.6049,0.6185,0.5,8,29,10
308,0.6049,0.6049,0.62,8,29,10
310,0.6049,0.6185,0.5,8,29,10
312,0.6049,0.6185,0.75,8,29,10
314,0.6049,0.6321,0.5,8,29,10
316,0.6049,0.6185,0.5,8,29,10
318,0.6049,0.6049,0.38,8,29,10
320,0.6049,0.6049,0.38,8,29,10
322,0.6636,0.6636,1.0,8,29,9
324,0.6636,0.6636,0.75,8,29,9
326,0.6636,0.6636,0.5,8,29,9
328,0.6636,0.6636,0.38,8,29,9
330,0.6636,0.6772,0.5,8,29,9
332,0.6636,0.6636,0.62,8,29,9
334,0.6636,0.6772,0.5,8,29,9
336,0.6636,0.6908,0.38,8,29,9
338,0.6658,0.6658,0.75,8,29,9
340,0.6658,0.6929,0.5,8,29,9
342,0.6658,0.6658,0.62,8,29,9
344,0.6658,0.6793,0.5,8,29,9
346,0.6658,0.6929,0.5,8,29,9
348,0.6658,0.6658,0.38,8,29,9
350,0.6636,0.6908,0.38,8,29,9
352,0.6636,0.6772,0.5,8,29,9
354,0.6636,0.6636,0.62,8,29,9
356,0.6636,0.6772,0.5,8,29,9
358,0.6636,0.6636,0.38,8,29,9
360,0.6636,0.6636,0.5,8,29,9
362,0.6636,0.6772,0.75,8,29,9
364,0.6636,0.6772,0.5,8,29,9
366,0.7201,0.7473,0.43,7,29,8
368,0.7201,0.7337,0.43,7,29,8
370,0.7201,0.7337,0.43,7,29,8
372,0.7201,0.7337,0.43,7,29,8
374,0.7201,0.7337,0.71,7,29,8
376,0.7201,0.7337,0.43,7,29,8
378,0.7201,0.7473,0.71,7,29,8
380,0.7745,0.788,0.43,7,29,7
382,0.7745,0.8016,0.43,7,29,7
