move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.15,40,40,40
3,0.0,0.0136,0.15,40,40,40
5,0.0326,0.0326,0.23,39,40,39
7,0.0326,0.0326,0.15,39,40,39
9,0.0326,0.0326,0.18,39,40,39
11,0.0326,0.0462,0.08,39,40,39
13,0.0652,0.0788,0.16,38,40,38
15,0.0652,0.0652,0.13,38,40,38
17,0.0652,0.0652,0.13,38,40,38
19,0.0652,0.0788,0.18,38,40,38
21,0.0652,0.0652,0.21,38,40,38
23,0.0652,0.0788,0.14,37,39,37
25,0.0652,0.0652,0.11,37,39,37
27,0.0652,0.0652,0.19,37,39,37
29,0.0652,0.0788,0.14,37,39,37
31,0.0652,0.0652,0.19,37,39,37
33,0.0652,0.0788,0.11,37,39,37
35,0.0652,0.0788,0.16,37,39,37
37,0.0326,0.0462,0.17,36,38,37
39,0.0326,0.0462,0.14,36,38,37
41,0.0326,0.0326,0.03,36,38,37
43,0.0326,0.0462,0.08,36,38,37
45,0.0304,0.044,0.11,36,38,37
47,-0.0239,-0.0103,0.06,36,37,37
49,-0.0565,-0.0565,0.14,36,36,37
51,0.0543,0.0679,0.14,36,36,36
53,0.0543,0.0679,0.17,36,36,36
55,0.0543,0.0543,0.17,36,36,36
57,0.0543,0.0543,0.14,36,36,36
59,0.0565,0.0565,0.11,36,36,36
61,0.0565,0.0565,0.14,36,36,36
63,-0.0217,-0.0217,0.15,34,35,35
65,-0.0326,-0.0326,0.09,33,34,35
67,-0.0326,-0.0326,0.09,33,34,35
69,-0.0326,-0.0326,0.24,33,34,35
71,-0.0457,-0.0457,0.22,32,33,35
73,-0.0565,-0.0565,0.28,32,31,34
75,-0.0565,-0.0565,0.12,32,31,34
77,-0.0565,-0.0565,0.06,32,31,34
79,-0.0565,-0.0293,0.22,32,31,34
81,-0.0565,-0.0293,0.22,32,31,34
83,-0.0565,-0.0565,0.31,32,31,34
85,-0.0565,-0.0293,0.16,32,31,34
87,-0.0565,-0.0565,0.16,32,31,34
89,-0.0565,-0.0565,0.12,32,31,34
91,-0.0565,-0.0565,0.06,32,31,34
93,-0.0674,-0.0674,0.16,32,30,34
95,-0.0674,-0.0402,0.19,32,30,34
97,-0.0674,-0.0402,0.19,32,30,34
99,-0.0674,-0.0674,0.38,32,30,34
101,-0.0674,-0.0674,0.16,32,30,34
