move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.12,40,40,40
3,0.0,0.0136,0.12,40,40,40
5,0.0,0.0,0.15,40,40,40
7,0.0326,0.0598,0.1,39,40,39
9,0.0326,0.0462,0.13,39,40,39
11,0.0652,0.0652,0.16,38,40,38
13,0.0652,0.0652,0.13,38,40,38
15,0.0109,0.0109,0.35,37,39,38
17,0.0109,0.0109,0.14,37,39,38
19,0.0109,0.0245,0.16,37,39,38
21,-0.0435,-0.0435,0.17,36,38,38
23,-0.0435,-0.0299,0.19,36,38,38
25,-0.0304,-0.0304,0.14,35,38,37
27,-0.0326,-0.0326,0.2,35,38,37
29,-0.0326,-0.0326,0.17,35,38,37
31,-0.0326,-0.019,0.14,35,38,37
33,-0.0326,-0.019,0.14,35,37,36
35,-0.0326,-0.0326,0.09,35,36,35
37,-0.0326,-0.0326,0.09,35,36,35
39,0.0,0.0,0.18,34,36,34
41,0.0,0.0,0.18,34,36,34
43,0.0,0.0,0.15,34,36,34
45,0.0,0.0,0.3,33,35,33
47,-0.0109,-0.0109,0.16,32,34,33
49,-0.0217,-0.0217,0.13,31,33,33
51,-0.0217,-0.0082,0.42,31,33,33
53,-0.0217,-0.0217,0.23,31,33,33
55,0.0109,0.0109,0.37,30,33,32
57,0.0435,0.0571,0.28,29,33,31
59,0.0543,0.0679,0.25,28,33,30
61,0.0565,0.0701,0.21,28,33,30
63,-0.0326,-0.0326,0.19,27,32,30
65,-0.0326,-0.0326,0.07,27,32,30
67,-0.0326,-0.0054,0.15,27,32,30
69,-0.0326,-0.0326,0.15,27,32,30
71,-0.0326,-0.0054,0.22,27,32,30
73,-0.0326,-0.0054,0.3,27,32,30
75,-0.0652,-0.0652,0.35,26,31,30
77,-0.0652,-0.0652,0.04,26,31,30
79,-0.0652,-0.038,0.04,26,31,30
81,-0.0652,-0.0516,0.23,26,31,30
83,-0.0674,-0.0674,0.19,26,31,30
85,-0.0783,-0.0511,0.2,25,30,30
87,-0.0783,-0.0511,0.08,25,30,30
89,-0.0217,-0.0217,0.2,25,30,29
91,-0.0217,-0.0082,0.16,25,30,29
93,-0.0109,0.0027,0.21,24,30,28
95,0.0049,-0.0087,0.21,24,30,28
97,0.0592,0.0457,0.3,23,30,27
99,0.0592,0.0457,0.3,23,30,27
101,0.1136,0.1136,0.27,22,30,26
103,0.1326,0.1326,0.29,21,30,25
105,0.1326,0.1326,0.33,21,30,25
107,0.1304,0.1304,0.14,21,30,25
109,0.1652,0.1788,0.29,21,30,24
111,0.1978,0.1978,0.35,20,30,23
113,0.1978,0.1978,0.35,20,30,23
115,0.1978,0.1978,0.25,20,30,23
117,0.2223,0.2087,0.42,19,30,22
119,0.2223,0.2087,0.32,19,30,22
121,0.2201,0.2201,0.21,19,30,22
123,0.2332,0.2332,0.33,18,30,21
125,0.2332,0.2332,0.44,18,30,21
127,0.2332,0.2332,0.44,18,30,21
129,0.2332,0.2196,0.39,18,30,21
131,0.2201,0.2065,0.29,17,29,21
133,0.1875,0.1739,0.24,17,28,21
135,0.1875,0.1739,0.29,17,28,21
137,0.244,0.244,0.41,17,28,20
139,0.2549,0.2413,0.25,16,28,19
141,0.2549,0.2413,0.56,16,28,19
143,0.2527,0.2527,0.19,16,28,19
145,0.2418,0.2283,0.31,16,27,19
147,0.2418,0.2283,0.31,16,27,19
149,0.2418,0.2418,0.31,16,27,19
151,0.2418,0.2554,0.25,16,27,19
153,0.2418,0.2554,0.31,16,27,19
155,0.2418,0.2283,0.19,16,27,19
157,0.2114,0.2114,0.38,16,26,19
159,0.2114,0.2114,0.25,16,26,19
161,0.2092,0.1957,0.27,15,25,18
163,0.1766,0.163,0.27,15,24,18
165,0.2875,0.2739,0.27,15,24,17
167,0.2875,0.2739,0.13,15,24,17
169,0.2875,0.2875,0.2,15,24,17
171,0.2875,0.2875,0.2,15,24,17
173,0.2875,0.2739,0.2,15,24,17
175,0.2875,0.2875,0.4,15,24,17
177,0.3011,0.3011,0.4,15,24,17
179,0.2902,0.263,0.21,14,23,17
181,0.2793,0.2793,0.38,13,22,17
183,0.2793,0.2793,0.38,13,22,17
185,0.2815,0.2543,0.08,13,22,17
187,0.2815,0.2543,0.31,13,22,17
189,0.2793,0.2522,0.5,12,21,16
191,0.2793,0.2522,0.42,12,21,16
193,0.2793,0.2522,0.33,12,21,16
195,0.2793,0.2658,0.33,12,21,16
197,0.2793,0.2793,0.33,12,21,16
199,0.2929,0.2658,0.5,12,21,16
201,0.2951,0.2951,0.67,12,21,16
203,0.3038,0.2902,0.64,11,20,14
205,0.3038,0.2766,0.55,11,20,14
207,0.3038,0.2766,0.55,11,20,14
209,0.3038,0.2902,0.55,11,20,14
211,0.3147,0.2875,0.6,10,20,13
213,0.3147,0.3011,0.5,10,20,13
215,0.3147,0.3011,0.7,10,20,13
217,0.3147,0.3011,0.5,10,20,13
219,0.3451,0.3179,0.44,9,20,12
221,0.3582,0.3174,0.5,8,20,11
223,0.3582,0.3582,0.75,8,20,11
225,0.3908,0.3908,0.71,7,20,10
227,0.3908,0.35,0.43,7,20,10
229,0.3886,0.3614,0.43,7,20,10
231,0.3886,0.3614,0.43,7,20,10
233,0.356,0.356,0.43,7,19,10
235,0.3234,0.2826,0.71,7,18,10
237,0.4125,0.3717,0.43,7,18,9
239,0.4125,0.4125,0.43,7,18,9
241,0.4125,0.3853,0.71,7,18,9
243,0.4125,0.3853,0.43,7,18,9
245,0.4125,0.3853,0.43,7,18,9
247,0.4125,0.3853,0.43,7,18,9
249,0.4125,0.4125,0.71,7,18,9
251,0.4125,0.3853,0.43,7,18,9
253,0.4125,0.3853,0.43,7,18,9
255,0.4125,0.4125,0.43,7,18,9
257,0.4125,0.3853,0.43,7,18,9
259,0.4125,0.3853,0.71,7,18,9
261,0.4082,0.4103,0.43,7,18,9
263,0.3973,0.3701,0.67,6,17,9
265,0.3429,0.3158,0.67,6,16,9
267,0.3799,0.3527,0.67,6,16,8
269,0.3799,0.3799,0.67,6,16,8
271,0.3799,0.3799,0.67,6,16,8
273,0.3799,0.3799,0.67,6,16,8
275,0.3799,0.3799,0.67,6,16,8
277,0.3799,0.3527,0.67,6,16,8
279,0.3799,0.3799,1.0,6,16,8
281,0.3799,0.3527,0.67,6,16,8
283,0.3821,0.3549,0.67,6,16,8
285,0.4147,0.3875,0.6,5,16,7
