move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.23,40,40,40
3,0.0,0.0,0.12,40,40,40
5,0.0,0.0136,0.26,39,39,39
7,0.0,0.0,0.15,39,39,39
9,0.0,0.0,0.15,39,39,39
11,0.0,0.0,0.1,39,39,39
13,0.0435,0.0435,0.11,37,39,37
15,0.0435,0.0435,0.08,36,38,36
17,0.0435,0.0435,0.25,36,38,36
19,0.0435,0.0435,0.11,36,38,36
21,0.0326,0.0326,0.14,35,37,36
23,0.0326,0.0326,0.14,35,37,36
25,0.0304,0.0304,0.11,35,37,36
27,0.0326,0.0326,0.14,35,37,36
29,0.0326,0.0326,0.11,35,36,35
31,0.0304,0.0304,0.29,35,36,35
33,0.0435,0.0435,0.21,34,36,34
35,0.0435,0.0435,0.18,34,36,34
37,0.0435,0.0435,0.15,34,36,34
39,0.0457,0.0457,0.15,34,36,34
41,0.0457,0.0728,0.18,34,36,34
43,0.0457,0.0457,0.18,34,36,34
45,0.0457,0.0457,0.18,34,36,34
47,0.0565,0.0565,0.15,33,36,33
49,0.0,0.0,0.16,32,35,33
51,0.0,0.0136,0.16,32,35,33
53,0.0,0.0,0.09,32,35,33
55,0.0,0.0,0.22,32,35,33
57,0.0,0.0136,0.09,32,35,33
59,0.0326,0.0462,0.16,31,35,32
61,0.0652,0.0924,0.23,30,35,31
63,0.0674,0.0674,0.27,30,35,31
65,0.0674,0.0674,0.13,30,35,31
67,0.0674,0.081,0.13,30,35,31
69,0.0109,0.0109,0.24,29,34,31
71,0.0109,0.038,0.14,29,34,31
73,0.0109,0.0109,0.24,29,34,31
75,0.0217,0.0489,0.21,28,34,30
77,0.0217,0.0217,0.14,28,34,30
79,0.0217,0.0217,0.11,28,34,30
81,0.0217,0.0217,0.07,28,34,30
83,0.0217,0.0625,0.21,28,34,30
85,0.0326,0.0326,0.15,27,34,29
87,0.0326,0.0462,0.19,27,34,29
89,0.0326,0.0326,0.0,27,34,29
91,0.0326,0.0326,0.19,27,34,29
93,0.0326,0.0326,0.07,27,34,29
95,0.0326,0.0326,0.19,27,34,29
97,0.0326,0.0326,0.11,27,34,29
99,0.0326,0.0462,0.22,27,34,29
101,0.0326,0.0462,0.15,27,34,29
103,0.0326,0.0462,0.19,27,34,29
105,0.0326,0.0462,0.26,27,34,29
107,0.0326,0.0326,0.22,27,34,29
109,0.1196,0.1196,0.26,27,34,28
111,0.1652,0.1652,0.24,25,34,26
113,0.1652,0.1652,0.24,25,34,26
115,0.163,0.1766,0.25,24,33,25
117,0.163,0.163,0.33,24,33,25
119,0.1739,0.1739,0.22,23,33,24
121,0.1739,0.1739,0.22,23,33,24
123,0.1739,0.1875,0.04,23,33,24
125,0.1897,0.1897,0.22,23,33,24
127,0.2033,0.2033,0.18,22,32,23
129,0.2033,0.2168,0.14,22,32,23
131,0.1897,0.1761,0.23,22,32,23
133,0.1897,0.1897,0.18,22,32,23
135,0.1897,0.1897,0.18,22,32,23
137,0.1897,0.1897,0.23,22,32,23
139,0.1897,0.1761,0.18,22,32,23
141,0.1761,0.2168,0.18,22,32,23
143,0.2304,0.2304,0.14,21,32,22
145,0.244,0.244,0.14,21,32,22
147,0.244,0.244,0.24,21,32,22
149,0.2304,0.2304,0.19,21,32,22
151,0.2304,0.2576,0.24,21,32,22
153,0.2326,0.2598,0.19,21,32,22
155,0.2304,0.2304,0.19,21,32,22
157,0.2304,0.244,0.14,21,32,22
159,0.2304,0.2576,0.24,21,32,22
161,0.2304,0.2576,0.14,21,32,22
163,0.244,0.244,0.14,21,32,22
165,0.2576,0.2576,0.14,21,32,22
167,0.2576,0.244,0.14,21,32,22
169,0.244,0.244,0.24,21,32,22
171,0.244,0.2576,0.19,21,32,22
173,0.244,0.244,0.05,21,32,22
175,0.244,0.2576,0.29,21,32,22
177,0.244,0.2304,0.14,21,32,22
179,0.244,0.2576,0.19,21,32,22
181,0.244,0.244,0.33,21,32,22
183,0.244,0.2304,0.24,21,32,22
185,0.2788,0.2788,0.25,20,32,21
187,0.2788,0.2788,0.25,20,32,21
189,0.2897,0.2897,0.32,19,32,20
191,0.2875,0.2875,0.26,19,31,19
193,0.2875,0.2875,0.37,19,31,19
195,0.3201,0.3201,0.39,18,31,18
197,0.3201,0.3065,0.39,18,31,18
199,0.3201,0.3201,0.33,18,31,18
201,0.3201,0.3609,0.22,18,31,18
203,0.3359,0.3087,0.17,18,31,18
205,0.3337,0.3473,0.12,17,30,17
207,0.3337,0.3473,0.29,17,30,17
209,0.3337,0.3065,0.29,17,30,17
211,0.3337,0.3065,0.24,17,30,17
213,0.3337,0.3337,0.47,17,30,17
215,0.3337,0.3201,0.29,17,30,17
217,0.3337,0.3065,0.41,17,30,17
219,0.2853,0.2989,0.25,16,29,17
221,0.2853,0.3125,0.31,16,29,17
223,0.2853,0.2853,0.44,16,29,17
225,0.2745,0.2609,0.13,15,28,17
227,0.2745,0.288,0.2,15,28,17
229,0.2745,0.2745,0.2,15,28,17
231,0.2745,0.2745,0.13,15,28,17
233,0.3332,0.3196,0.4,15,28,16
235,0.344,0.344,0.5,14,28,15
237,0.344,0.344,0.43,14,28,15
239,0.344,0.3576,0.14,14,28,15
241,0.344,0.3576,0.21,14,28,15
243,0.3397,0.3397,0.31,13,27,14
245,0.3288,0.3424,0.25,12,26,14
247,0.3288,0.3424,0.08,12,26,14
249,0.3288,0.3288,0.08,12,26,14
