move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.1207,10.4473,0.07,40,40,40
2,6.8469,7.2536,0.12,40,40,40
4,8.0903,7.9346,0.18,39,39,40
6,8.146,8.188,0.16,38,39,39
8,8.6055,12.4465,0.16,38,39,38
10,8.6219,9.1783,0.08,38,39,38
12,6.9247,7.4574,0.16,37,38,38
14,6.8971,7.6935,0.19,37,38,38
16,6.0165,6.1048,0.17,36,37,38
18,6.2,5.8203,0.08,36,37,38
20,5.8343,5.9236,0.19,36,36,38
22,5.911,5.8577,0.19,36,35,37
24,6.1893,6.1984,0.11,35,34,37
26,6.6062,7.6943,0.14,35,34,36
28,7.0973,7.0587,0.2,35,34,36
30,7.3873,8.416,0.03,35,34,36
32,8.2376,8.5617,0.18,34,34,35
34,7.6341,24.1704,0.15,34,34,35
36,5.9548,5.8216,0.09,33,33,35
38,6.0329,6.5406,0.09,32,33,34
40,6.4092,6.3897,0.09,32,33,34
42,6.8389,5.8992,0.09,32,33,34
44,6.5911,6.4185,0.03,32,33,34
46,6.5295,5.0764,0.23,31,32,34
48,5.7554,5.1268,0.13,31,31,34
50,6.5612,5.3457,0.16,31,30,33
52,6.252,5.4242,0.16,31,30,33
54,6.4078,6.1526,0.0,30,30,32
56,5.7296,6.5449,0.1,30,30,32
58,5.5104,5.4185,0.03,29,29,32
60,5.7023,5.6522,0.1,29,29,32
62,6.4451,6.2381,0.17,29,29,32
64,6.7744,5.8984,0.21,29,29,32
66,6.9933,6.7602,0.04,28,28,30
68,7.7153,8.0862,0.14,28,28,30
70,6.8464,7.5538,0.25,28,28,30
72,6.1774,11.281,0.11,27,27,30
74,10.2984,11.1614,0.19,27,27,29
76,5.9751,12.633,0.04,25,26,28
78,6.0793,6.3788,0.2,25,26,28
80,5.8752,6.3403,0.08,25,26,28
82,5.8221,6.1059,0.16,25,26,28
84,5.7826,6.4281,0.12,25,26,28
86,5.929,6.4685,0.32,25,26,28
88,4.8459,5.0267,0.21,24,25,28
90,3.947,4.1986,0.17,24,24,28
92,4.1487,4.2787,0.08,24,24,28
94,4.169,11.1619,0.17,24,24,28
96,4.2786,7.5491,0.08,24,24,28
98,4.2181,4.2067,0.12,24,24,28
100,4.2155,4.4466,0.13,23,23,27
102,4.125,4.5939,0.26,23,23,27
104,4.3633,4.4277,0.22,23,23,27
106,4.2118,4.4266,0.13,23,23,27
108,4.5556,4.2641,0.0,23,23,27
110,4.0567,4.3513,0.09,22,22,27
112,3.9226,3.9635,0.14,22,22,27
114,4.496,4.6123,0.14,21,21,27
116,4.8733,4.6924,0.14,21,21,26
118,4.6733,4.6426,0.14,21,21,26
120,4.6536,11.8736,0.05,21,21,26
122,3.565,15.0873,0.19,21,20,26
124,4.2243,4.1647,0.05,21,20,26
126,3.596,3.4814,0.1,20,19,26
128,3.6638,7.2769,0.1,20,19,26
130,3.8555,3.9307,0.1,20,19,26
132,3.6626,7.4532,0.2,20,19,26
134,4.0816,3.97,0.1,20,19,25
136,3.7868,3.63,0.16,19,18,25
138,3.7068,3.685,0.11,19,18,25
140,3.74,4.0084,0.05,19,18,25
142,3.9605,3.8589,0.11,19,18,25
144,4.0424,3.5034,0.16,19,18,25
