move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,6.9522,7.1157,0.15,40,40,40
2,7.2734,7.1056,0.13,39,40,39
4,7.5559,7.9197,0.08,39,40,39
6,7.5043,6.9078,0.05,39,40,39
8,7.5592,7.6153,0.08,39,40,39
10,7.575,14.6038,0.05,39,40,39
12,7.9539,8.2292,0.24,38,39,38
14,7.7922,8.7259,0.11,37,39,37
16,8.321,7.5823,0.24,37,39,37
18,7.7952,7.9546,0.08,36,38,37
20,8.9502,8.0457,0.19,36,38,37
22,8.6622,8.9424,0.25,36,38,37
24,9.244,9.4523,0.18,34,38,35
26,9.2657,19.1901,0.21,33,38,34
28,9.9428,25.2926,0.06,32,38,33
30,10.5163,22.8309,0.19,31,38,32
32,10.7107,10.5855,0.17,30,38,31
34,10.466,12.1036,0.2,30,38,31
36,9.9788,13.4314,0.27,30,38,31
38,10.5346,14.2544,0.13,30,38,31
40,10.0714,19.772,0.27,30,38,31
42,9.7972,9.6311,0.31,29,37,31
44,10.047,9.6517,0.14,29,37,31
46,11.3427,11.177,0.14,29,37,31
48,11.9456,11.0207,0.14,28,37,30
50,13.8166,12.99,0.21,28,37,30
52,13.9212,13.8371,0.29,28,37,29
54,15.1471,15.3853,0.19,27,37,28
56,15.9979,15.9086,0.27,26,37,27
58,16.5206,15.3345,0.2,25,37,26
60,17.6579,19.3526,0.29,24,37,25
62,17.6058,16.666,0.25,24,37,25
64,17.6504,16.6517,0.38,24,37,25
66,16.999,17.3183,0.38,24,37,25
68,17.1974,18.1202,0.3,23,37,24
70,17.9954,16.8466,0.27,22,37,23
72,18.079,33.6416,0.27,22,37,23
74,16.6928,33.5952,0.18,22,37,23
76,16.0795,15.955,0.19,21,36,23
78,16.0206,15.9512,0.29,21,36,23
80,16.1168,16.2755,0.14,21,36,23
82,16.3103,15.9351,0.14,21,36,23
84,16.3601,17.0235,0.33,21,36,23
86,16.8177,16.9229,0.25,20,35,22
88,16.7307,16.8615,0.3,20,35,22
90,16.9308,16.9255,0.3,20,35,22
92,17.0844,17.1194,0.2,20,35,22
94,16.8279,16.9854,0.42,19,34,21
96,17.0304,16.66,0.26,19,34,21
98,16.6671,16.5296,0.26,19,34,21
100,17.1279,17.0112,0.21,19,34,21
102,16.5189,17.0179,0.21,19,34,21
104,16.8317,16.9092,0.53,19,34,21
106,16.8756,17.3964,0.26,19,34,21
108,16.9574,17.858,0.26,19,34,21
110,16.8294,16.8963,0.21,19,34,21
112,17.2788,18.5613,0.42,19,34,21
114,16.8555,17.9553,0.28,18,34,20
116,17.6836,18.3123,0.47,17,33,19
118,18.1588,37.8254,0.35,17,33,19
120,17.7319,18.0403,0.31,16,32,19
122,17.6869,18.0157,0.38,16,32,19
124,16.9964,20.4931,0.38,16,32,19
126,17.4562,18.6309,0.44,16,32,19
128,17.7427,17.4584,0.5,16,32,19
130,17.6808,17.5209,0.31,16,32,19
132,17.2059,19.2246,0.31,16,32,19
134,16.7021,17.983,0.62,16,32,19
136,16.5263,18.4833,0.27,15,31,19
138,16.6894,31.5445,0.47,15,31,19
140,16.1849,18.0136,0.33,15,31,19
142,18.0802,17.3852,0.5,14,30,19
144,18.485,18.0553,0.57,14,30,18
146,20.1841,22.0013,0.29,14,30,18
148,19.6191,29.344,0.43,14,30,17
150,19.3157,36.5606,0.38,13,30,16
152,19.4994,40.0,0.33,12,30,15
154,19.245,40.0,0.42,12,30,15
156,18.8727,37.895,0.27,11,29,15
158,18.8177,37.8509,0.36,11,29,15
160,19.751,18.7415,0.55,11,29,15
162,19.0088,40.0,0.27,11,29,15
164,18.5587,18.5386,0.2,10,28,15
166,18.7602,18.4214,0.5,10,28,15
168,19.0833,20.9894,0.33,9,28,14
170,19.095,18.9944,0.67,9,28,14
172,18.9517,18.9333,0.56,9,28,14
174,18.8433,23.0883,0.44,9,28,14
176,19.2772,19.2844,0.56,9,28,14
178,18.9544,19.0061,0.67,9,28,14
180,19.1406,18.8833,0.44,9,28,14
182,18.9528,19.4433,0.33,9,28,14
