move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.5587,6.7586,0.23,40,40,40
2,7.6368,7.4807,0.15,40,40,40
4,8.1418,7.6757,0.15,40,40,40
6,8.5038,8.185,0.1,39,40,39
8,7.6687,8.3113,0.13,39,40,39
10,7.4936,8.3697,0.13,39,40,39
12,6.6978,7.1684,0.19,37,38,39
14,5.922,6.5839,0.11,37,38,39
16,6.5319,6.4349,0.22,37,38,39
18,5.9459,6.758,0.22,37,38,39
20,5.4861,6.1222,0.24,37,37,39
22,6.7005,6.5306,0.14,37,37,39
24,5.7906,7.1627,0.08,36,36,39
26,6.3443,7.0573,0.11,35,36,38
28,6.1985,13.6015,0.17,35,36,38
30,6.0651,7.2252,0.14,35,36,38
32,4.1691,4.4165,0.12,34,34,38
34,4.2118,3.8358,0.09,34,34,38
36,4.5971,4.6699,0.12,34,34,38
38,5.3614,5.0885,0.09,34,34,38
40,5.2997,4.7763,0.03,34,34,37
42,5.2791,5.1952,0.24,34,34,37
44,5.46,5.3405,0.15,34,34,37
46,4.0016,4.0286,0.18,34,33,37
48,3.8525,3.6786,0.12,34,32,37
50,3.847,4.0074,0.21,34,32,37
52,4.2789,4.8223,0.15,34,32,36
54,4.5347,4.5344,0.09,34,32,36
56,4.4921,4.8086,0.12,34,32,36
58,4.6878,4.807,0.06,34,32,36
60,4.7094,4.1852,0.18,34,32,36
62,4.8759,4.5274,0.06,34,32,36
64,4.9381,4.6545,0.18,34,32,36
66,5.318,5.2938,0.18,33,32,35
68,5.0015,9.2081,0.12,33,32,35
70,4.2741,4.5344,0.1,31,30,35
72,4.4525,4.3711,0.19,31,30,35
74,4.3961,4.5064,0.19,31,30,34
76,4.4366,4.2716,0.19,31,29,34
78,5.2585,5.1118,0.16,31,29,33
80,5.2342,4.9974,0.1,31,29,33
82,5.0545,5.4349,0.03,31,29,33
84,5.2726,5.2369,0.23,31,29,33
86,4.7082,5.4229,0.19,31,29,33
88,3.9895,3.7491,0.1,30,28,33
90,3.2285,2.7708,0.1,30,27,33
92,3.5945,3.4197,0.2,30,26,33
94,2.9263,2.7328,0.03,30,26,33
96,2.9193,2.8944,0.17,30,25,33
98,2.3674,2.4297,0.1,30,25,33
100,2.1325,1.7804,0.17,30,24,33
102,2.297,2.5485,0.23,30,24,33
104,2.0082,1.7754,0.1,29,23,32
106,1.441,1.1608,0.17,29,22,32
108,1.4546,1.4575,0.17,29,22,32
110,1.0947,1.6267,0.07,29,22,32
112,1.1996,1.2761,0.24,29,22,32
114,1.3198,1.3852,0.17,29,21,31
116,1.0984,1.5999,0.03,29,21,31
118,1.5488,8.8292,0.24,29,21,31
120,1.0083,5.3118,0.21,29,21,31
122,1.1982,1.3811,0.17,29,21,31
124,1.48,1.4456,0.21,28,20,31
126,1.0978,1.3102,0.07,28,20,31
128,1.849,1.9563,0.18,28,20,31
130,1.4121,1.4888,0.14,28,20,31
132,1.5907,28.7307,0.14,28,20,31
134,1.3251,6.3739,0.18,28,20,31
136,1.4474,1.9477,0.29,28,20,31
138,1.3142,4.8775,0.11,28,20,31
140,1.3204,1.4964,0.19,27,19,31
142,1.1123,0.7741,0.19,27,18,31
144,0.9704,0.8554,0.15,27,18,31
146,1.0327,1.1266,0.11,27,18,31
148,0.8078,2.1717,0.11,27,18,31
150,-0.4523,-0.3152,0.22,27,17,31
152,-0.3715,-0.3298,0.15,27,17,31
154,0.176,-0.3715,0.15,27,17,31
156,-0.0426,3.5126,0.0,27,17,31
158,-0.4308,-0.2398,0.11,27,17,31
160,0.2756,0.3673,0.11,27,17,31
162,8.402,4.5836,0.15,27,17,31
164,0.0154,-0.2222,0.11,27,17,31
166,0.6531,0.2465,0.15,27,17,31
168,4.0487,0.2645,0.19,27,17,31
170,0.2138,0.2895,0.19,27,17,31
172,8.8828,0.0482,0.22,27,17,31
174,0.5604,4.3364,0.15,27,17,31
176,-0.294,0.4383,0.22,27,17,31
178,0.2657,-0.1662,0.19,27,17,31
180,0.0501,0.0939,0.19,27,17,31
182,0.0628,11.9601,0.26,27,17,31
184,3.9309,0.9686,0.15,27,17,31
186,-1.4573,-1.4403,0.23,26,16,31
188,-1.5172,-1.3804,0.23,26,16,31
190,-1.4272,-1.3561,0.19,26,16,31
192,-1.522,-2.0077,0.31,26,16,31
194,-1.6624,-1.7332,0.15,26,16,31
196,-1.8033,-1.821,0.19,26,15,31
198,-1.6745,-2.061,0.19,26,14,30
200,-1.8031,-1.8555,0.15,26,14,30
202,-2.215,-2.204,0.08,26,14,30
204,-1.1087,-1.8988,0.27,26,14,30
206,-2.3042,-1.8479,0.31,26,14,30
208,-1.8117,-1.4942,0.15,26,13,30
210,1.8964,-2.1222,0.27,26,12,30
212,-3.1456,-1.7388,0.15,26,11,29
