move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.8726,8.2519,0.2,40,40,40
2,7.7615,6.9138,0.13,39,40,39
4,7.5499,7.8137,0.08,38,40,38
6,7.8005,8.3446,0.13,38,40,38
8,7.8504,9.1837,0.16,38,40,38
10,7.7739,8.6054,0.11,38,40,38
12,8.1041,8.3892,0.05,38,40,38
14,7.2365,8.035,0.14,37,40,37
16,7.1587,7.3723,0.06,36,39,37
18,6.848,7.1911,0.22,36,39,37
20,6.8171,7.3525,0.14,36,39,37
22,6.3336,7.7604,0.03,36,39,37
24,7.0304,6.717,0.11,36,39,37
26,6.982,7.0838,0.14,36,39,37
28,6.5192,7.6654,0.08,36,39,37
30,6.8011,7.8389,0.19,36,39,37
32,7.0999,7.1681,0.09,35,38,36
34,6.854,7.0076,0.11,35,38,36
36,6.9532,6.9626,0.17,35,38,36
38,7.0604,7.1387,0.14,35,38,36
40,7.0433,6.9571,0.09,35,38,36
42,7.4411,6.8657,0.17,35,38,36
44,7.0603,7.0968,0.11,35,38,36
46,6.9968,7.024,0.17,35,38,36
48,6.7705,10.2384,0.06,35,38,36
50,13.7895,7.4669,0.11,35,38,36
52,7.0452,7.5153,0.15,34,37,35
54,7.4234,7.6453,0.06,34,37,35
56,7.9733,7.4186,0.29,34,37,35
58,8.0059,8.4549,0.12,33,37,34
60,8.6647,8.7993,0.24,33,37,34
62,9.3586,10.0582,0.21,33,37,34
64,9.5992,9.7471,0.16,32,37,33
66,8.9092,9.9565,0.19,32,37,33
68,9.0506,9.4723,0.16,32,37,33
70,8.6122,8.7334,0.13,31,36,33
72,8.3698,8.0326,0.17,30,35,32
74,8.7861,8.3455,0.2,30,35,32
76,8.3795,8.2266,0.23,30,35,32
78,8.2485,9.0234,0.27,30,35,32
80,8.4648,8.9541,0.27,30,35,32
82,8.6641,27.5362,0.2,30,35,32
84,7.8178,30.5967,0.2,30,35,32
86,7.5851,7.8129,0.17,29,34,32
88,8.8985,7.5466,0.17,29,34,32
90,9.9572,10.1161,0.17,29,34,32
92,8.6418,9.9438,0.24,29,34,32
94,9.9289,9.912,0.28,29,34,32
96,10.839,9.7946,0.24,29,34,32
98,9.8062,9.5377,0.28,29,34,32
