move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.6419,6.2076,0.05,40,40,40
2,7.1564,7.8749,0.17,40,40,40
4,7.6788,7.6526,0.15,39,40,39
6,8.131,8.8267,0.16,38,40,38
8,7.1946,6.9068,0.11,37,39,38
10,7.2001,7.9351,0.08,37,39,38
12,7.3362,10.2441,0.11,37,39,38
14,7.0071,8.7548,0.2,35,38,37
16,7.0946,13.6498,0.24,34,37,36
18,7.1558,7.5264,0.09,34,37,36
20,7.3665,7.2791,0.15,34,37,36
22,7.5807,6.9729,0.06,33,36,36
24,8.8833,12.2466,0.09,33,36,35
26,6.1771,26.6371,0.19,32,35,35
28,6.1573,6.2248,0.06,32,35,35
30,6.907,6.9034,0.19,31,33,33
32,6.7248,6.909,0.13,31,33,33
34,6.9389,6.8905,0.23,31,33,33
36,6.8582,6.8722,0.16,31,33,33
38,6.7207,7.0208,0.1,30,32,32
40,6.8305,6.9074,0.07,29,32,31
42,6.8991,6.8535,0.14,29,32,31
44,6.6454,6.6515,0.1,29,32,31
46,6.7374,6.4295,0.17,29,32,31
48,6.778,6.6659,0.14,29,32,31
50,6.5036,6.522,0.17,29,31,31
52,6.4684,13.2515,0.07,29,30,31
54,6.9643,6.9871,0.17,29,30,30
56,6.7702,6.5307,0.21,28,29,30
58,6.6349,6.3187,0.04,28,29,30
60,6.7179,6.7385,0.11,28,29,30
62,6.9848,6.8678,0.15,27,29,29
64,6.9621,6.6319,0.11,27,29,29
66,6.4857,20.1272,0.04,27,29,29
68,6.6372,6.4024,0.15,26,28,29
70,6.2938,6.112,0.12,26,27,29
72,7.2864,7.3241,0.12,26,27,28
74,7.274,7.3193,0.15,26,27,28
76,6.2494,6.2895,0.16,25,26,28
78,5.9339,6.1822,0.24,25,26,28
80,6.2694,5.9676,0.32,25,26,28
82,6.2712,6.3094,0.12,25,26,28
84,6.3327,6.1288,0.16,25,26,28
86,6.4871,6.5283,0.12,24,25,27
88,6.4767,13.0647,0.25,24,25,27
90,6.3702,6.585,0.12,24,25,27
92,6.3757,6.7848,0.17,24,25,27
94,6.3071,26.2466,0.12,24,25,27
96,5.4186,12.4248,0.13,23,23,27
98,5.5059,5.7415,0.22,23,23,27
100,5.6829,5.9343,0.23,22,22,26
102,5.818,5.6829,0.27,22,22,26
104,5.5376,5.3424,0.09,22,22,26
106,5.7976,5.6943,0.14,22,22,26
108,5.9371,6.0722,0.05,22,22,26
110,6.0953,6.0161,0.14,21,22,25
112,6.242,5.7206,0.1,21,22,25
114,6.0612,6.4571,0.1,21,22,25
116,8.1566,7.7211,0.14,21,22,25
118,8.2921,8.1686,0.19,21,21,25
120,7.2127,7.5553,0.33,21,21,25
122,6.9486,6.1455,0.19,21,21,25
124,7.1539,7.1839,0.24,21,21,25
126,7.0558,6.9356,0.19,21,21,25
128,4.8608,4.6474,0.2,20,20,25
130,4.9411,4.5426,0.05,20,20,25
132,4.7635,4.6027,0.35,20,19,24
134,4.8816,5.0582,0.25,20,19,24
136,4.857,4.1354,0.2,20,19,24
138,5.0003,15.5605,0.32,19,19,23
140,4.8827,4.8801,0.26,19,19,23
142,5.1739,5.4952,0.16,19,19,23
144,5.494,8.5389,0.16,19,19,23
146,5.249,5.4265,0.37,19,19,23
148,6.1355,6.2826,0.16,19,19,23
150,5.4991,5.6471,0.11,18,18,22
152,5.6471,5.7261,0.28,18,18,22
154,5.5588,5.7386,0.33,18,18,22
156,5.6734,5.5588,0.28,18,18,22
158,6.0595,5.9567,0.39,18,18,22
160,6.8467,6.63,0.12,17,18,21
162,6.7607,6.625,0.24,17,18,21
164,6.63,6.5425,0.12,17,18,21
166,6.645,6.7475,0.35,17,18,21
168,6.9927,6.9904,0.29,17,18,21
170,7.1686,13.6317,0.18,17,18,21
172,7.2344,7.4592,0.0,17,18,21
174,7.8132,10.5781,0.12,17,18,21
176,7.4685,23.8118,0.12,17,18,21
178,7.9273,27.0792,0.38,16,17,21
180,8.5532,9.8205,0.27,15,17,20
182,8.2,9.8513,0.2,15,17,19
184,8.628,9.8398,0.27,15,17,19
186,9.8625,10.5576,0.07,15,17,19
188,10.7533,34.5691,0.33,15,17,18
190,8.6231,8.5385,0.07,14,16,18
192,8.6231,8.6276,0.29,14,16,18
194,8.6923,8.4846,0.29,14,16,18
196,8.7712,8.6154,0.07,14,16,18
198,8.7519,8.7615,0.21,14,16,18
200,10.5927,9.4358,0.21,14,16,18
202,10.9053,10.1863,0.29,14,16,18
204,10.9762,11.5196,0.29,14,16,18
206,10.8582,11.085,0.36,14,15,18
