move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
20,9.3244,10.5551,0.09,33,39,34
22,9.8696,34.0799,0.15,33,39,34
24,9.5907,9.9445,0.06,32,39,33
26,9.6319,9.6084,0.12,32,39,33
28,8.5753,8.8701,0.1,31,38,33
30,8.791,27.5497,0.03,30,38,32
32,7.6884,7.7056,0.17,29,37,32
34,7.7489,7.8597,0.18,28,37,31
36,7.7564,7.6775,0.15,27,36,31
38,7.6206,7.7125,0.26,27,36,31
40,7.7409,8.0715,0.15,27,36,31
42,7.5887,8.2958,0.11,27,36,31
44,6.8574,7.053,0.15,26,35,31
46,6.9846,10.4259,0.08,26,35,31
48,7.0963,6.9658,0.15,26,35,31
50,6.9942,7.1695,0.15,26,35,31
52,7.008,6.9422,0.12,26,35,31
54,6.9651,7.0685,0.19,26,35,31
56,7.0318,30.1843,0.19,26,35,31
58,7.1059,7.1312,0.16,25,34,31
60,7.0851,7.072,0.08,25,34,31
62,7.4068,7.5563,0.08,25,33,30
64,7.7172,7.0823,0.28,25,33,30
66,7.8556,7.7678,0.16,25,33,30
68,8.1665,7.9674,0.12,24,33,29
70,8.4397,8.0958,0.04,24,33,29
72,8.0788,8.0479,0.12,24,33,29
74,9.2169,8.0888,0.12,24,33,29
76,9.7756,10.2411,0.3,23,33,28
78,10.1803,13.9064,0.14,22,33,27
80,11.4048,14.6443,0.19,21,33,26
82,11.7285,11.9577,0.3,20,33,25
84,11.6153,11.4854,0.11,19,33,24
86,12.6496,12.3682,0.11,19,33,24
88,12.7588,13.2186,0.26,19,33,23
90,13.2092,16.1489,0.16,19,33,23
92,12.9317,16.0007,0.16,19,33,23
94,13.6065,13.7032,0.26,19,33,23
96,14.4012,14.274,0.26,19,33,22
98,13.9846,14.1339,0.11,19,32,22
100,13.8888,13.9735,0.26,19,32,22
102,13.9724,13.9828,0.16,19,32,22
104,14.1205,17.8796,0.26,19,32,22
106,14.261,32.4,0.11,19,32,22
108,14.739,14.5968,0.21,19,32,22
110,15.2138,40.0,0.21,19,32,22
112,14.1935,13.8344,0.22,18,31,22
114,14.6695,19.4372,0.22,18,31,22
116,14.3045,19.6803,0.22,18,31,22
118,14.3428,21.9442,0.41,17,30,21
120,14.723,14.4837,0.24,17,30,21
122,14.4448,32.5257,0.29,17,30,21
124,14.3016,14.0271,0.5,16,29,21
126,15.7156,15.1836,0.19,16,29,21
128,15.4835,15.0088,0.38,16,29,21
130,15.1341,15.1757,0.12,16,29,21
132,17.2745,18.0031,0.44,16,29,20
134,16.4049,25.7836,0.31,16,29,20
136,16.9471,15.4405,0.25,16,29,20
138,16.7693,18.9255,0.25,16,29,20
140,16.5169,16.4773,0.38,16,29,20
142,16.9165,18.8417,0.12,16,29,20
144,16.9394,40.0,0.31,16,29,20
146,16.7592,17.0558,0.44,16,29,20
148,16.7215,15.9307,0.31,16,28,20
150,16.0983,40.0,0.2,15,27,19
152,16.122,16.4915,0.07,15,27,19
154,16.44,27.9973,0.33,15,27,18
156,16.2477,26.0109,0.47,15,27,18
158,16.4486,25.7323,0.53,15,27,18
160,16.5986,35.2396,0.27,15,27,18
162,16.9618,40.0,0.33,15,27,18
164,15.2731,17.8715,0.21,14,26,18
166,15.395,15.3719,0.43,14,26,18
168,15.12,15.5822,0.29,14,26,18
170,15.3462,15.3565,0.43,14,26,18
172,15.2054,40.0,0.29,14,26,18
174,15.1241,15.1546,0.31,13,25,18
176,15.1769,15.1769,0.38,13,25,17
178,15.1458,17.8331,0.38,13,25,17
180,15.0969,15.1342,0.38,13,25,17
182,15.1919,15.0508,0.62,13,25,17
184,15.1612,19.9123,0.31,13,25,17
186,14.9327,18.02,0.31,13,25,17
188,14.8919,40.0,0.38,13,25,17
190,14.2712,14.2915,0.5,12,24,17
192,14.1462,14.2792,0.5,12,24,17
194,14.3654,22.0165,0.5,12,24,17
196,14.1612,24.5154,0.42,12,24,17
198,14.3112,29.5588,0.33,12,24,17
200,14.1923,14.1192,0.27,11,23,17
