move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.3958,7.3415,0.15,40,40,40
2,7.4359,36.7909,0.1,40,40,40
4,7.3604,6.9491,0.05,39,39,40
6,7.32,6.9032,0.13,38,38,39
8,7.1103,7.1603,0.08,37,37,38
10,7.5242,8.1044,0.08,37,37,38
12,8.2378,17.7617,0.08,37,37,37
14,8.3877,8.2913,0.14,37,37,37
16,8.4372,8.352,0.05,37,37,37
18,8.7913,18.2212,0.14,37,37,37
20,8.4418,33.9915,0.11,37,37,37
22,8.5073,8.2118,0.17,36,36,36
24,8.1064,8.3573,0.08,36,36,36
26,8.3556,8.6413,0.22,36,36,36
28,8.5647,8.1167,0.06,36,36,36
30,8.4494,8.7832,0.23,35,35,35
32,8.4011,8.4956,0.23,35,35,35
34,8.9136,9.1609,0.09,34,35,34
36,8.8835,21.4701,0.03,34,35,34
38,9.0279,9.4385,0.06,33,34,33
40,8.4292,7.7623,0.12,32,33,33
42,9.4687,9.1077,0.16,32,33,32
44,10.2494,9.6713,0.09,32,33,32
46,9.5213,9.864,0.09,32,33,32
48,9.8154,12.3447,0.12,32,33,32
50,9.5089,12.705,0.09,32,33,32
52,9.3663,9.8882,0.12,32,33,32
54,10.155,9.1683,0.09,32,33,32
56,10.4649,13.5442,0.06,31,33,31
58,9.7212,16.4289,0.17,30,33,30
60,9.414,10.8375,0.07,29,32,30
62,8.4325,8.0703,0.11,28,31,30
64,8.3532,8.1683,0.18,28,31,30
66,7.9078,8.0649,0.29,28,30,30
68,8.1098,7.9258,0.04,28,30,30
70,8.0205,8.0623,0.21,28,30,30
72,7.9082,7.7929,0.04,28,29,30
74,7.3969,7.4548,0.14,28,29,30
76,7.0323,10.4768,0.14,28,28,30
78,6.9888,7.1103,0.3,27,27,30
80,7.0187,6.6754,0.11,27,26,29
82,7.1824,7.1209,0.19,27,26,29
84,7.4485,7.6807,0.19,26,25,29
86,8.103,7.6352,0.12,26,25,28
88,7.9204,8.2056,0.15,26,25,28
90,8.4714,11.7644,0.23,26,25,28
92,8.5197,8.7842,0.19,26,25,28
94,7.1988,7.3502,0.24,25,24,28
96,7.6766,8.7352,0.2,25,24,28
98,7.6135,36.6409,0.08,24,23,27
100,6.4098,6.4205,0.14,22,22,26
102,6.6509,6.7727,0.27,22,22,26
104,5.4048,5.5828,0.32,22,21,26
106,6.0098,5.5333,0.23,22,21,26
108,5.7458,5.6382,0.14,22,20,26
110,5.2662,5.6905,0.27,22,20,26
112,5.6994,5.8461,0.18,22,20,26
114,5.5762,5.3249,0.05,22,20,26
116,5.4039,5.7628,0.27,22,19,26
118,6.3571,7.9201,0.18,22,19,26
120,6.5044,13.3943,0.27,22,19,25
122,7.088,11.855,0.14,22,19,25
124,8.5101,21.143,0.14,21,19,24
126,8.3406,10.9078,0.25,20,19,23
128,8.2832,8.6011,0.05,20,19,23
130,8.688,24.0005,0.35,20,19,23
132,9.0476,14.285,0.1,20,19,23
134,8.5882,11.601,0.2,20,19,23
136,8.8065,17.6444,0.3,20,19,23
138,8.241,11.4671,0.25,20,19,23
140,8.3896,20.4006,0.1,20,19,23
142,9.5399,21.1467,0.25,20,19,23
144,9.8407,7.2739,0.26,19,19,22
146,9.5254,24.514,0.16,19,19,22
148,9.6443,7.2831,0.11,19,19,22
150,7.9322,24.1586,0.21,19,19,22
152,7.1423,6.8953,0.22,18,18,22
154,6.9054,7.1654,0.17,18,18,22
156,6.7154,7.0099,0.11,18,18,22
158,6.7743,6.9015,0.22,18,18,22
160,6.3043,9.7714,0.17,18,17,22
162,6.0524,6.3702,0.22,18,17,22
164,6.7018,5.9973,0.11,18,17,22
166,6.434,6.3952,0.28,18,17,22
168,6.0658,6.4449,0.11,18,17,22
170,5.5945,6.0162,0.28,18,17,22
172,5.4468,5.8798,0.17,18,17,22
174,4.9822,4.4673,0.22,18,16,22
176,5.396,5.7662,0.22,18,16,22
178,5.6592,4.9579,0.11,18,15,22
180,3.787,4.0126,0.33,18,14,22
182,4.6168,4.2553,0.11,18,14,22
184,2.3817,2.571,0.22,18,13,22
186,7.7446,7.7824,0.39,18,13,22
188,7.3747,3.6202,0.17,18,13,22
190,1.7563,2.2572,0.28,18,12,22
192,1.9379,2.0147,0.17,18,12,22
194,1.8371,2.0417,0.22,18,12,22
196,1.8548,2.6411,0.11,18,12,22
198,1.7614,1.9334,0.06,18,12,22
200,1.252,0.6974,0.28,18,12,22
202,2.9064,2.6095,0.28,18,12,22
204,0.5919,1.3925,0.0,18,11,22
206,0.3526,0.3382,0.0,18,11,22
208,-0.4522,-0.6103,0.17,18,10,22
210,-0.592,-0.3296,0.28,18,10,22
212,-0.4722,-0.3261,0.17,18,10,22
214,-0.017,0.3279,0.44,18,10,22
216,-0.001,-0.0478,0.11,18,10,22
218,-0.2176,-0.2662,0.22,18,10,22
220,0.2304,-0.7904,0.22,18,10,22
222,0.3816,-0.1596,0.22,18,10,22
224,0.2338,0.4034,0.28,18,10,22
226,-3.9689,-16.6653,0.22,18,9,22
228,-36.05,-36.1588,0.22,18,8,22
