move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.4528,17.3932,0.15,40,40,40
1,7.2177,7.7792,0.08,39,40,39
2,7.4161,6.685,0.1,39,39,40
3,7.3834,7.5511,0.21,39,40,39
4,7.5659,6.8885,0.18,39,39,40
5,7.437,7.69,0.08,39,40,39
6,7.5569,7.3816,0.13,39,39,40
7,7.1683,7.7357,0.13,39,40,39
8,7.63,8.35,0.18,39,39,40
9,7.5867,7.2871,0.15,39,40,39
10,7.4479,11.6846,0.18,38,39,39
11,7.9435,7.9559,0.05,37,38,39
12,7.5758,7.8797,0.08,37,39,38
13,7.967,8.0107,0.14,37,38,39
14,7.3116,7.9065,0.03,37,39,38
15,7.4217,8.1846,0.03,37,38,39
16,7.2889,17.4447,0.08,37,39,38
17,8.0677,8.3253,0.32,37,38,39
18,7.3467,7.6697,0.16,37,39,38
19,8.0779,8.4964,0.22,37,38,38
20,6.7041,6.8418,0.11,36,38,38
21,7.9935,9.2643,0.11,37,38,38
22,7.0472,8.0792,0.14,36,38,38
23,7.9662,8.5708,0.16,37,38,38
24,7.1519,7.3006,0.17,35,37,37
25,8.2714,7.7945,0.14,36,36,36
26,6.5233,7.008,0.09,34,36,36
27,8.0866,7.9556,0.09,35,35,35
28,6.6923,6.6475,0.15,33,35,35
29,8.1694,7.9481,0.06,35,35,35
30,6.5208,13.2494,0.15,33,35,35
31,8.4166,8.1327,0.2,35,35,35
32,6.2185,6.5722,0.18,33,35,35
33,8.1899,8.4128,0.11,35,35,35
34,6.6826,6.7788,0.09,33,35,35
35,8.1198,7.7239,0.17,35,35,35
36,6.7646,6.7114,0.15,33,35,35
37,8.0201,8.1605,0.21,34,34,35
38,6.8433,6.8065,0.22,32,35,34
39,8.135,8.3162,0.21,33,34,34
40,6.8108,6.5899,0.03,31,34,34
41,7.9718,8.1631,0.21,33,34,34
42,6.6711,6.7779,0.1,31,34,34
43,7.9943,11.501,0.3,33,34,34
44,6.741,7.1203,0.1,31,34,34
45,8.0383,8.2108,0.12,33,34,34
46,6.9342,6.919,0.13,31,34,34
47,7.9516,8.8641,0.03,33,34,34
48,6.8126,7.0354,0.19,31,34,34
49,7.6028,8.5398,0.09,33,34,34
50,7.7912,7.6191,0.1,31,34,34
51,6.8939,7.4224,0.16,32,33,34
52,8.0882,8.4496,0.06,31,34,33
53,6.4188,6.4139,0.19,32,32,34
54,8.6339,11.9162,0.03,30,34,32
55,6.4952,6.5038,0.09,32,32,34
56,8.6509,9.0689,0.13,30,34,32
57,6.4974,6.3927,0.12,32,32,34
58,8.6292,8.8979,0.23,30,34,32
59,6.7378,6.856,0.09,32,31,34
60,8.7591,9.8752,0.17,29,34,31
61,7.9099,10.7094,0.06,32,31,33
62,7.751,7.9868,0.11,28,33,31
63,7.5499,7.4934,0.25,32,31,33
64,7.7932,7.8429,0.07,28,33,31
65,7.4743,7.5868,0.22,32,31,33
66,7.9417,7.9484,0.07,28,33,31
67,7.3727,7.0636,0.25,32,31,33
68,7.8623,7.7849,0.21,28,33,31
69,7.2823,7.1646,0.12,32,31,33
70,7.8181,7.8077,0.14,28,33,31
71,7.3688,6.9576,0.19,32,31,33
72,7.9783,7.8648,0.18,28,33,31
73,7.4713,7.275,0.12,32,31,33
74,7.8321,7.9536,0.14,28,33,31
75,7.2089,7.1949,0.06,32,31,33
76,7.8381,7.681,0.0,28,33,31
77,7.1939,30.2895,0.12,32,31,33
78,8.072,7.9183,0.19,27,33,30
79,7.079,7.0711,0.19,31,30,33
80,8.5075,8.1488,0.11,27,33,30
81,6.9178,7.3736,0.13,31,30,33
82,9.0399,8.871,0.19,26,33,29
83,6.6234,6.6432,0.2,30,29,33
84,9.0363,8.6111,0.15,26,33,29
85,6.3169,6.3166,0.2,30,28,33
86,9.2786,10.1305,0.16,25,33,28
87,6.8906,7.0847,0.13,30,28,32
88,7.9801,8.0811,0.17,24,32,28
89,6.9406,7.0888,0.27,30,28,32
90,8.558,8.2469,0.25,24,32,28
91,6.9355,7.0769,0.13,30,28,32
92,8.6392,9.1519,0.04,24,32,28
93,6.8503,7.304,0.17,30,28,32
94,9.9446,9.7704,0.21,24,32,28
95,7.003,6.0221,0.14,29,27,32
96,10.6491,12.171,0.17,23,32,27
97,5.9795,5.9605,0.17,29,26,32
98,11.0562,28.3277,0.23,22,32,26
99,5.8984,9.3792,0.14,28,26,31
100,11.2121,21.8845,0.24,21,31,26
101,5.8701,6.0479,0.11,28,26,31
102,11.2807,19.398,0.24,21,31,26
103,4.7301,8.6724,0.18,28,25,31
104,12.1085,11.7615,0.32,19,31,24
105,5.1471,5.546,0.18,28,24,31
106,11.2589,18.0893,0.11,19,31,24
107,5.4358,5.0506,0.07,28,24,31
108,11.0844,15.4177,0.16,19,31,24
109,5.4552,5.5855,0.11,28,24,31
110,11.5015,28.4071,0.21,19,31,24
111,4.6987,5.4086,0.14,28,24,31
112,13.4674,12.6731,0.21,19,31,24
113,4.703,4.4592,0.14,28,23,31
114,13.5599,26.3353,0.22,18,31,23
115,4.9303,4.5937,0.11,28,23,31
116,13.6281,13.9302,0.17,18,31,23
117,4.343,4.1504,0.21,28,22,31
118,14.5854,20.337,0.06,16,31,21
119,3.9957,3.3991,0.14,28,21,31
120,15.1812,17.2248,0.19,16,31,21
121,2.7532,3.0481,0.18,28,20,31
122,15.9451,14.6885,0.13,15,31,20
123,3.7394,3.1029,0.14,28,20,31
124,15.7575,22.2555,0.33,15,31,20
125,3.6892,3.5459,0.07,28,20,31
126,15.65,18.3509,0.33,15,31,20
127,3.5494,3.9872,0.11,28,20,31
128,15.6752,14.7712,0.2,15,31,20
129,3.1905,3.4371,0.14,28,20,31
130,16.1426,37.4786,0.07,15,31,20
131,3.5186,10.5665,0.14,28,20,31
132,16.5703,33.5633,0.13,15,31,20
133,4.1698,8.1065,0.11,28,20,30
134,13.8712,13.6004,0.07,14,30,20
135,4.2985,4.139,0.25,28,20,30
136,14.8312,14.5902,0.21,14,30,20
137,3.3115,3.8477,0.19,27,19,30
138,14.6117,27.552,0.08,13,30,19
139,3.6535,3.3138,0.19,27,19,30
140,13.9782,15.0789,0.38,13,30,19
141,4.4275,3.7412,0.19,27,19,30
142,14.7934,20.2947,0.15,13,30,19
143,3.8496,5.2248,0.19,27,19,30
144,14.8506,15.6862,0.46,13,30,19
145,3.805,2.7993,0.11,27,19,30
146,16.0494,20.8784,0.15,13,30,19
147,4.5246,14.9196,0.26,27,19,30
