move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.2615,7.2962,0.17,40,40,40
2,7.5281,10.4022,0.15,40,40,40
4,7.9731,6.9741,0.13,39,40,39
6,7.8792,7.3001,0.11,38,39,39
8,8.1474,8.3423,0.16,37,39,38
10,8.5431,7.4269,0.14,37,39,38
12,8.1975,7.5003,0.06,36,38,37
14,7.7597,7.861,0.17,35,37,36
16,8.1117,7.9655,0.11,35,37,36
18,7.9072,8.7475,0.15,34,37,35
20,8.032,8.5469,0.09,34,37,35
22,7.8824,8.8307,0.09,34,37,35
24,7.5873,7.5965,0.18,33,36,35
26,7.5689,7.9341,0.16,32,36,34
28,7.6172,7.8007,0.09,32,36,34
30,7.4961,7.6834,0.22,32,36,34
32,7.8257,8.0531,0.12,32,36,34
34,8.169,8.5123,0.09,32,36,34
36,8.7763,9.2566,0.22,32,36,34
38,9.0476,8.436,0.16,32,36,34
40,9.4104,10.7232,0.12,32,36,34
42,10.4653,18.6709,0.23,31,36,33
44,10.0747,9.5466,0.07,30,36,32
46,11.6926,10.5821,0.14,29,36,31
48,11.1944,13.9266,0.07,29,36,31
50,10.7408,16.8015,0.17,29,36,31
52,9.0805,9.1963,0.18,28,35,31
54,9.4539,9.8337,0.21,28,35,31
56,10.1203,10.1338,0.11,28,35,30
58,9.6889,13.6217,0.18,28,35,30
60,10.3399,30.9826,0.22,27,35,29
62,9.0347,9.2169,0.31,26,34,29
64,9.2053,9.1798,0.16,25,34,28
66,8.904,12.2566,0.24,25,34,28
68,9.0389,12.4355,0.24,25,34,28
70,9.1331,9.0602,0.25,24,33,28
72,9.087,10.6289,0.29,24,33,28
74,9.5164,10.1568,0.25,24,33,28
76,9.5885,9.6399,0.17,24,33,28
78,7.7961,8.1387,0.17,23,32,28
80,7.7097,7.7512,0.3,23,32,28
82,8.1162,8.1716,0.26,23,32,28
84,8.2294,8.2983,0.23,22,32,27
86,8.1767,8.1011,0.27,22,32,27
88,8.221,11.6407,0.14,22,32,27
90,8.2033,8.4646,0.14,22,32,27
92,8.2909,8.167,0.18,22,32,27
94,8.2587,8.3121,0.27,22,32,27
96,8.217,8.2418,0.36,22,32,27
98,8.4148,8.3875,0.18,22,32,27
100,8.3568,8.3371,0.36,22,32,27
102,8.2984,8.1,0.41,22,32,27
104,8.2559,8.289,0.27,22,32,27
106,8.2877,8.1505,0.23,22,32,27
108,8.1359,8.1197,0.32,22,31,27
110,8.1367,11.4541,0.32,22,31,27
112,8.1709,27.3289,0.32,22,31,27
114,8.201,24.3696,0.41,22,31,27
116,8.1559,17.5595,0.27,22,31,27
118,8.0864,8.0318,0.41,22,31,27
120,8.0637,17.5895,0.27,22,31,27
122,8.2448,7.9859,0.41,22,31,27
124,8.2267,11.4294,0.36,22,31,27
126,8.3179,8.3897,0.5,22,31,27
128,8.1815,11.7659,0.41,22,31,27
130,8.2241,15.0238,0.27,22,31,27
132,8.128,18.0366,0.32,22,31,27
134,8.1936,36.8667,0.27,22,31,27
136,8.1931,7.8795,0.32,22,31,27
138,8.2721,8.6064,0.36,22,31,27
140,8.4213,11.5615,0.36,22,31,27
142,8.791,15.0079,0.18,22,31,27
144,8.6501,11.7869,0.27,22,31,27
146,8.7381,11.7626,0.43,21,31,26
148,8.63,12.2042,0.5,20,30,25
150,8.6508,11.7808,0.3,20,30,25
152,8.7955,15.159,0.25,20,30,25
154,8.7058,8.735,0.3,20,30,25
156,8.555,36.865,0.35,20,30,25
158,8.695,8.7174,0.26,19,29,25
160,8.505,8.9034,0.21,19,29,25
162,8.495,11.8732,0.37,19,29,25
164,8.36,11.6933,0.32,19,28,25
166,8.4808,21.1382,0.32,19,28,25
168,8.4876,8.5708,0.32,19,28,25
170,8.45,33.62,0.21,19,28,25
172,8.4837,8.6472,0.22,18,27,25
174,8.2334,8.4766,0.33,18,27,25
176,8.19,8.35,0.33,18,27,25
178,8.3834,8.4158,0.5,18,27,25
180,8.4168,8.5786,0.33,18,27,25
182,8.28,8.8992,0.28,18,27,25
184,8.4903,21.2709,0.22,18,27,25
186,8.9316,11.9497,0.28,18,27,25
188,8.2882,14.61,0.28,18,27,25
190,9.4218,8.3266,0.39,18,27,25
192,9.4494,24.2886,0.28,18,27,25
194,10.0366,21.804,0.33,18,27,25
196,22.8624,11.4164,0.28,18,27,25
198,30.9603,11.6819,0.17,18,27,25
200,10.5845,12.1101,0.39,18,27,25
202,27.4808,19.741,0.39,18,27,25
204,15.6496,23.0654,0.22,18,27,25
206,21.7747,9.9553,0.44,18,27,25
208,30.44,10.7266,0.44,18,27,25
210,19.1163,22.2862,0.33,18,27,25
212,24.0582,11.5611,0.17,18,27,25
214,9.6842,34.2284,0.28,18,27,25
216,11.3055,10.7616,0.33,18,27,25
218,10.5689,10.8123,0.33,18,27,25
220,11.0029,37.1158,0.22,18,27,25
222,11.0633,11.5298,0.28,18,27,25
224,11.8035,22.5851,0.33,18,27,25
226,11.7007,22.8973,0.22,18,27,25
228,11.5127,11.0341,0.22,18,27,25
230,12.0764,15.1947,0.28,18,27,25
232,12.4843,12.099,0.39,18,27,25
234,11.5603,10.8161,0.39,18,27,25
236,12.7104,16.4773,0.29,17,27,24
238,12.5662,16.012,0.44,16,27,23
240,13.2051,18.784,0.25,16,27,23
242,12.6799,26.406,0.44,16,27,23
244,11.5861,33.8588,0.44,16,27,23
246,12.6799,18.0922,0.44,16,27,23
248,9.4078,9.8467,0.31,16,26,23
250,9.4281,9.7001,0.19,16,26,23
252,8.9579,12.933,0.44,16,26,23
254,9.4432,30.8261,0.38,16,26,23
256,9.1572,9.8062,0.38,16,26,23
258,9.5521,10.1272,0.47,15,25,22
260,9.7521,40.0,0.13,15,25,22
262,9.6982,9.8125,0.27,15,25,22
264,9.9184,40.0,0.27,15,25,22
266,9.1985,9.186,0.43,14,24,22
268,8.9107,40.0,0.29,14,24,22
270,9.2849,8.9824,0.29,14,24,22
272,9.3478,15.3228,0.5,14,24,22
274,9.6967,40.0,0.29,14,24,22
276,8.9805,9.2217,0.36,14,24,22
278,9.2771,9.1974,0.57,14,24,22
280,9.0686,8.9686,0.36,14,24,22
282,9.1381,9.1342,0.5,14,24,22
284,8.905,9.0812,0.36,14,24,22
286,9.0165,9.1314,0.29,14,24,22
288,8.7353,8.9706,0.5,14,24,22
290,8.9118,9.0285,0.36,14,24,22
292,9.0412,9.0588,0.43,14,24,22
294,8.9168,9.0335,0.57,14,24,22
296,8.9706,8.9326,0.36,14,24,22
298,8.9874,8.9353,0.57,14,24,22
300,9.0588,9.0,0.21,14,24,22
302,9.0462,9.0588,0.21,14,24,22
304,8.9805,8.9226,0.43,14,24,22
306,8.9294,9.0322,0.29,14,24,22
308,8.896,8.9958,0.36,14,24,22
310,8.9982,12.5157,0.5,14,24,22
312,8.9754,8.9521,0.5,14,24,22
314,8.9353,8.8412,0.36,14,24,22
316,8.8059,8.993,0.29,14,24,22
318,9.0059,8.6991,0.5,14,24,22
320,8.9732,8.9,0.29,14,24,22
322,8.9704,8.9474,0.57,14,24,22
324,8.9629,9.4533,0.21,14,24,22
326,9.0333,15.0353,0.5,14,24,22
328,8.7991,18.3348,0.43,14,24,22
330,9.1451,9.1815,0.79,14,24,22
332,9.5725,21.9704,0.31,13,24,21
334,9.8279,10.0245,0.54,13,24,21
336,9.4296,13.173,0.38,13,24,21
338,9.5612,37.05,0.31,13,24,21
340,8.8738,8.805,0.42,12,23,21
342,8.6925,8.8625,0.17,12,23,21
344,8.9083,8.5312,0.25,12,23,21
346,9.0517,8.545,0.67,12,23,21
348,8.9129,8.9767,0.42,12,23,21
350,9.34,9.1838,0.08,12,23,21
352,9.0654,9.1417,0.25,12,23,21
354,8.8446,21.8976,0.33,12,23,21
356,9.0793,9.7861,0.25,12,23,21
358,9.0438,9.0267,0.5,10,21,20
360,9.0014,8.8933,0.2,10,21,20
362,9.3705,8.9783,0.4,10,21,20
364,9.2783,9.9122,0.4,10,21,20
366,9.441,9.6556,0.7,10,21,20
368,10.1163,9.969,0.4,10,21,20
370,10.749,11.1701,0.5,10,21,20
372,11.5931,11.6167,0.56,9,21,19
374,13.0674,12.2403,0.44,9,21,18
376,12.9583,20.675,0.5,8,21,17
378,12.4379,12.2159,0.25,8,20,17
380,11.4523,12.0376,0.38,8,20,17
382,11.5417,17.3697,0.5,8,20,17
384,11.48,12.1063,0.25,8,20,17
386,11.553,12.3964,0.25,8,20,17
388,11.6189,11.1167,0.38,8,20,17
390,11.4561,11.6242,0.25,8,20,17
392,11.2742,13.3773,0.12,8,20,17
394,12.003,11.5682,0.62,8,20,17
396,11.9794,12.7332,0.5,8,20,17
398,12.7718,12.7745,0.43,7,20,16
400,12.7836,13.3197,0.57,7,20,16
402,12.6964,18.4691,0.14,7,20,16
404,12.6618,13.2891,0.57,7,20,16
406,13.2864,31.9382,0.71,7,20,16
408,13.4064,17.21,0.14,7,20,16
410,13.7632,14.3733,0.71,7,20,16
412,14.7556,29.9556,0.14,7,19,15
414,14.3789,15.6444,0.14,7,19,15
416,15.1778,15.0494,0.17,6,19,14
418,14.65,15.2778,0.33,6,19,14
420,16.1494,37.5444,0.33,6,19,14
422,15.9278,15.9378,1.0,5,18,14
424,16.0878,17.1828,0.6,5,18,14
426,18.83,17.1633,0.2,5,18,14
428,16.7183,16.57,0.4,5,18,14
430,15.4594,17.61,1.0,5,18,14
432,15.4144,16.6033,0.0,5,18,14
434,17.0128,15.3933,0.6,5,18,14
436,15.7428,16.3133,0.6,5,18,14
438,18.4422,23.37,1.0,5,18,14
440,20.1989,15.5594,0.2,5,18,14
442,18.8472,15.82,0.2,5,18,14
444,17.6656,15.7428,0.4,5,18,14
