player1,player2,game_num,time_taken,moves,win_1,win_2,pieces_1,pieces_2
custom,basic,0,511,669,1,0,19,7
custom,basic,1,411,423,1,0,21,14
custom,basic,2,651,555,1,0,22,9
custom,basic,3,524,549,100,0,0,0
custom,asmodeus,0,258,349,1,0,4,6
custom,asmodeus,1,304,381,1,0,5,6
custom,asmodeus,2,297,364,0,1,3,10
custom,asmodeus,3,286,364,66,33,0,0
custom,hunter,0,238,226,0,1,7,24
custom,hunter,1,240,230,0,1,7,22
custom,hunter,2,198,214,0,1,7,29
custom,hunter,3,225,223,0,100,0,0
custom,rnad,0,609,571,1,0,18,10
custom,rnad,1,505,475,1,0,22,8
custom,rnad,2,593,555,1,0,23,10
custom,rnad,3,569,533,100,0,0,0
custom,mcts,0,960,291,1,0,21,15
custom,mcts,1,2446,821,1,0,20,11
custom,mcts,2,1552,519,1,0,18,6
custom,mcts,3,1652,543,100,0,0,0
