move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,-0.1316,-0.1275,0.03,40,40,40
3,-0.1204,-0.1354,0.2,40,40,40
5,-0.1228,-0.1448,0.08,39,39,39
7,-0.147,-0.135,0.1,39,39,39
9,-0.1154,-0.0489,0.05,38,39,38
11,-0.1281,2.1322,0.05,38,39,38
13,-0.1079,-0.104,0.05,38,39,38
15,-0.0945,1.3494,0.11,38,39,38
17,-0.1761,-0.1172,0.14,36,38,37
19,-0.1932,-0.1892,0.11,35,37,37
21,-0.1933,-0.1948,0.2,35,37,37
23,-0.1938,-0.1669,0.14,35,37,37
25,-0.2005,-0.1913,0.11,35,37,37
27,-0.1849,-0.2129,0.15,34,36,36
29,-0.1856,-0.2013,0.06,34,35,35
31,-0.1616,-0.1853,0.15,34,35,35
33,-0.1541,-0.1589,0.21,33,35,34
35,-0.1451,-0.1417,0.12,33,35,34
37,-0.1511,-0.1165,0.09,33,35,34
39,-0.1243,-0.1076,0.21,33,35,34
41,-0.1444,-0.1138,0.16,32,34,34
43,-0.0293,-0.1093,0.06,32,34,33
45,-0.0341,0.6547,0.1,31,34,32
47,-0.137,-0.1377,0.2,30,33,32
49,-0.1595,-0.1705,0.13,30,32,32
51,-0.148,-0.1231,0.17,30,31,32
53,-0.1186,-0.1201,0.13,30,31,31
55,-0.1019,-0.1113,0.23,30,31,31
57,-0.1088,2.8039,0.2,30,31,31
59,-0.1119,-0.1078,0.13,30,31,31
61,-0.1024,-0.1102,0.23,30,31,31
63,-0.1062,0.6249,0.07,29,30,30
65,-0.078,-0.1116,0.11,28,29,30
67,-0.0509,1.3912,0.21,28,29,30
69,-0.0836,2.8227,0.26,27,28,29
71,-0.0271,-0.0668,0.19,26,28,28
73,-0.0399,-0.0385,0.15,26,28,28
75,-0.0342,0.7249,0.23,26,27,28
77,-0.0091,-0.031,0.2,25,26,27
79,-0.0227,0.1045,0.21,24,25,25
81,-0.0328,1.4319,0.13,23,24,25
83,-0.0812,-0.0744,0.09,22,23,25
