move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,-0.1385,-0.1406,0.05,40,40,40
3,-0.1074,-0.1262,0.12,40,40,40
5,-0.1269,-0.1678,0.15,39,40,39
7,-0.1167,-0.1225,0.08,39,40,39
9,-0.115,-0.1175,0.08,38,40,38
11,-0.1056,-0.102,0.08,38,40,38
13,-0.1119,-0.087,0.13,38,40,38
15,-0.0759,2.1061,0.11,37,40,37
17,-0.0547,-0.007,0.11,37,40,37
19,-0.0693,2.1183,0.05,37,40,37
21,-0.0936,-0.0049,0.06,36,39,37
23,-0.0748,-0.1164,0.09,35,38,36
25,-0.0793,-0.0489,0.0,35,38,36
27,-0.0432,-0.0597,0.09,35,38,36
29,-0.0399,-0.0246,0.09,35,38,36
31,-0.0232,0.0265,0.15,34,38,34
33,-0.0183,0.0296,0.12,33,38,33
35,-0.0121,0.0319,0.21,33,38,33
37,-0.0266,0.0018,0.21,33,38,33
39,0.0234,-0.0597,0.09,32,38,32
41,-0.0096,1.4605,0.12,32,38,32
43,-0.0119,-0.0414,0.1,31,37,32
45,0.0065,2.1207,0.06,31,37,32
47,-0.0053,3.5649,0.1,30,36,32
49,0.0019,2.175,0.21,29,36,31
51,-0.031,0.0093,0.11,28,35,31
53,0.0846,0.0573,0.11,27,35,30
55,0.007,0.0164,0.19,27,35,30
57,0.0367,0.0821,0.15,26,35,29
59,0.0487,2.1643,0.04,26,35,29
61,0.0826,0.1645,0.08,26,35,29
63,0.0515,3.599,0.15,26,35,29
65,0.0493,5.0,0.25,24,34,28
67,0.0182,0.0228,0.26,23,33,28
69,-0.0071,-0.0044,0.13,23,33,28
71,0.0257,0.0014,0.13,23,33,28
73,-0.0052,0.0016,0.13,23,33,28
75,0.0194,0.0061,0.22,23,33,28
77,0.0137,-0.0186,0.26,23,33,28
79,0.0313,0.0272,0.17,23,33,28
81,0.0605,0.0396,0.22,23,33,28
83,0.0279,0.0472,0.17,23,33,28
85,0.0671,0.0893,0.09,22,33,27
87,0.0832,0.0975,0.23,22,33,27
89,0.215,1.5713,0.05,22,33,26
91,0.0593,0.0777,0.1,21,32,26
93,0.19,0.1299,0.05,21,32,26
95,0.1072,0.1099,0.24,21,32,26
97,0.0716,0.106,0.29,21,32,26
99,0.0963,0.1205,0.29,21,32,26
101,0.145,0.1375,0.14,21,32,26
103,0.1703,0.1387,0.19,21,32,26
