move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,-0.1236,-0.1241,0.1,40,40,40
2,-0.1046,-0.0916,0.15,40,40,40
4,-0.1185,-0.0883,0.1,39,40,39
6,-0.1144,-0.0814,0.13,38,40,38
8,-0.1379,-0.0948,0.05,38,40,38
10,-0.1189,-0.1074,0.11,37,39,38
12,-0.1927,0.5559,0.11,36,37,38
14,-0.2014,-0.2029,0.11,36,37,38
16,-0.2071,-0.1918,0.17,36,37,38
18,-0.2004,-0.2017,0.17,35,37,37
20,-0.2029,-0.1997,0.0,34,36,37
22,-0.188,-0.2174,0.12,33,35,37
24,-0.1689,-0.1949,0.06,33,35,37
26,-0.1637,-0.1788,0.15,33,35,36
28,-0.1477,-0.1223,0.18,33,35,35
30,-0.1446,-0.1326,0.21,33,35,35
32,-0.1893,5.0,0.25,32,34,35
34,-0.1821,-0.1874,0.23,31,33,35
36,-0.1848,-0.1825,0.13,31,33,35
38,-0.1537,-0.1767,0.13,31,33,35
40,-0.1896,-0.2004,0.17,30,32,34
42,-0.1315,0.5854,0.13,30,32,34
44,-0.1757,-0.1598,0.2,30,32,34
46,-0.0942,2.8001,0.1,30,32,33
48,-0.1442,-0.1319,0.24,29,31,33
50,-0.2206,-0.2057,0.29,28,30,33
52,-0.1841,-0.2008,0.21,28,30,33
54,-0.2116,-0.2022,0.21,28,30,33
56,-0.1838,-0.1914,0.14,28,30,33
58,-0.1984,-0.2172,0.07,28,30,33
60,-0.22,-0.1934,0.25,28,30,33
62,-0.2268,-0.2419,0.18,28,29,33
64,-0.2401,-0.2274,0.18,28,29,33
66,-0.2163,-0.2283,0.04,27,28,32
68,-0.2351,-0.2474,0.12,25,27,31
70,-0.2423,-0.244,0.12,25,27,31
72,-0.2304,-0.2527,0.12,25,27,31
74,-0.2225,-0.2773,0.12,25,27,31
76,-0.2183,-0.2304,0.25,24,27,29
78,-0.22,2.0184,0.29,24,27,29
80,-0.2296,-0.2424,0.26,23,26,29
82,-0.2054,-0.2181,0.17,23,26,29
84,-0.2324,-0.2351,0.13,23,26,29
86,-0.1737,-0.2308,0.09,23,26,29
88,-0.1613,-0.1739,0.09,23,26,28
90,-0.1331,-0.1376,0.26,23,26,28
92,-0.1279,-0.1403,0.09,23,26,28
94,-0.0872,2.0751,0.13,23,26,27
96,-0.0792,-0.0709,0.09,22,25,27
98,-0.0763,-0.1285,0.14,22,25,27
100,-0.068,-0.0954,0.09,22,24,26
102,-0.0205,-0.0798,0.18,22,24,26
104,0.0362,0.7527,0.18,22,24,25
106,-0.0398,-0.0531,0.14,22,24,25
108,0.0294,-0.0792,0.14,22,24,25
110,0.0038,1.4185,0.18,22,24,25
112,0.0357,0.0954,0.2,20,23,23
114,0.1013,0.1232,0.16,19,23,22
116,0.059,0.1338,0.16,19,23,22
118,0.0913,0.0897,0.42,19,23,22
120,0.1563,0.1692,0.22,18,23,21
122,0.1554,3.6238,0.0,18,23,21
124,0.1744,3.6112,0.18,17,23,20
126,0.2593,0.8977,0.06,16,22,19
128,0.1453,0.8619,0.25,16,22,19
130,0.1102,0.1053,0.13,15,21,19
132,0.1259,0.1322,0.13,15,21,19
134,0.1141,0.1189,0.2,15,21,19
136,0.1215,0.1019,0.2,15,21,19
138,0.1374,0.1932,0.14,14,21,18
140,0.2104,0.2444,0.07,14,21,18
142,0.2685,0.2622,0.07,14,21,18
144,0.2117,1.6012,0.0,14,21,18
146,0.8903,0.2296,0.36,14,21,18
148,0.9237,0.1824,0.07,14,21,18
150,0.8525,0.2506,0.14,14,21,18
152,0.2451,0.1684,0.07,14,21,18
154,0.9202,0.1442,0.21,14,21,18
156,2.2737,0.1883,0.29,14,21,18
158,1.5357,0.849,0.31,13,21,17
160,4.303,0.1733,0.0,13,21,17
162,0.1095,0.1036,0.25,12,20,17
164,0.1806,0.105,0.33,12,20,17
166,0.105,0.1162,0.42,12,20,17
168,0.1142,0.1032,0.17,12,19,17
170,0.0733,0.1047,0.25,12,18,17
172,0.0379,0.0437,0.17,12,17,17
174,0.0909,0.0909,0.25,12,17,16
176,0.0909,0.0913,0.0,12,17,16
178,0.0909,0.0913,0.17,12,17,16
180,0.0913,0.0913,0.08,12,17,16
182,0.0858,0.0909,0.33,12,17,16
184,0.1127,0.1127,0.25,12,17,16
186,0.1702,0.173,0.33,12,17,16
188,0.2156,0.1527,0.08,12,17,16
190,0.2401,0.2375,0.17,12,17,16
192,0.2223,0.2059,0.09,11,16,16
194,0.1377,0.1952,0.27,11,16,16
196,0.1605,0.2052,0.27,11,16,16
198,0.0182,0.0133,0.3,10,15,16
200,0.0156,0.0111,0.5,10,15,16
202,0.013,0.0182,0.3,10,15,16
204,-0.011,-0.0114,0.3,10,14,15
206,-0.0114,-0.011,0.2,10,14,15
208,-0.0114,-0.0114,0.1,10,14,15
210,-0.0182,-0.0034,0.4,10,14,15
212,-0.0159,-0.0185,0.3,10,14,15
214,-0.0227,0.0244,0.3,10,14,15
216,-0.0273,-0.0074,0.0,9,14,14
218,-0.0334,-0.0269,0.33,9,14,14
220,-0.0311,-0.0051,0.22,9,14,14
222,-0.0266,-0.0303,0.67,9,14,14
224,-0.0292,-0.0248,0.33,9,14,14
226,-0.0444,-0.0273,0.33,9,14,14
228,-0.0448,-0.0248,0.11,9,14,14
230,-0.0516,-0.0539,0.11,9,14,14
232,-0.0379,-0.7532,0.33,9,14,14
234,-0.1,0.0105,0.11,9,13,14
236,-0.0993,-0.1038,0.22,9,12,14
238,-0.0983,-0.1035,0.22,9,12,14
240,-0.0977,-0.0759,0.22,9,12,13
242,-0.799,-0.8029,0.44,9,12,13
244,-1.5023,-0.8019,0.44,9,12,13
246,-0.7486,-0.7624,0.33,9,11,13
248,-0.04,-0.04,0.11,9,11,12
250,-0.0396,-0.0284,0.56,9,11,12
252,-0.0396,0.6814,0.22,9,11,12
254,-0.0457,-0.0463,0.33,9,11,12
256,-0.0786,-0.0654,0.33,9,11,12
258,-0.0613,-0.0768,0.56,9,11,12
260,-0.0313,-0.0707,0.44,9,11,12
262,-0.0925,-0.7832,0.22,9,10,12
264,-0.0573,-0.0421,0.22,9,10,11
266,-0.0671,2.1071,0.33,9,10,11
268,-0.7721,-0.0702,0.33,9,10,11
270,-0.0143,4.2771,0.33,9,10,11
272,-0.0345,-0.0771,0.22,9,10,11
274,-0.0545,4.2771,0.33,9,10,11
276,-0.0424,-0.0729,0.44,9,10,11
278,-0.05,5.0,0.11,9,10,11
280,-0.0514,-0.0865,0.5,8,9,11
282,-0.792,-0.0677,0.12,8,9,11
284,-2.1975,-1.4888,0.38,8,9,11
286,-0.7626,0.6407,0.25,8,9,11
288,-2.8858,-4.3,0.43,7,8,11
290,-2.9,-3.5921,0.29,7,8,11
292,-2.1957,-2.8789,0.43,7,8,11
294,-1.4953,-2.9007,0.71,7,8,11
296,-2.8957,-1.4924,0.57,7,8,11
298,-1.496,-1.4786,0.29,7,8,11
300,-2.2014,-0.7711,0.43,7,8,11
302,-3.5885,-2.896,0.57,7,8,11
304,-0.0242,-2.1528,0.43,7,8,11
306,-2.1314,-3.5693,0.57,7,8,11
308,-2.85,-2.1396,0.29,7,8,11
310,0.7618,-1.4163,0.17,6,8,10
312,-1.4088,-0.6993,0.33,6,8,10
314,2.8646,0.7143,0.67,6,8,10
316,2.8567,-0.6793,0.67,6,8,10
318,-2.8591,-3.5568,0.17,6,7,10
