move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,-0.122,-0.1216,0.12,40,40,40
2,-0.1071,-0.0989,0.23,40,40,40
4,-0.1147,-0.0619,0.15,40,40,40
6,-0.0996,-0.0649,0.15,40,40,40
8,-0.1229,-0.13,0.1,39,39,39
10,-0.1244,-0.1252,0.15,39,39,39
12,-0.1242,-0.1009,0.13,38,39,38
14,-0.1,-0.1218,0.08,36,39,36
16,-0.1395,-0.1043,0.11,36,39,36
18,-0.1222,-0.1212,0.11,35,38,36
20,-0.1198,-0.0876,0.03,35,38,36
22,-0.1031,0.6233,0.14,35,38,36
24,-0.091,-0.0857,0.2,35,38,36
26,-0.0433,-0.07,0.14,35,38,35
28,0.0019,-0.0093,0.11,35,38,35
30,0.0094,0.7763,0.15,34,38,34
32,0.0386,0.0464,0.09,33,38,33
34,0.0138,0.0525,0.09,33,38,33
36,0.081,0.0801,0.21,33,38,33
38,-0.0255,2.1788,0.15,33,38,33
40,0.0477,0.0763,0.12,32,38,32
42,0.04,0.096,0.1,31,38,31
44,-0.0383,-0.0712,0.17,30,37,31
46,-0.0544,0.7073,0.21,29,36,31
48,-0.0644,0.6765,0.14,29,36,31
50,-0.0418,-0.0079,0.17,29,36,31
52,-0.0497,-0.0419,0.1,29,36,31
54,-0.0666,0.6892,0.21,28,35,30
56,-0.0453,-0.0505,0.11,28,35,30
58,-0.0573,0.6604,0.15,27,34,30
60,-0.0552,-0.0691,0.19,27,34,30
62,-0.05,-0.0043,0.19,27,34,30
64,-0.0671,-0.0426,0.19,27,34,30
66,-0.0389,0.6979,0.22,27,34,30
68,-0.0825,-0.057,0.19,27,33,30
70,-0.0968,-0.0838,0.15,27,33,30
72,-0.0511,-0.0801,0.22,27,33,30
74,-0.0535,-0.0265,0.07,27,33,30
76,-0.0066,-0.0502,0.15,27,33,30
78,-0.0341,0.0079,0.23,26,33,29
80,0.031,0.7131,0.24,25,33,28
82,0.0449,0.0212,0.17,24,33,27
84,0.0316,0.0397,0.25,24,33,27
86,0.0738,0.7726,0.12,24,33,27
88,0.0271,0.0188,0.08,24,33,27
90,0.0277,0.0724,0.25,24,33,27
92,0.0138,0.0156,0.39,23,32,27
94,0.0374,0.7586,0.22,23,32,27
96,-0.0018,0.075,0.26,23,31,27
98,0.055,0.7829,0.3,23,31,26
100,0.0613,2.1788,0.22,23,31,26
102,0.1013,0.0922,0.18,22,31,25
104,0.1356,1.508,0.09,22,31,25
106,0.1195,0.1896,0.27,22,31,25
108,0.1571,0.1514,0.19,21,31,24
110,0.1902,3.6363,0.24,21,31,24
112,0.1867,0.2323,0.15,20,31,23
114,0.1928,3.6365,0.15,20,31,23
116,0.1987,0.3855,0.1,20,31,23
118,0.1931,0.2067,0.25,20,31,23
120,0.2255,3.014,0.25,20,31,23
122,0.1628,0.1692,0.21,19,30,23
124,0.1543,0.8797,0.32,19,30,23
126,0.1386,0.183,0.21,19,30,23
128,0.152,2.2473,0.11,19,30,23
130,0.1719,0.1682,0.17,18,30,22
132,0.1355,0.8574,0.17,18,30,22
134,0.1421,0.1564,0.33,18,30,22
136,0.1573,0.2435,0.28,18,30,22
138,0.1489,1.6199,0.28,18,30,22
140,0.1836,1.6775,0.17,18,30,22
142,0.1577,0.9011,0.17,18,30,22
144,0.1586,2.9501,0.22,18,30,22
146,0.1533,0.2618,0.22,18,30,22
148,0.1708,1.6292,0.28,18,30,22
150,0.1459,2.2485,0.22,18,30,22
152,0.1672,4.3145,0.17,18,30,22
154,0.1699,0.1346,0.29,17,29,22
156,0.1518,0.1847,0.24,17,29,22
158,0.1705,0.1738,0.18,17,29,22
160,0.1993,4.3013,0.29,17,29,22
162,0.4577,0.9257,0.18,17,29,22
164,0.3499,1.0406,0.18,17,29,22
166,0.3552,2.3389,0.12,16,29,21
168,0.426,1.6449,0.19,16,29,21
170,0.3665,4.3243,0.19,16,29,21
172,0.3977,3.6648,0.07,15,29,20
174,0.4027,4.3461,0.27,15,29,20
176,0.1998,0.343,0.29,14,28,20
178,0.2111,0.2036,0.21,14,28,20
180,0.2551,0.2523,0.29,14,28,20
182,0.2173,3.0175,0.23,13,28,19
184,0.2518,5.0,0.23,13,28,19
186,0.2672,1.7069,0.31,13,28,19
188,0.2361,3.6664,0.38,13,28,19
190,0.2365,2.9587,0.42,12,27,19
192,0.2085,4.3187,0.33,12,27,19
194,0.2955,0.3113,0.18,11,27,18
196,0.2852,2.3463,0.64,11,27,18
198,0.3281,5.0,0.09,11,27,18
200,0.3229,0.9698,0.1,10,27,17
202,0.2963,0.3035,0.6,10,27,17
204,0.3046,5.0,0.2,10,27,17
206,0.3448,2.3172,0.3,10,27,17
208,0.394,0.3649,0.3,10,27,17
210,0.3532,0.3863,0.4,10,27,17
212,0.4,5.0,0.2,10,27,17
214,0.3602,0.3075,0.5,10,27,17
216,0.3672,5.0,0.1,10,27,17
218,0.3529,3.658,0.3,10,27,17
220,0.3545,5.0,0.3,10,27,17
222,0.3344,0.3526,0.4,10,27,17
224,0.4212,0.378,0.3,10,27,17
226,1.0411,1.0784,0.2,10,27,17
228,3.046,3.703,0.5,10,27,17
230,2.3717,5.0,0.1,10,27,17
232,1.7343,1.762,0.6,10,27,17
234,0.4481,3.6917,0.2,10,27,17
236,1.053,5.0,0.2,10,27,17
238,2.4366,3.0025,0.3,10,27,17
240,3.0017,5.0,0.2,10,27,17
242,2.3982,1.0411,0.4,10,27,17
244,1.07,2.3359,0.4,10,27,17
246,1.0431,0.9945,0.2,10,27,17
248,5.0,5.0,0.2,10,27,17
250,3.7039,3.692,0.3,10,27,17
252,4.3292,3.7011,0.2,10,27,17
254,3.653,5.0,0.1,10,27,17
256,4.3344,5.0,0.4,10,27,17
258,5.0,4.317,0.2,10,27,17
260,5.0,5.0,0.2,10,27,17
262,5.0,5.0,0.5,10,27,17
264,5.0,5.0,0.3,10,27,17
266,5.0,5.0,0.4,10,27,17
268,5.0,5.0,0.3,10,27,17
270,5.0,5.0,0.11,9,27,16
