move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,-0.1282,0.6097,0.05,40,40,40
2,-0.1366,-0.1049,0.1,40,40,40
4,-0.1248,-0.1094,0.18,39,40,39
6,-0.1484,-0.117,0.15,39,40,39
8,-0.1116,-0.1151,0.13,39,40,39
10,-0.0955,-0.1501,0.08,39,40,39
12,-0.1077,-0.0989,0.15,39,40,39
14,-0.1241,-0.1344,0.1,39,40,39
16,-0.0902,-0.0675,0.15,39,40,39
18,-0.0848,-0.1837,0.13,39,40,39
20,-0.0817,-0.0786,0.18,38,40,38
22,-0.0719,4.279,0.08,38,40,38
24,-0.0878,-0.0905,0.18,38,40,38
26,-0.1029,-0.0439,0.24,38,40,38
28,-0.0834,1.3865,0.18,38,40,38
30,-0.0571,0.0062,0.24,38,40,38
32,-0.0819,0.0064,0.13,38,40,38
34,-0.0648,0.0336,0.17,36,39,36
36,-0.0743,-0.0108,0.23,35,38,36
38,-0.0305,-0.0769,0.14,35,38,36
40,-0.0256,-0.0259,0.21,34,38,35
42,-0.0508,-0.005,0.09,34,38,35
44,-0.0465,-0.0261,0.18,33,37,34
46,-0.0188,-0.0318,0.21,33,37,34
48,-0.0108,-0.0228,0.21,33,37,34
50,-0.0329,-0.0158,0.18,33,37,34
52,0.0161,0.0164,0.18,33,37,33
54,0.042,0.0638,0.15,33,37,33
56,0.0312,0.0592,0.21,33,37,33
58,0.0785,0.0581,0.21,33,37,33
60,-0.0039,0.0841,0.18,33,37,33
62,0.0026,0.067,0.12,32,37,32
64,-0.0014,0.0357,0.22,32,37,32
66,-0.0125,0.1269,0.22,32,37,32
68,-0.0498,-0.0406,0.13,31,36,32
70,-0.0602,-0.0238,0.2,30,36,31
72,-0.0347,-0.0255,0.07,30,36,31
74,-0.0285,-0.0314,0.24,29,35,30
76,-0.0309,-0.045,0.24,29,35,30
78,-0.0254,-0.0293,0.21,29,35,30
80,-0.0235,-0.0024,0.14,29,35,30
82,-0.0255,-0.0437,0.21,29,35,30
84,-0.0227,1.3846,0.1,29,35,30
86,-0.0058,0.0033,0.1,29,35,30
88,-0.0212,-0.0095,0.18,28,34,29
90,-0.0053,-0.0151,0.25,28,34,29
92,-0.003,0.0031,0.26,27,34,28
94,-0.0471,-0.0437,0.15,26,33,28
96,-0.0479,-0.0475,0.19,26,33,28
98,-0.056,-0.0682,0.23,26,33,28
100,-0.0606,-0.0539,0.12,26,33,28
102,-0.0536,-0.0682,0.19,26,33,28
104,-0.0432,-0.0584,0.27,26,33,28
106,-0.0473,-0.052,0.42,26,33,28
108,-0.0609,0.6657,0.38,26,33,28
110,-0.0345,-0.0555,0.19,26,33,28
112,-0.0508,-0.0507,0.15,26,33,28
114,-0.0475,-0.0544,0.38,26,33,28
116,-0.0347,-0.0425,0.19,26,33,28
118,-0.0281,-0.042,0.35,26,33,28
120,-0.0344,-0.0396,0.35,26,33,28
122,-0.0219,-0.0039,0.31,26,33,28
124,-0.0138,-0.0142,0.31,26,33,28
126,-0.0252,5.0,0.19,26,33,28
128,-0.0258,-0.0183,0.2,25,32,28
130,-0.0217,-0.0347,0.16,25,32,28
132,-0.0225,-0.0481,0.24,25,32,28
134,-0.0458,1.389,0.16,25,32,28
136,-0.0417,-0.0503,0.24,25,32,28
138,-0.0333,-0.0543,0.12,24,31,27
140,-0.016,0.6731,0.21,24,31,27
142,-0.0429,-0.0041,0.12,24,31,27
144,-0.044,-0.0135,0.25,24,31,27
146,-0.0512,0.0819,0.42,24,31,27
148,-0.0225,-0.0098,0.21,24,31,27
150,-0.0438,0.7265,0.25,24,31,27
152,-0.0087,-0.0121,0.21,24,31,27
154,-0.0331,5.0,0.33,24,31,27
156,-0.0091,-0.0367,0.29,24,31,27
158,0.0087,2.8625,0.29,24,31,27
160,0.0004,3.568,0.21,24,31,27
162,0.003,1.4232,0.25,24,30,27
164,-0.0241,1.4231,0.42,24,30,27
166,0.021,3.593,0.29,24,30,27
168,0.0111,5.0,0.33,24,30,27
170,-0.0161,4.2893,0.25,24,30,27
172,-0.0101,0.6707,0.43,23,29,27
174,-0.0331,1.3832,0.35,23,29,27
176,-0.0234,0.0051,0.35,23,29,27
178,-0.0733,-0.0539,0.3,23,29,27
180,-0.0351,0.702,0.3,23,29,27
