move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,-0.121,-0.1143,0.05,40,40,40
3,-0.1281,0.6106,0.05,39,39,40
5,-0.1231,-0.168,0.05,39,39,40
7,-0.1304,0.6107,0.26,39,39,40
9,-0.1205,-0.1309,0.13,38,38,39
11,-0.1281,-0.1402,0.16,38,38,39
13,-0.1248,-0.1315,0.11,37,38,38
15,-0.1234,2.0754,0.19,37,38,38
17,-0.1076,-0.1452,0.19,37,38,38
19,-0.0992,-0.1224,0.14,36,38,37
21,-0.1245,-0.0389,0.14,35,38,36
23,-0.1086,-0.0825,0.2,35,38,36
25,-0.0974,-0.0359,0.09,35,38,36
27,-0.1202,-0.081,0.15,34,37,36
29,-0.1043,-0.119,0.0,34,37,36
31,-0.1172,1.3807,0.09,33,37,35
33,-0.1229,-0.0715,0.09,32,36,34
35,-0.0857,-0.096,0.22,32,36,34
37,-0.1353,1.3735,0.09,32,36,34
39,-0.1527,-0.1455,0.06,31,35,34
41,-0.1401,-0.134,0.16,31,35,34
43,-0.1156,-0.1071,0.0,31,35,34
45,-0.141,-0.1042,0.16,31,35,34
47,-0.1131,2.1011,0.23,31,35,34
49,-0.1108,-0.0942,0.07,30,35,33
51,-0.1817,-0.1594,0.1,29,34,33
53,-0.1482,-0.152,0.1,29,34,33
55,-0.1044,-0.1546,0.14,29,34,33
57,-0.1161,-0.1733,0.21,28,34,32
59,-0.0928,-0.0808,0.04,28,34,32
61,-0.0401,3.5393,0.15,27,34,31
63,-0.0995,-0.0821,0.08,26,34,30
65,-0.1135,-0.1304,0.04,25,33,30
67,-0.099,-0.0995,0.2,25,33,30
69,-0.1055,-0.1001,0.16,25,33,30
71,-0.0794,-0.0685,0.24,25,33,30
73,-0.0511,-0.0323,0.21,24,33,29
75,-0.0332,-0.0243,0.25,24,33,29
77,0.0357,0.0042,0.17,23,33,28
79,0.0115,0.0104,0.09,23,33,27
81,-0.0001,0.0204,0.13,23,33,27
83,0.0138,0.01,0.13,23,33,27
85,0.0059,0.0445,0.17,23,33,27
87,0.003,0.016,0.04,23,33,27
89,0.0092,0.0167,0.04,23,33,27
91,0.0114,0.0427,0.09,23,33,27
93,0.0555,0.0394,0.14,22,33,26
95,0.0226,0.0182,0.14,22,33,26
97,0.0366,0.0556,0.14,22,33,26
99,0.0568,0.0507,0.29,21,33,25
101,0.05,0.0522,0.24,21,33,25
103,0.0777,0.0844,0.19,21,33,25
105,0.086,0.1035,0.0,21,32,24
107,0.1082,0.0908,0.2,20,31,24
109,0.1278,0.7832,0.15,20,31,24
111,0.1649,0.8246,0.2,20,31,24
113,0.2093,0.1914,0.11,19,31,23
115,0.1724,2.2481,0.37,19,31,23
117,0.2398,0.1733,0.26,19,31,23
119,0.2159,0.8158,0.16,19,31,23
121,0.2442,0.9615,0.21,19,31,22
123,0.2647,0.9427,0.05,19,31,22
125,0.2866,5.0,0.26,19,31,22
127,0.2618,2.2567,0.33,18,30,22
129,0.335,5.0,0.17,18,30,22
131,0.1825,5.0,0.35,17,29,22
133,0.3035,2.9715,0.29,17,29,22
135,0.1943,0.153,0.24,17,29,22
137,0.235,2.2352,0.41,17,29,22
139,0.1573,2.9783,0.24,17,29,22
141,0.2329,5.0,0.35,17,29,22
143,0.292,1.5832,0.06,16,29,21
145,0.2252,5.0,0.31,16,29,21
147,0.1993,5.0,0.25,16,29,21
149,0.2024,1.6424,0.25,16,29,21
151,0.3017,0.282,0.38,16,29,21
153,0.331,0.5569,0.25,16,29,21
155,0.3905,1.009,0.31,16,29,21
157,0.3778,0.931,0.19,16,29,21
159,0.3227,3.6579,0.31,16,29,21
161,0.272,0.2779,0.19,16,29,21
163,0.3766,4.314,0.19,16,29,21
