move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0147,0.3,40,40,40
3,0.0,0.0,0.25,40,40,40
5,0.0118,0.0118,0.21,39,40,39
7,0.0118,0.0118,0.1,39,40,39
9,-0.0471,-0.0471,0.05,38,39,39
11,-0.0353,-0.0353,0.19,37,39,38
13,-0.0706,-0.0706,0.11,36,38,38
15,-0.0706,-0.0706,0.22,36,38,38
17,-0.0588,-0.0294,0.14,35,38,37
19,-0.0565,-0.0565,0.11,35,38,37
21,-0.0824,-0.0824,0.15,33,37,36
23,-0.0824,-0.0824,0.09,33,37,36
25,-0.0706,-0.0706,0.16,32,37,35
27,-0.0118,-0.0118,0.06,32,37,34
29,-0.0094,-0.0094,0.22,32,37,34
31,-0.0094,-0.0094,0.09,32,37,34
33,-0.0094,-0.0094,0.12,32,37,34
35,0.0024,0.0171,0.23,31,37,33
37,0.0024,0.0171,0.13,31,37,33
39,0.0612,0.1053,0.07,30,37,32
41,0.0965,0.0965,0.24,29,37,31
43,0.0965,0.0965,0.21,29,37,31
45,0.0965,0.0965,0.21,29,37,31
47,0.1576,0.1576,0.07,28,37,30
49,0.1318,0.1612,0.04,27,36,29
51,0.1906,0.1906,0.27,26,36,28
53,0.1906,0.22,0.12,26,36,28
55,0.2024,0.2024,0.16,25,36,27
57,0.2312,0.2459,0.2,25,36,26
59,0.2312,0.2459,0.2,25,36,26
61,0.2171,0.2024,0.08,24,35,26
63,0.2171,0.2318,0.12,24,35,26
65,0.2171,0.2024,0.25,24,35,26
67,0.2171,0.2171,0.12,24,35,26
69,0.2171,0.2465,0.04,24,35,26
71,0.2171,0.2318,0.29,24,35,26
73,0.2171,0.2465,0.12,24,35,26
75,0.1206,0.1206,0.13,23,34,26
77,0.1206,0.1353,0.22,23,34,26
79,0.1206,0.15,0.17,23,34,26
81,0.1206,0.1059,0.26,23,34,26
83,0.1206,0.1059,0.17,23,34,26
85,0.0971,0.0824,0.13,23,33,25
87,0.0971,0.0824,0.04,23,33,25
89,0.0971,0.1265,0.22,23,33,25
91,0.0594,0.0594,0.27,22,32,25
93,0.0594,0.0741,0.23,22,32,25
95,0.0594,0.0594,0.23,22,32,25
97,0.0594,0.0594,0.23,22,32,25
99,0.0571,0.0865,0.09,22,32,25
101,0.0218,0.0071,0.0,22,31,25
103,0.0365,0.0365,0.09,22,31,25
105,0.0365,0.0071,0.27,22,31,25
107,0.0365,0.0218,0.27,22,31,25
109,0.0482,0.0335,0.29,21,31,24
111,0.0482,0.0335,0.19,21,31,24
113,0.0506,0.0212,0.43,21,31,24
115,0.0506,0.0212,0.19,21,31,24
117,0.0529,0.0235,0.29,21,31,24
119,0.0529,0.0382,0.24,21,31,24
121,0.0529,0.0235,0.14,21,31,24
123,0.0529,0.0529,0.29,21,31,24
125,0.0153,0.0006,0.24,21,30,24
127,0.0153,0.03,0.19,21,30,24
129,-0.0224,-0.0371,0.14,21,29,24
131,0.0388,0.0094,0.19,21,29,23
133,0.0388,0.0241,0.48,21,29,23
135,0.0388,0.0241,0.29,21,29,23
137,0.0388,0.0388,0.24,21,29,23
139,0.0388,0.0388,0.14,21,29,23
141,0.0341,0.0071,0.14,21,29,23
