move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.17,40,40,40
2,0.0,0.0,0.1,40,40,40
4,0.0,0.0,0.12,40,40,40
6,0.0118,0.0118,0.18,39,40,39
8,0.0118,0.0118,0.13,39,40,39
10,0.0,0.0,0.18,38,39,39
12,0.0353,0.0353,0.16,38,39,38
14,0.0941,0.0941,0.11,37,39,37
16,0.0941,0.0941,0.19,37,39,37
18,0.0965,0.1112,0.11,37,39,37
20,0.1082,0.1082,0.08,36,39,36
22,0.0471,0.0471,0.09,35,38,36
24,0.0471,0.0471,0.14,35,38,36
26,0.0471,0.0471,0.11,35,38,36
28,0.0471,0.0471,0.14,35,38,36
30,0.0471,0.0471,0.17,35,38,36
32,-0.0118,-0.0118,0.09,34,37,36
34,-0.0753,-0.0753,0.21,33,36,36
36,-0.0353,-0.0353,0.18,33,36,35
38,-0.0353,-0.0353,0.09,33,36,35
40,-0.0353,-0.0353,0.03,33,36,35
42,-0.0353,-0.0353,0.12,33,36,35
44,-0.0376,-0.0376,0.27,33,36,35
46,-0.0965,-0.0671,0.15,33,35,35
48,-0.0965,-0.0965,0.21,33,35,35
50,-0.1082,-0.1082,0.19,32,34,35
52,-0.1106,-0.1106,0.12,32,34,35
54,-0.1224,-0.0929,0.16,32,33,35
56,-0.1459,-0.1459,0.2,30,32,34
58,-0.1082,-0.1082,0.07,30,32,33
60,-0.1082,-0.0788,0.03,30,32,33
62,-0.1082,-0.1082,0.03,30,32,33
64,-0.1224,-0.1224,0.1,29,31,33
66,-0.0847,-0.0847,0.14,29,31,32
68,-0.0824,-0.0824,0.34,29,30,31
70,-0.0824,-0.0824,0.07,29,30,31
72,-0.0847,-0.0847,0.1,29,30,31
74,-0.0847,-0.0847,0.14,29,30,31
76,-0.0847,-0.0553,0.14,29,30,31
78,-0.0847,-0.0847,0.17,29,30,31
80,-0.1435,-0.1435,0.17,29,29,31
82,-0.0471,-0.0471,0.17,29,28,29
84,-0.0471,-0.0471,0.24,29,28,29
86,-0.0471,-0.0471,0.1,29,28,29
88,-0.0471,-0.0471,0.28,29,28,29
90,-0.0353,-0.0353,0.0,28,28,28
92,-0.0353,-0.0353,0.18,28,28,28
94,-0.0353,-0.0353,0.07,28,28,28
96,-0.0353,-0.0353,0.11,28,28,28
98,-0.0706,-0.0706,0.19,27,27,28
100,-0.0706,-0.0706,0.07,27,27,28
102,0.0235,0.0235,0.19,27,27,27
104,0.0235,0.0235,0.11,27,27,27
106,0.0353,0.0353,0.19,26,27,26
108,0.0353,0.05,0.12,26,27,26
110,0.0353,0.0353,0.08,25,26,25
112,0.0353,0.05,0.16,25,26,25
114,0.0353,0.0353,0.2,25,26,25
116,0.0471,0.0471,0.08,24,26,24
118,0.0471,0.0471,0.04,24,26,24
120,0.0494,0.0641,0.21,24,26,24
122,0.0494,0.0641,0.12,24,26,24
124,0.0494,0.0494,0.12,24,26,24
126,0.0118,0.0118,0.09,23,25,24
128,0.0118,0.0559,0.13,23,25,24
130,0.0471,0.0471,0.05,22,25,23
132,0.0471,0.0471,0.14,22,25,23
134,0.0471,0.0471,0.18,22,25,23
136,0.0471,0.0471,0.05,22,25,23
138,0.0471,0.0471,0.14,22,25,23
140,0.0329,0.0476,0.19,21,24,23
142,-0.0024,-0.0024,0.19,21,23,23
144,0.0612,0.0612,0.19,21,23,22
146,0.0612,0.0759,0.24,21,23,22
148,0.0612,0.0612,0.29,21,23,22
150,0.0612,0.0612,0.19,21,23,22
152,0.0612,0.0612,0.38,21,23,22
154,0.0565,0.0712,0.29,21,23,22
156,0.0565,0.0712,0.29,21,23,22
158,0.0565,0.0588,0.14,21,23,22
160,-0.0141,0.0006,0.15,20,21,22
162,0.0259,0.0406,0.1,20,21,21
164,0.0259,0.0259,0.3,20,21,21
166,0.0376,0.0376,0.32,19,21,20
168,0.0376,0.0524,0.21,19,21,20
170,0.0376,0.0376,0.11,19,21,20
172,0.0,0.0,0.22,18,20,20
174,0.0,0.0,0.17,18,20,20
176,0.0,0.0147,0.28,18,20,20
178,0.0,0.0147,0.11,18,20,20
180,-0.0353,-0.0206,0.22,18,19,20
182,-0.0353,-0.0206,0.17,18,19,20
184,0.0282,0.0429,0.06,18,19,19
186,0.0259,0.0406,0.33,18,19,19
188,0.0259,0.0553,0.17,18,19,19
190,0.0259,0.07,0.11,18,19,19
