move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.07,40,40,40
2,0.0,0.0,0.23,40,40,40
4,0.0,0.0,0.1,39,39,39
6,0.0,0.0,0.1,39,39,39
8,0.0,0.0,0.18,39,39,39
10,0.0,0.0,0.13,39,39,39
12,0.0,0.0147,0.13,38,38,38
14,0.0353,0.0353,0.14,37,38,37
16,0.0353,0.0353,0.14,37,38,37
18,-0.0235,-0.0235,0.08,36,37,37
20,-0.0235,-0.0235,0.22,36,37,37
22,-0.0235,-0.0235,0.11,36,37,37
24,-0.0235,-0.0235,0.08,36,37,37
26,0.0706,0.0706,0.09,35,37,36
28,0.0706,0.0706,0.09,35,37,36
30,0.0353,0.0353,0.12,34,36,36
32,0.0353,0.0353,0.26,34,35,35
34,0.0353,0.0353,0.15,34,35,35
36,0.0353,0.0353,0.18,34,35,35
38,0.0353,0.0353,0.18,34,35,35
40,0.0353,0.0353,0.18,34,35,35
42,0.0212,0.0212,0.15,33,34,35
44,0.0235,0.0235,0.27,33,33,34
46,0.0235,0.0235,0.18,33,33,34
48,0.0235,0.0235,0.06,33,33,34
50,0.0235,0.0235,0.15,33,33,34
52,-0.0141,-0.0141,0.16,32,32,34
54,0.0471,0.0471,0.22,32,32,33
56,0.0471,0.0471,0.19,32,32,33
58,0.0471,0.0618,0.12,32,32,33
60,0.0471,0.0471,0.12,32,32,33
62,0.0471,0.0471,0.16,32,32,33
64,0.0824,0.0824,0.13,31,32,32
66,0.0824,0.0824,0.13,31,32,32
68,0.0824,0.0824,0.0,31,32,32
70,0.0824,0.0824,0.19,31,32,32
72,0.0235,0.0235,0.13,30,31,32
74,0.0824,0.0824,0.13,30,31,31
76,0.0824,0.0824,0.2,30,31,31
78,0.0824,0.0824,0.13,30,31,31
80,0.0824,0.0824,0.2,30,31,31
82,0.0847,0.0847,0.1,30,31,31
84,0.0847,0.0847,0.1,30,31,31
86,-0.0094,-0.0094,0.1,29,30,31
88,-0.0235,-0.0235,0.21,28,29,31
90,-0.0235,-0.0235,0.14,28,29,31
92,-0.0235,-0.0235,0.11,28,29,31
94,-0.0235,-0.0235,0.18,28,29,31
96,-0.0259,-0.0259,0.21,28,29,31
98,-0.0612,-0.0465,0.11,28,28,31
100,-0.0612,-0.0612,0.11,28,28,31
102,-0.0612,-0.0612,0.14,28,28,31
104,-0.1553,-0.1553,0.3,27,27,31
106,-0.1553,-0.1553,0.07,27,27,31
108,-0.1553,-0.1553,0.15,27,27,31
110,-0.1553,-0.1553,0.26,27,27,31
112,-0.1553,-0.1553,0.19,27,27,31
114,-0.1576,-0.1576,0.07,27,27,31
116,-0.1576,-0.1576,0.22,27,27,31
118,-0.1553,-0.1553,0.11,27,26,30
120,-0.1553,-0.1553,0.37,27,26,30
122,-0.1553,-0.1553,0.11,27,26,30
124,-0.1553,-0.1406,0.19,27,26,30
126,-0.1671,-0.1671,0.26,27,25,30
128,-0.1671,-0.1671,0.11,27,25,30
130,-0.1671,-0.1671,0.19,27,25,30
132,-0.1671,-0.1671,0.07,27,25,30
134,-0.1671,-0.1671,0.3,27,25,30
136,-0.1671,-0.1671,0.19,27,25,30
138,-0.1671,-0.1671,0.19,27,25,30
140,-0.1671,-0.1671,0.07,27,25,30
142,-0.1671,-0.1671,0.22,27,25,30
144,-0.1671,-0.1671,0.15,27,25,30
146,-0.1671,-0.1524,0.07,27,25,30
148,-0.1647,-0.1647,0.07,27,24,29
150,-0.1647,-0.1647,0.19,27,24,29
152,-0.1647,-0.1647,0.26,27,24,29
154,-0.1624,-0.1624,0.33,27,24,29
156,-0.1624,-0.1624,0.19,27,24,29
158,-0.1624,-0.1624,0.07,27,24,29
160,-0.1624,-0.1624,0.15,27,24,29
162,-0.1624,-0.1624,0.15,27,24,29
164,-0.1476,-0.1624,0.26,27,24,29
166,-0.15,-0.15,0.22,27,24,29
168,-0.15,-0.1353,0.11,27,24,29
170,-0.15,-0.1647,0.15,27,24,29
172,-0.15,-0.1647,0.37,27,24,29
174,-0.15,-0.1647,0.07,27,24,29
176,-0.15,-0.1647,0.19,27,24,29
178,-0.15,-0.1647,0.19,27,24,29
180,-0.15,-0.1647,0.07,27,24,29
182,-0.1524,-0.1694,0.22,27,24,29
184,-0.1524,-0.1671,0.11,27,24,29
186,-0.1524,-0.1671,0.19,27,24,29
188,-0.1524,-0.1671,0.22,27,24,29
190,-0.1971,-0.2118,0.12,26,22,29
192,-0.1971,-0.2118,0.19,26,22,29
194,-0.1618,-0.1765,0.19,26,22,28
196,-0.1618,-0.1765,0.15,26,22,28
198,-0.1618,-0.1765,0.15,26,22,28
200,-0.1618,-0.1765,0.23,26,22,28
202,-0.1618,-0.1765,0.15,26,22,28
204,-0.1618,-0.1765,0.15,26,22,28
206,-0.1618,-0.1765,0.15,26,22,28
208,-0.1618,-0.1765,0.27,26,22,28
210,-0.1618,-0.1618,0.19,26,22,28
212,-0.1594,-0.1741,0.31,26,22,28
214,-0.1594,-0.1741,0.19,26,22,28
216,-0.1594,-0.1741,0.19,26,22,28
218,-0.1594,-0.1741,0.19,26,22,28
220,-0.1594,-0.1741,0.27,26,22,28
222,-0.1594,-0.1741,0.12,26,22,28
224,-0.1594,-0.1741,0.23,26,22,28
226,-0.1594,-0.1741,0.15,26,22,28
228,-0.1594,-0.1741,0.15,26,22,28
230,-0.1594,-0.1741,0.15,26,22,28
232,-0.1594,-0.13,0.27,26,22,28
234,-0.2182,-0.2182,0.2,25,21,28
236,-0.2182,-0.2182,0.16,25,21,28
238,-0.2206,-0.2206,0.24,25,21,28
240,-0.2559,-0.2706,0.24,25,20,28
242,-0.2559,-0.2706,0.16,25,20,28
244,-0.2706,-0.2853,0.2,25,20,28
246,-0.2559,-0.2559,0.24,25,20,28
248,-0.3294,-0.3441,0.28,25,19,28
250,-0.3294,-0.3441,0.16,25,19,28
252,-0.3647,-0.3794,0.24,25,18,28
254,-0.3647,-0.3794,0.32,25,18,28
256,-0.4,-0.4147,0.4,25,17,28
258,-0.3853,-0.4,0.28,25,17,28
260,-0.3853,-0.4,0.24,25,17,28
262,-0.3971,-0.4118,0.24,25,16,28
264,-0.4235,-0.4382,0.24,25,15,28
266,-0.4235,-0.4382,0.28,25,15,28
268,-0.4235,-0.4382,0.28,25,15,28
270,-0.4235,-0.4382,0.24,25,15,28
272,-0.4588,-0.4735,0.24,25,14,28
274,-0.4588,-0.4735,0.2,25,14,28
276,-0.4588,-0.4735,0.24,25,14,28
278,-0.4588,-0.4588,0.24,25,14,28
280,-0.4588,-0.4735,0.2,25,14,28
282,-0.4588,-0.4735,0.36,25,14,28
284,-0.4588,-0.4735,0.36,25,14,28
286,-0.4588,-0.4588,0.28,25,14,28
288,-0.4588,-0.4735,0.16,25,14,28
290,-0.4588,-0.4735,0.12,25,14,28
292,-0.4588,-0.4735,0.28,25,14,28
294,-0.4588,-0.4735,0.16,25,14,28
296,-0.4588,-0.4735,0.24,25,14,28
298,-0.4588,-0.4735,0.32,25,14,28
300,-0.4441,-0.4441,0.28,25,14,28
302,-0.4588,-0.4735,0.32,25,14,28
304,-0.4441,-0.4588,0.32,25,14,28
306,-0.4588,-0.4588,0.08,25,14,28
308,-0.4441,-0.4588,0.16,25,14,28
310,-0.4588,-0.4735,0.32,25,14,28
312,-0.5176,-0.5324,0.24,25,13,28
314,-0.5176,-0.5324,0.08,25,13,28
316,-0.5176,-0.5324,0.16,25,13,28
318,-0.52,-0.5347,0.2,25,13,28
320,-0.5176,-0.5324,0.12,25,13,28
322,-0.5176,-0.5324,0.28,25,13,28
324,-0.5176,-0.5324,0.2,25,13,28
326,-0.5176,-0.5324,0.16,25,13,28
328,-0.5553,-0.5553,0.16,25,12,28
330,-0.5553,-0.57,0.24,25,12,28
332,-0.5529,-0.5676,0.16,25,12,28
334,-0.5482,-0.5629,0.24,25,12,28
336,-0.5482,-0.5629,0.16,25,12,28
338,-0.5482,-0.5629,0.4,25,12,28
340,-0.5482,-0.5629,0.32,25,12,28
342,-0.5482,-0.5629,0.32,25,12,28
344,-0.56,-0.5747,0.4,25,11,28
346,-0.56,-0.5747,0.36,25,11,28
348,-0.56,-0.5747,0.16,25,11,28
350,-0.6147,-0.6294,0.16,25,10,28
