move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.15,40,40,40
2,0.0,0.0,0.12,40,40,40
4,0.0,0.0,0.12,40,40,40
6,0.0118,0.0118,0.31,39,40,39
8,0.0118,0.0118,0.08,39,40,39
10,0.0118,0.0118,0.13,39,40,39
12,-0.0024,-0.0024,0.11,38,39,39
14,-0.0376,-0.0229,0.11,38,38,39
16,-0.0494,-0.0494,0.16,38,37,39
18,-0.0847,-0.0847,0.13,38,36,39
20,-0.0235,-0.0235,0.11,38,36,38
22,-0.0235,-0.0235,0.19,37,35,37
24,-0.0235,-0.0235,0.11,37,35,37
26,-0.0235,-0.0235,0.08,37,35,37
28,-0.0235,-0.0088,0.08,37,35,37
30,-0.0235,-0.0235,0.16,37,35,37
32,-0.0235,-0.0235,0.14,35,34,36
34,-0.0,-0.0,0.12,34,33,35
36,-0.0588,-0.0588,0.09,34,32,35
38,0.0376,0.0376,0.09,34,32,34
40,0.0376,0.0376,0.09,34,32,34
42,0.0024,0.0024,0.27,33,31,34
44,0.0024,0.0024,0.27,33,31,34
46,-0.0588,-0.0588,0.25,32,30,34
48,-0.0588,-0.0588,0.19,32,30,34
50,-0.0588,-0.0588,0.19,32,30,34
52,-0.0588,-0.0588,0.25,32,30,34
54,-0.0588,-0.0588,0.16,32,30,34
56,-0.0588,-0.0441,0.16,32,30,34
58,-0.0588,-0.0588,0.12,32,30,34
60,0.0588,0.0588,0.06,31,30,33
62,0.0588,0.0735,0.19,31,30,33
64,0.0588,0.0735,0.19,31,30,33
66,0.0565,0.0565,0.29,31,30,33
68,0.0212,0.0359,0.16,31,29,33
70,0.0824,0.0824,0.1,31,29,32
72,0.0471,0.0618,0.2,30,28,32
74,0.0471,0.0471,0.07,30,28,32
76,0.0447,0.0594,0.13,30,28,32
78,0.08,0.08,0.17,30,28,31
80,0.0471,0.0471,0.13,30,27,31
82,0.1671,0.1671,0.13,30,27,30
84,0.1788,0.1788,0.1,29,27,29
86,0.1788,0.1935,0.17,29,27,29
88,0.1788,0.1788,0.14,29,27,29
90,0.1788,0.1788,0.14,29,27,29
92,0.1765,0.1912,0.14,29,27,29
94,0.1765,0.1912,0.14,29,27,29
96,0.1812,0.1812,0.1,29,27,29
98,0.1929,0.1929,0.32,28,27,28
100,0.1929,0.1929,0.25,28,27,28
102,0.2518,0.2518,0.15,27,27,27
104,0.2518,0.2518,0.22,27,27,27
106,0.2518,0.2518,0.19,27,27,27
108,0.3106,0.3106,0.19,26,27,26
110,0.3106,0.3253,0.27,26,27,26
112,0.3106,0.3253,0.23,26,27,26
114,0.3106,0.3253,0.12,26,27,26
116,0.3606,0.3606,0.24,25,27,25
118,0.3606,0.3606,0.16,25,27,25
120,0.3606,0.3459,0.2,25,27,25
122,0.3724,0.3724,0.17,24,27,24
124,0.3576,0.3724,0.21,24,27,24
126,0.3671,0.3818,0.26,23,27,23
128,0.4165,0.4312,0.19,21,27,21
130,0.4288,0.4435,0.19,21,27,21
132,0.4553,0.4553,0.2,20,27,20
134,0.4553,0.4553,0.25,20,27,20
136,0.4553,0.4259,0.2,20,27,20
138,0.4553,0.4259,0.25,20,27,20
140,0.4553,0.4259,0.15,20,27,20
142,0.4671,0.4376,0.16,19,27,19
144,0.4694,0.44,0.26,19,27,19
146,0.4694,0.44,0.05,19,27,19
148,0.5282,0.4988,0.28,18,27,18
150,0.5282,0.4988,0.22,18,27,18
152,0.4671,0.4376,0.12,17,26,18
154,0.4553,0.4259,0.24,17,25,18
156,0.42,0.42,0.18,17,24,18
158,0.4224,0.3929,0.18,17,23,17
160,0.4224,0.4076,0.35,17,23,17
162,0.4576,0.4429,0.25,16,23,16
164,0.4576,0.4282,0.25,16,23,16
166,0.4576,0.4429,0.2,15,22,15
168,0.4429,0.4429,0.2,15,22,15
170,0.4429,0.4282,0.47,15,22,15
172,0.4429,0.4429,0.47,15,22,15
174,0.4429,0.4429,0.47,15,22,15
176,0.4576,0.4282,0.13,15,22,15
178,0.4576,0.4429,0.33,15,22,15
180,0.4429,0.4282,0.47,15,22,15
182,0.4576,0.4282,0.33,15,22,15
184,0.4724,0.4429,0.33,15,22,15
186,0.4724,0.4282,0.27,15,22,15
188,0.5076,0.4635,0.36,14,22,14
190,0.5076,0.5076,0.29,14,22,14
192,0.5076,0.4635,0.5,14,22,14
194,0.5076,0.5076,0.29,14,22,14
196,0.5076,0.4635,0.21,14,22,14
198,0.5076,0.4782,0.36,14,22,14
200,0.5076,0.4635,0.29,14,22,14
202,0.5076,0.4782,0.29,14,22,14
204,0.5076,0.4635,0.29,14,22,14
206,0.5076,0.4782,0.21,14,22,14
208,0.5076,0.5076,0.43,14,22,14
210,0.5076,0.4635,0.29,14,22,14
212,0.5076,0.4635,0.36,14,22,14
214,0.5076,0.4635,0.36,14,22,14
216,0.5076,0.4635,0.29,14,22,14
218,0.5453,0.5159,0.23,13,22,13
220,0.5806,0.5659,0.33,12,22,12
222,0.5806,0.5659,0.33,12,22,12
224,0.5806,0.5806,0.58,12,22,12
226,0.5829,0.5682,0.25,12,22,12
228,0.5829,0.5388,0.33,12,22,12
230,0.5829,0.5388,0.42,12,22,12
232,0.5829,0.5682,0.33,12,22,12
234,0.5829,0.5388,0.42,12,22,12
236,0.6418,0.5976,0.36,11,22,11
238,0.6418,0.6418,0.55,11,22,11
240,0.6418,0.6271,0.36,11,22,11
242,0.5829,0.5388,0.3,10,21,11
244,0.5829,0.5535,0.4,10,21,11
246,0.5829,0.5535,0.4,10,21,11
248,0.5829,0.5682,0.3,10,21,11
250,0.5829,0.5682,0.4,10,21,11
252,0.5829,0.5829,0.6,10,21,11
254,0.5829,0.5682,0.4,10,21,11
256,0.5829,0.5829,0.5,10,21,11
258,0.5829,0.5682,0.4,10,21,11
260,0.5829,0.5535,0.3,10,21,11
262,0.5829,0.5829,0.4,10,21,11
264,0.5853,0.5853,0.5,10,21,11
266,0.5853,0.5853,0.2,10,21,11
268,0.5829,0.5365,0.4,10,21,11
270,0.5829,0.5682,0.4,10,21,11
272,0.5829,0.5659,0.2,10,21,11
274,0.5853,0.5559,0.3,10,21,11
276,0.5829,0.5806,0.4,10,21,11
278,0.5829,0.5682,0.6,10,21,11
280,0.5829,0.5535,0.3,10,21,11
282,0.5829,0.5659,0.3,10,21,11
284,0.5829,0.5388,0.3,10,21,11
286,0.5829,0.5365,0.3,10,21,11
288,0.5853,0.5706,0.4,10,21,11
290,0.5853,0.5853,0.5,10,21,11
292,0.5876,0.5582,0.3,10,21,11
294,0.5876,0.5729,0.3,10,21,11
296,0.5853,0.5853,0.5,10,21,11
298,0.5853,0.5412,0.5,10,21,11
300,0.5853,0.5682,0.5,10,21,11
302,0.5853,0.5559,0.5,10,21,11
304,0.5853,0.5559,0.2,10,21,11
306,0.5853,0.5829,0.4,10,21,11
308,0.5853,0.5682,0.2,10,21,11
310,0.5853,0.5388,0.4,10,21,11
312,0.5876,0.5729,0.3,10,21,11
314,0.5853,0.5706,0.4,10,21,11
316,0.5853,0.5706,0.2,10,21,11
318,0.5853,0.5706,0.2,10,21,11
320,0.5853,0.5706,0.3,10,21,11
322,0.5853,0.5706,0.3,10,21,11
324,0.5853,0.5412,0.4,10,21,11
326,0.5853,0.5706,0.3,10,21,11
328,0.5853,0.5412,0.3,10,21,11
330,0.5853,0.5853,0.5,10,21,11
332,0.5853,0.5706,0.3,10,21,11
334,0.5853,0.5412,0.5,10,21,11
336,0.5853,0.5559,0.4,10,21,11
338,0.5853,0.5706,0.3,10,21,11
340,0.5853,0.5412,0.5,10,21,11
342,0.5853,0.5706,0.2,10,21,11
344,0.5853,0.5853,0.5,10,21,11
346,0.5853,0.5412,0.4,10,21,11
348,0.5853,0.5706,0.3,10,21,11
350,0.5853,0.5559,0.5,10,21,11
352,0.5853,0.5559,0.3,10,21,11
354,0.5853,0.5559,0.4,10,21,11
356,0.5853,0.5853,0.2,10,21,11
358,0.5853,0.5706,0.2,10,21,11
360,0.5853,0.5412,0.3,10,21,11
362,0.5876,0.5729,0.6,10,21,11
364,0.5853,0.5706,0.4,10,21,11
366,0.5829,0.5365,0.3,10,21,11
368,0.5876,0.5729,0.5,10,21,11
370,0.5729,0.5582,0.4,10,21,11
372,0.5876,0.5729,0.3,10,21,11
374,0.5876,0.5729,0.4,10,21,11
376,0.5876,0.5582,0.3,10,21,11
378,0.5829,0.5682,0.2,10,21,11
380,0.5853,0.5829,0.5,10,21,11
382,0.5853,0.5853,0.4,10,21,11
384,0.5853,0.5706,0.5,10,21,11
386,0.5853,0.5706,0.3,10,21,11
388,0.5853,0.5535,0.3,10,21,11
390,0.5853,0.5682,0.3,10,21,11
392,0.5853,0.5706,0.3,10,21,11
394,0.5853,0.5535,0.5,10,21,11
396,0.5853,0.5829,0.4,10,21,11
398,0.5876,0.5876,0.6,10,21,11
400,0.5876,0.5729,0.2,10,21,11
402,0.5876,0.5729,0.4,10,21,11
404,0.5853,0.5706,0.5,10,21,11
406,0.5876,0.5582,0.4,10,21,11
408,0.5853,0.5706,0.5,10,21,11
410,0.5829,0.5659,0.3,10,21,11
412,0.5876,0.5729,0.3,10,21,11
414,0.5853,0.5829,0.4,10,21,11
416,0.5853,0.5559,0.3,10,21,11
418,0.5853,0.5559,0.3,10,21,11
420,0.5829,0.5365,0.4,10,21,11
422,0.5829,0.5512,0.3,10,21,11
424,0.5876,0.5729,0.4,10,21,11
426,0.5876,0.5729,0.3,10,21,11
428,0.5876,0.5876,0.4,10,21,11
430,0.5853,0.5388,0.3,10,21,11
432,0.5829,0.5829,0.8,10,21,11
