move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.03,40,40,40
2,0.0,0.0,0.15,40,40,40
4,0.0,0.0,0.12,40,40,40
6,0.0,0.0,0.12,40,40,40
8,0.0376,0.0376,0.15,39,40,39
10,0.0376,0.0376,0.1,39,40,39
12,0.0729,0.0729,0.13,38,40,38
14,0.1082,0.1082,0.11,37,40,37
16,0.12,0.12,0.17,36,40,36
18,0.12,0.12,0.17,36,40,36
20,0.1176,0.1176,0.29,34,38,34
22,0.1176,0.1324,0.12,34,38,34
24,0.0588,0.0588,0.27,33,37,34
26,0.0588,0.0588,0.18,33,37,34
28,0.0588,0.0588,0.18,33,37,34
30,0.0588,0.0588,0.18,33,37,34
32,0.0588,0.0882,0.15,33,37,34
34,0.0941,0.0941,0.06,32,37,33
36,0.0941,0.0941,0.06,32,37,33
38,0.1553,0.1553,0.13,31,37,32
40,0.1553,0.1553,0.13,31,37,32
42,0.2141,0.2141,0.17,30,37,31
44,0.1529,0.1529,0.21,29,36,31
46,0.1529,0.1529,0.24,29,36,31
48,0.1529,0.1529,0.03,29,36,31
50,0.1529,0.1529,0.17,29,36,31
52,0.1529,0.1529,0.28,29,36,31
54,0.1529,0.1529,0.28,29,36,31
56,0.1529,0.1529,0.14,29,36,31
58,0.1529,0.1529,0.1,29,36,31
60,0.1529,0.1529,0.17,29,36,31
62,0.1529,0.1529,0.07,29,36,31
64,0.1529,0.1529,0.1,29,36,31
66,0.1529,0.1529,0.1,29,36,31
68,0.1529,0.1529,0.24,29,36,31
70,0.1529,0.1676,0.21,29,36,31
72,0.1529,0.1529,0.21,29,36,31
74,0.1529,0.1676,0.07,29,36,31
76,0.1529,0.1529,0.1,29,36,31
78,0.1529,0.1529,0.17,29,36,31
80,0.2494,0.2494,0.07,28,36,30
82,0.2494,0.2494,0.25,28,36,30
84,0.2494,0.2494,0.14,28,36,30
86,0.2494,0.2641,0.11,28,36,30
88,0.3082,0.3082,0.21,28,36,29
90,0.3082,0.3229,0.21,28,36,29
92,0.3435,0.3435,0.3,27,36,28
94,0.3435,0.3435,0.26,27,36,28
96,0.3553,0.3553,0.31,26,36,27
98,0.3553,0.37,0.27,26,36,27
100,0.3671,0.3671,0.32,25,36,26
102,0.4024,0.4171,0.21,24,36,25
104,0.4047,0.4194,0.33,24,36,25
106,0.4047,0.4194,0.21,24,36,25
108,0.4047,0.4047,0.17,24,36,25
110,0.4635,0.4782,0.17,23,36,24
112,0.4635,0.4782,0.22,23,36,24
114,0.4635,0.4782,0.22,23,36,24
