move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.1,40,40,40
3,0.0353,0.05,0.1,39,40,39
5,0.0353,0.0353,0.15,39,40,39
7,0.0353,0.05,0.15,39,40,39
9,0.0353,0.0353,0.23,39,40,39
11,-0.0353,-0.0059,0.11,37,38,39
13,-0.0353,-0.0353,0.08,37,38,39
15,-0.0353,-0.0353,0.19,37,37,38
17,-0.0353,-0.0353,0.11,37,37,38
19,-0.0353,-0.0353,0.11,37,37,38
21,0.0,0.0147,0.11,37,37,37
23,0.0,0.0,0.3,37,37,37
25,0.0,0.0,0.22,37,37,37
27,-0.0353,-0.0353,0.08,36,36,37
29,-0.0353,-0.0206,0.11,36,36,37
31,-0.0353,-0.0206,0.17,36,36,37
33,-0.0471,-0.0324,0.14,35,35,37
35,-0.0118,0.0029,0.12,34,35,36
37,-0.0706,-0.0706,0.15,33,34,36
39,-0.0706,-0.0706,0.09,33,33,35
41,-0.0706,-0.0412,0.15,33,33,35
43,-0.0706,-0.0412,0.21,33,33,35
45,0.0235,0.0235,0.18,33,33,34
47,0.0212,0.0212,0.15,33,33,34
49,0.0212,0.0212,0.15,33,33,34
51,-0.0141,-0.0141,0.27,33,32,34
53,-0.0471,-0.0176,0.12,33,31,34
55,-0.0471,-0.0176,0.18,33,31,34
57,-0.0471,-0.0471,0.18,33,31,34
59,-0.0824,-0.0676,0.09,32,30,34
61,-0.0824,-0.0824,0.25,32,30,34
63,-0.0824,-0.0824,0.12,32,30,34
65,-0.0824,-0.0676,0.19,32,30,34
67,-0.0824,-0.0824,0.1,31,29,33
69,-0.0212,-0.0212,0.16,31,29,32
71,-0.0212,-0.0212,0.29,31,29,32
73,-0.0212,-0.0212,0.16,31,29,32
75,-0.0212,-0.0065,0.06,31,29,32
77,-0.0188,-0.0041,0.16,31,29,32
79,0.04,0.04,0.16,31,29,31
81,0.04,0.0694,0.16,31,29,31
83,0.04,0.04,0.06,31,29,31
85,0.0376,0.0671,0.16,31,29,31
87,0.0376,0.0376,0.16,31,29,31
89,0.0494,0.0494,0.07,30,29,30
91,0.0471,0.0471,0.21,29,28,29
93,0.0494,0.0494,0.21,29,28,29
95,0.0471,0.0765,0.14,29,28,29
97,0.0447,0.0447,0.17,29,28,29
99,0.0824,0.1118,0.14,28,28,28
101,0.0847,0.1141,0.14,28,28,28
103,0.0847,0.1141,0.21,28,28,28
105,0.0847,0.1141,0.18,28,28,28
107,0.0847,0.0847,0.21,28,28,28
109,0.0847,0.0847,0.18,28,28,28
111,0.0847,0.0847,0.25,28,28,28
113,0.0729,0.0876,0.19,27,27,28
115,0.0729,0.0729,0.22,27,27,28
117,0.0729,0.0729,0.19,27,27,28
119,0.0729,0.0729,0.26,27,27,28
121,0.0729,0.0876,0.15,27,27,28
123,0.0729,0.0729,0.11,27,27,28
125,0.0729,0.0729,0.07,27,27,28
127,0.0729,0.0876,0.15,27,27,28
129,0.0753,0.0753,0.19,27,27,28
131,0.0753,0.0753,0.19,27,27,28
133,0.0753,0.0753,0.15,27,27,28
135,0.0753,0.1047,0.3,27,27,28
137,0.1341,0.1635,0.22,27,27,27
139,0.1318,0.1318,0.07,27,27,27
141,0.1318,0.1318,0.19,27,27,27
143,0.1341,0.1488,0.22,27,27,27
145,0.1341,0.1341,0.3,27,27,27
147,0.1341,0.1341,0.15,27,27,27
149,0.1341,0.1488,0.26,27,27,27
151,0.1459,0.1606,0.12,26,27,26
153,0.1435,0.1435,0.16,25,26,25
155,0.1435,0.1435,0.12,25,26,25
157,0.1435,0.1876,0.08,25,26,25
159,0.1435,0.1435,0.24,25,26,25
161,0.1435,0.1435,0.2,25,26,25
163,0.1412,0.1853,0.08,25,26,25
165,0.1294,0.1735,0.21,24,25,25
167,0.1318,0.1465,0.21,24,25,25
169,0.1341,0.1341,0.08,24,24,24
