move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0118,0.0118,0.21,39,40,39
3,0.0118,0.0412,0.18,39,40,39
5,0.0118,0.0118,0.23,39,40,39
7,-0.0235,-0.0235,0.13,38,39,39
9,-0.0235,-0.0235,0.18,38,39,39
11,-0.0235,-0.0235,0.05,38,38,38
13,-0.0235,-0.0235,0.13,38,38,38
15,-0.0588,-0.0588,0.14,37,37,38
17,-0.0588,-0.0294,0.22,37,37,38
19,-0.0965,-0.0818,0.14,36,35,37
21,-0.0353,-0.0353,0.17,36,35,36
23,-0.0235,-0.0235,0.09,35,35,35
25,-0.0235,-0.0235,0.17,35,35,35
27,-0.0353,-0.0206,0.12,34,34,35
29,-0.0353,-0.0353,0.24,34,34,35
31,-0.0212,-0.0212,0.09,32,33,33
33,-0.0235,-0.0088,0.16,31,32,32
35,0.0353,0.0353,0.06,31,32,31
37,0.0353,0.0353,0.16,31,32,31
39,0.0353,0.0647,0.1,31,32,31
41,0.0353,0.0353,0.37,30,31,30
43,0.0353,0.0353,0.23,30,31,30
45,0.0353,0.0353,0.1,30,31,30
47,0.0353,0.0353,0.13,30,31,30
49,0.0729,0.0729,0.21,29,31,29
51,0.0847,0.0847,0.14,28,31,28
53,0.0824,0.0824,0.19,27,30,27
55,0.0824,0.1118,0.19,27,30,27
57,0.0824,0.0824,0.26,27,30,27
59,0.0824,0.0824,0.11,27,30,27
61,0.0824,0.0824,0.19,27,30,27
63,0.0824,0.0824,0.12,26,29,26
65,0.0824,0.0824,0.23,26,29,26
67,0.0824,0.0824,0.12,26,29,26
69,0.0824,0.0824,0.23,26,29,26
71,0.0824,0.0824,0.23,26,29,26
73,0.0824,0.0971,0.35,26,29,26
75,0.0824,0.0824,0.19,26,29,26
77,0.0824,0.0824,0.23,26,29,26
79,0.0706,0.0853,0.2,25,28,26
81,0.0706,0.0853,0.44,25,28,26
83,0.0706,0.1147,0.24,25,28,26
85,0.0729,0.0729,0.4,25,28,26
87,0.0706,0.0853,0.25,24,27,25
89,0.0706,0.0853,0.21,24,27,25
91,0.0706,0.1,0.21,24,27,25
93,0.0706,0.0706,0.25,24,27,25
95,0.0706,0.0853,0.17,24,27,25
97,0.0729,0.1024,0.29,24,27,25
99,0.0706,0.0706,0.42,24,27,25
