move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0118,0.0118,0.13,39,40,39
3,0.0118,0.0118,0.21,39,40,39
5,0.0118,0.0118,0.26,39,40,39
7,0.0118,0.0412,0.18,39,40,39
9,0.0494,0.0494,0.16,38,40,38
11,0.0612,0.0612,0.08,37,40,37
13,0.0612,0.0612,0.14,37,40,37
15,0.0,0.0,0.06,36,39,37
17,0.0,0.0,0.14,36,39,37
19,0.0,0.0,0.25,36,39,37
21,0.0353,0.0353,0.17,35,39,36
23,0.0353,0.0353,0.17,35,39,36
25,0.0353,0.0647,0.2,35,39,36
27,0.0941,0.0941,0.18,34,39,35
29,0.0941,0.0941,0.18,34,39,35
31,0.0941,0.0941,0.12,34,39,35
33,0.0965,0.0965,0.12,34,39,35
35,0.1318,0.1318,0.12,33,39,34
37,0.1318,0.1318,0.21,33,39,34
39,0.1318,0.1318,0.18,33,39,34
41,0.1671,0.1671,0.09,32,39,33
43,0.2024,0.2318,0.16,31,39,32
45,0.2,0.2,0.2,30,38,31
47,0.2,0.2,0.13,30,38,31
49,0.2024,0.2024,0.07,30,38,31
51,0.2259,0.2259,0.11,28,38,29
53,0.2376,0.2376,0.04,27,38,28
55,0.2729,0.3024,0.08,26,38,27
57,0.2118,0.2412,0.12,25,37,27
59,0.2118,0.2412,0.08,25,37,27
61,0.2235,0.2529,0.08,24,37,26
63,0.2235,0.2382,0.25,24,37,26
65,0.2235,0.2382,0.21,24,37,26
67,0.2235,0.2529,0.12,24,37,26
69,0.2382,0.2235,0.12,24,37,26
71,0.2382,0.2529,0.12,24,37,26
73,0.3729,0.3582,0.08,24,37,25
75,0.3706,0.3853,0.13,23,36,24
77,0.3706,0.3853,0.22,23,36,24
79,0.3706,0.3706,0.22,23,36,24
81,0.3706,0.3853,0.17,23,36,24
83,0.3559,0.3412,0.13,23,36,24
85,0.3535,0.3829,0.22,23,36,24
87,0.3676,0.3529,0.32,22,36,23
89,0.3847,0.3994,0.27,22,36,23
91,0.3847,0.37,0.41,22,36,23
93,0.37,0.37,0.27,22,36,23
95,0.37,0.3553,0.23,22,36,23
97,0.37,0.3847,0.27,22,36,23
99,0.3724,0.3576,0.14,22,36,23
101,0.3576,0.3724,0.27,22,36,23
103,0.3576,0.3724,0.14,22,36,23
105,0.37,0.3553,0.19,21,35,22
107,0.37,0.3553,0.24,21,35,22
109,0.37,0.37,0.19,21,35,22
111,0.3724,0.3576,0.14,21,35,22
113,0.3724,0.3871,0.24,21,35,22
115,0.3871,0.3871,0.24,21,35,22
117,0.3871,0.3871,0.24,21,35,22
119,0.3871,0.3871,0.19,21,35,22
121,0.3871,0.3576,0.19,21,35,22
123,0.3871,0.3576,0.19,21,35,22
125,0.3871,0.3871,0.29,21,35,22
127,0.3871,0.3871,0.19,21,35,22
