player1,player2,game_num,time_taken,moves,win_1,win_2,pieces_1,pieces_2
custom,asmodeus,0,313,496,0,1,3,14
custom,asmodeus,1,237,407,1,0,30,23
custom,asmodeus,2,240,305,1,0,15,8
custom,asmodeus,3,263,300,0,1,17,13
custom,asmodeus,4,703,1001,0,0,9,13
custom,asmodeus,5,351,501,40,40,0,0
custom,hunter,0,487,1001,0,0,6,27
custom,hunter,1,364,566,0,1,6,27
custom,hunter,2,273,462,0,1,7,16
custom,hunter,3,285,388,0,1,7,24
custom,hunter,4,469,1001,0,0,8,26
custom,hunter,5,375,683,0,60,0,0
custom,rnad,0,432,519,1,0,25,7
custom,rnad,1,310,335,1,0,25,7
custom,rnad,2,716,809,1,0,21,13
custom,rnad,3,327,417,1,0,24,6
custom,rnad,4,759,761,1,0,21,12
custom,rnad,5,508,568,100,0,0,0
custom,mcts,0,674,379,1,0,11,6
custom,mcts,1,1229,533,1,0,18,5
custom,mcts,2,836,433,1,0,21,10
custom,mcts,3,519,256,0,1,15,18
custom,mcts,4,845,453,1,0,19,5
custom,mcts,5,820,410,80,20,0,0
asmodeus,custom,0,244,301,1,0,16,13
asmodeus,custom,1,259,387,1,0,10,6
asmodeus,custom,2,90,142,0,1,22,29
asmodeus,custom,3,309,410,0,1,6,14
asmodeus,custom,4,274,440,0,1,5,4
asmodeus,custom,5,235,336,40,60,0,0
asmodeus,hunter,0,27,1001,0,0,18,22
asmodeus,hunter,1,6,333,1,0,9,17
asmodeus,hunter,2,24,1001,0,0,27,25
asmodeus,hunter,3,13,348,0,1,7,18
asmodeus,hunter,4,7,263,1,0,12,24
asmodeus,hunter,5,15,589,40,20,0,0
asmodeus,rnad,0,7,323,1,0,22,4
asmodeus,rnad,1,6,331,1,0,18,4
asmodeus,rnad,2,4,257,1,0,23,7
asmodeus,rnad,3,5,371,1,0,20,4
asmodeus,rnad,4,5,301,1,0,22,5
asmodeus,rnad,5,5,316,100,0,0,0
asmodeus,mcts,0,309,310,0,1,9,14
asmodeus,mcts,1,292,329,1,0,11,7
asmodeus,mcts,2,223,209,1,0,21,10
asmodeus,mcts,3,277,275,1,0,16,11
asmodeus,mcts,4,339,350,0,1,8,12
asmodeus,mcts,5,288,294,60,40,0,0
hunter,custom,0,426,536,0,1,6,12
hunter,custom,1,277,372,0,1,17,17
hunter,custom,2,358,514,0,1,6,8
hunter,custom,3,292,433,1,0,17,7
hunter,custom,4,239,411,1,0,27,7
hunter,custom,5,318,453,40,60,0,0
hunter,asmodeus,0,15,356,0,1,9,15
hunter,asmodeus,1,7,405,1,0,14,8
hunter,asmodeus,2,2,210,0,1,20,26
hunter,asmodeus,3,7,405,1,0,14,8
hunter,asmodeus,4,5,242,0,1,21,19
hunter,asmodeus,5,7,323,40,60,0,0
hunter,rnad,0,9,486,0,1,26,9
hunter,rnad,1,8,469,1,0,28,5
hunter,rnad,2,4,255,1,0,31,7
hunter,rnad,3,2,183,1,0,32,9
hunter,rnad,4,8,485,1,0,30,7
hunter,rnad,5,6,375,80,20,0,0
hunter,mcts,0,221,206,0,1,24,22
hunter,mcts,1,264,259,1,0,26,7
hunter,mcts,2,367,423,1,0,18,7
hunter,mcts,3,378,381,1,0,28,7
hunter,mcts,4,288,283,1,0,20,7
hunter,mcts,5,303,310,80,20,0,0
rnad,custom,0,767,896,0,1,9,17
rnad,custom,1,196,242,0,1,7,30
rnad,custom,2,401,496,0,1,11,25
rnad,custom,3,288,372,0,1,6,26
rnad,custom,4,502,634,0,1,6,19
rnad,custom,5,431,528,0,100,0,0
rnad,asmodeus,0,6,280,0,1,6,18
rnad,asmodeus,1,3,266,0,1,8,21
rnad,asmodeus,2,10,754,0,1,5,21
rnad,asmodeus,3,4,322,0,1,11,21
rnad,asmodeus,4,3,252,0,1,16,21
rnad,asmodeus,5,5,374,0,100,0,0
rnad,hunter,0,10,664,0,1,7,31
rnad,hunter,1,3,178,0,1,7,34
rnad,hunter,2,13,664,0,1,4,26
rnad,hunter,3,6,378,0,1,8,29
rnad,hunter,4,3,188,0,1,6,35
rnad,hunter,5,6,414,0,100,0,0
rnad,mcts,0,90,76,0,1,26,35
rnad,mcts,1,98,86,0,1,23,33
rnad,mcts,2,429,408,0,1,10,25
rnad,mcts,3,274,270,0,1,6,24
rnad,mcts,4,705,752,0,1,7,16
rnad,mcts,5,319,318,0,100,0,0
mcts,custom,0,629,360,0,1,6,18
mcts,custom,1,781,416,0,1,8,16
mcts,custom,2,482,257,1,0,22,24
mcts,custom,3,1276,794,0,1,2,11
mcts,custom,4,748,437,1,0,11,8
mcts,custom,5,783,452,40,60,0,0
mcts,asmodeus,0,193,177,1,0,22,17
mcts,asmodeus,1,247,251,1,0,18,7
mcts,asmodeus,2,254,240,0,1,20,20
mcts,asmodeus,3,111,97,1,0,30,21
mcts,asmodeus,4,121,105,1,0,28,20
mcts,asmodeus,5,185,174,80,20,0,0
mcts,hunter,0,321,316,0,1,7,24
mcts,hunter,1,251,258,0,1,7,25
mcts,hunter,2,283,278,0,1,7,23
mcts,hunter,3,263,250,0,1,7,30
mcts,hunter,4,934,1001,0,0,9,20
mcts,hunter,5,410,420,0,80,0,0
mcts,rnad,0,765,1001,0,0,16,10
mcts,rnad,1,308,343,1,0,25,11
mcts,rnad,2,442,539,1,0,23,6
mcts,rnad,3,130,137,1,0,33,19
mcts,rnad,4,100,103,1,0,33,22
mcts,rnad,5,348,424,80,0,0,0
