move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.12,40,40,40
3,0.0,0.0,0.12,40,40,40
5,0.0109,0.0109,0.13,39,40,39
7,-0.0109,0.0027,0.08,37,39,38
9,-0.0109,0.0027,0.14,37,39,38
11,-0.0109,-0.0109,0.11,37,39,38
13,-0.0109,-0.0109,0.11,37,39,38
15,-0.0435,-0.0435,0.11,36,38,38
17,-0.0435,-0.0435,0.11,36,38,38
19,-0.0435,-0.0435,0.11,36,38,38
21,-0.0435,-0.0435,0.11,36,38,38
23,-0.0435,-0.0299,0.06,36,38,38
25,-0.0565,-0.0565,0.06,36,37,38
27,-0.0217,-0.0082,0.06,36,37,37
29,-0.0217,-0.0217,0.14,36,37,37
31,-0.0217,-0.0217,0.11,36,37,37
33,-0.0326,-0.019,0.14,35,36,37
35,-0.0326,-0.019,0.14,35,36,37
37,-0.0891,-0.0755,0.17,35,35,37
39,-0.1,-0.1,0.12,34,34,37
41,-0.0457,-0.0457,0.15,34,34,36
43,-0.0435,-0.0435,0.29,34,33,35
45,-0.0435,-0.0299,0.03,34,33,35
47,-0.0435,-0.0435,0.15,34,33,35
49,-0.0304,-0.0304,0.15,33,33,34
51,-0.0326,-0.0326,0.06,32,32,33
53,-0.0326,-0.0326,0.06,32,32,33
55,-0.0326,-0.0326,0.06,32,32,33
57,0.013,0.013,0.1,30,32,31
59,0.0109,0.0245,0.07,30,32,31
61,-0.0978,-0.0978,0.14,29,31,31
63,-0.0978,-0.0978,0.24,29,31,31
65,-0.0978,-0.0978,0.1,29,31,31
67,-0.0652,-0.0516,0.14,28,31,30
69,-0.0652,-0.0516,0.07,28,31,30
71,-0.0652,-0.0652,0.04,28,31,30
73,-0.0652,-0.0652,0.07,28,31,30
75,-0.1196,-0.1196,0.19,27,30,30
77,-0.1196,-0.1196,0.07,27,30,30
79,-0.1196,-0.1196,0.04,27,30,30
81,-0.1196,-0.1196,0.15,27,30,30
83,-0.1196,-0.106,0.19,27,30,30
85,-0.0109,-0.0109,0.3,27,30,29
87,-0.0109,-0.0109,0.11,27,30,29
89,-0.0087,-0.0087,0.04,27,30,29
91,0.0022,0.0158,0.12,26,30,28
93,-0.1087,-0.0951,0.08,25,29,28
95,-0.1087,-0.0951,0.12,25,29,28
97,-0.1087,-0.0951,0.12,25,29,28
99,-0.1109,-0.1109,0.28,25,29,28
101,-0.1217,-0.1217,0.16,25,28,28
103,-0.1217,-0.1217,0.2,25,28,28
105,-0.1217,-0.1217,0.16,25,28,28
107,-0.1217,-0.1217,0.16,25,28,28
109,-0.1522,-0.1522,0.08,25,27,28
111,-0.1522,-0.1386,0.32,25,27,28
113,-0.1522,-0.1386,0.16,25,27,28
115,-0.1522,-0.1386,0.16,25,27,28
117,-0.1522,-0.1522,0.16,25,27,28
119,-0.1522,-0.1386,0.24,25,27,28
121,-0.1522,-0.1386,0.08,25,27,28
123,-0.1522,-0.1386,0.24,25,27,28
125,-0.1413,-0.1413,0.12,24,27,27
127,-0.1413,-0.1413,0.12,24,27,27
129,-0.1413,-0.1277,0.25,24,27,27
131,-0.1522,-0.1386,0.09,23,26,27
133,-0.1848,-0.1848,0.27,22,25,27
135,-0.1848,-0.1848,0.18,22,25,27
137,-0.1304,-0.1168,0.18,22,25,26
139,-0.1304,-0.1168,0.09,22,25,26
141,-0.1304,-0.1304,0.05,22,25,26
143,-0.1304,-0.1168,0.18,22,25,26
145,-0.1304,-0.1168,0.09,22,25,26
147,-0.1304,-0.1304,0.23,22,25,26
149,-0.1304,-0.1168,0.23,22,25,26
151,-0.1326,-0.1326,0.27,22,25,26
153,-0.2304,-0.2168,0.24,21,23,26
155,-0.1196,-0.1196,0.38,21,23,25
157,-0.1196,-0.106,0.1,21,23,25
159,-0.1174,-0.0766,0.24,21,23,25
161,-0.1174,-0.0766,0.14,21,23,25
163,-0.1217,-0.106,0.24,21,23,25
165,-0.1217,-0.1196,0.14,21,23,25
167,-0.087,-0.087,0.15,20,23,24
169,-0.0761,-0.0353,0.1,20,23,23
171,-0.087,-0.0734,0.21,19,21,22
173,-0.087,-0.087,0.16,19,21,22
175,-0.087,-0.087,0.32,19,21,22
177,-0.087,-0.0734,0.16,19,21,22
179,-0.087,-0.0734,0.11,19,21,22
181,-0.087,-0.0598,0.16,19,21,22
183,-0.0848,-0.0712,0.16,19,21,22
185,-0.0739,-0.0739,0.06,18,21,21
187,-0.0739,-0.0739,0.11,18,21,21
189,-0.0739,-0.0603,0.11,18,21,21
191,-0.0761,-0.0761,0.11,18,21,21
193,-0.1326,-0.1076,0.12,17,20,21
195,-0.1435,-0.1435,0.19,16,19,21
197,-0.1761,-0.1761,0.25,16,18,21
199,-0.1196,-0.0924,0.19,16,18,20
201,-0.1196,-0.106,0.06,16,18,20
203,-0.1196,-0.0924,0.06,16,18,20
205,-0.1196,-0.0924,0.19,16,18,20
207,-0.1196,-0.0924,0.25,16,18,20
209,-0.087,-0.0598,0.13,15,18,19
211,-0.087,-0.087,0.13,15,18,19
213,-0.087,-0.0598,0.27,15,18,19
215,-0.0652,-0.038,0.21,14,17,18
217,-0.0652,-0.038,0.07,14,17,18
219,-0.0652,-0.0516,0.14,14,17,18
221,-0.0304,-0.0304,0.29,14,17,17
223,-0.0522,-0.0522,0.38,13,16,16
225,-0.0522,-0.0522,0.23,13,16,16
227,-0.0277,-0.0413,0.25,12,16,15
229,-0.019,-0.019,0.18,11,16,14
231,-0.019,-0.019,0.18,11,16,14
233,-0.019,-0.019,0.27,11,16,14
235,-0.019,-0.019,0.27,11,16,14
237,-0.0299,-0.0163,0.18,11,15,14
239,-0.0299,-0.0027,0.18,11,15,14
241,0.0266,0.0266,0.45,11,15,13
243,0.0266,0.0266,0.18,11,15,13
245,0.0266,0.0266,0.27,11,15,13
247,0.0266,0.0266,0.27,11,15,13
249,0.0266,0.0538,0.36,11,15,13
251,0.0266,0.0266,0.36,11,15,13
253,0.0266,0.013,0.45,11,15,13
255,0.0223,0.0245,0.27,11,15,13
257,0.0223,0.0495,0.27,11,15,13
259,0.0201,0.0223,0.36,11,15,13
261,0.0201,0.0359,0.18,11,15,13
263,0.0201,0.0087,0.18,11,15,13
265,0.0201,0.0495,0.36,11,15,13
267,0.0201,0.0495,0.18,11,15,13
269,0.0201,0.0337,0.36,11,15,13
271,0.0201,0.0065,0.36,11,15,13
273,0.0201,0.0201,0.45,11,15,13
275,0.1092,0.0957,0.36,11,15,12
277,0.1092,0.0957,0.27,11,15,12
279,0.1092,0.1228,0.18,11,15,12
281,0.1092,0.125,0.36,11,15,12
283,0.1092,0.1386,0.09,11,15,12
285,0.0549,0.0685,0.2,10,14,12
287,0.0549,0.0685,0.3,10,14,12
289,0.0549,0.0549,0.3,10,14,12
291,0.0592,0.0728,0.3,10,13,11
293,0.0592,0.0592,0.5,10,13,11
295,0.0918,0.0918,0.44,9,13,10
297,0.0918,0.1054,0.11,9,13,10
299,0.0918,0.1054,0.11,9,13,10
301,0.0918,0.119,0.33,9,13,10
303,0.0875,0.1033,0.11,9,13,10
305,0.0875,0.1168,0.11,9,13,10
307,0.0875,0.1168,0.33,9,13,10
309,0.0875,0.1033,0.22,9,13,10
311,0.0875,0.1168,0.22,9,13,10
313,0.0875,0.0761,0.22,9,13,10
315,0.0875,0.1147,0.33,9,13,10
317,0.0875,0.1168,0.22,9,13,10
319,0.0875,0.1147,0.56,9,13,10
321,0.0875,0.1168,0.33,9,13,10
323,0.0875,0.1168,0.11,9,13,10
325,0.0875,0.0897,0.33,9,13,10
327,0.0875,0.1147,0.56,9,13,10
329,0.0875,0.0875,0.56,9,13,10
331,0.0875,0.1033,0.33,9,13,10
333,0.0875,0.0739,0.56,9,13,10
335,0.0897,0.119,0.33,9,13,10
337,0.0897,0.1054,0.33,9,13,10
339,0.0897,0.119,0.11,9,13,10
341,0.0897,0.1168,0.33,9,13,10
343,0.0897,0.119,0.44,9,13,10
345,0.1266,0.1266,0.38,8,13,9
347,0.1266,0.1538,0.38,8,13,9
349,0.1266,0.1402,0.38,8,13,9
351,0.1266,0.1402,0.38,8,13,9
353,0.181,0.181,0.57,7,13,8
355,0.181,0.2082,0.71,7,13,8
357,0.181,0.2082,0.29,7,13,8
359,0.1788,0.206,0.67,6,12,7
361,0.1788,0.206,0.67,6,12,7
363,0.1788,0.206,0.67,6,12,7
365,0.1788,0.206,0.67,6,12,7
367,0.1788,0.206,0.67,6,12,7
369,0.1766,0.1766,1.0,5,11,6
