move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.17,40,40,40
2,0.0,0.0,0.2,40,40,40
4,0.0,0.0,0.07,40,40,40
6,0.0109,0.0109,0.1,39,40,39
8,-0.0217,-0.0217,0.18,38,39,39
10,-0.0217,-0.0217,0.08,38,38,38
12,-0.0217,-0.0217,0.08,38,38,38
14,-0.0326,-0.0326,0.24,37,37,38
16,0.0,0.0,0.0,36,37,37
18,0.0,0.0,0.11,36,37,37
20,0.0,0.0,0.14,36,37,37
22,-0.0326,-0.0326,0.14,35,36,37
24,-0.0326,-0.0326,0.23,35,36,37
26,0.0022,0.0022,0.2,35,36,36
28,-0.0435,-0.0435,0.18,33,35,35
30,-0.0783,-0.0783,0.12,32,34,35
32,-0.0435,-0.0435,0.12,32,34,34
34,-0.0435,-0.0435,0.09,32,34,34
36,-0.0435,-0.0435,0.22,32,34,34
38,-0.0109,-0.0109,0.1,31,34,33
40,-0.0109,-0.0109,0.1,31,34,33
42,-0.0087,-0.0087,0.06,31,34,33
44,-0.0087,-0.0087,0.19,31,34,33
46,-0.0109,-0.0109,0.06,31,34,33
48,-0.0109,-0.0109,0.0,31,34,33
50,-0.0109,-0.0109,0.13,31,34,33
52,-0.0109,-0.0109,0.23,31,34,33
54,-0.0109,-0.0109,0.03,31,34,33
56,-0.0109,-0.0109,0.03,31,34,33
58,-0.0435,-0.0435,0.1,31,33,33
60,-0.0543,-0.0543,0.1,31,32,33
62,-0.0522,-0.0522,0.03,31,31,32
64,-0.0522,-0.0386,0.13,31,31,32
66,-0.0413,-0.0413,0.17,30,31,31
68,-0.0413,-0.0413,0.23,30,31,31
70,-0.0413,-0.0413,0.1,30,31,31
72,-0.0435,-0.0435,0.03,30,31,31
74,-0.0413,-0.0413,0.0,29,30,30
76,-0.0413,-0.0413,0.1,29,30,30
78,-0.0087,-0.0087,0.11,28,30,29
80,-0.0087,-0.0087,0.18,28,30,29
82,-0.0087,-0.0087,0.07,28,30,29
84,-0.0087,-0.0087,0.14,28,30,29
86,-0.0109,-0.0109,0.07,28,30,29
88,-0.013,-0.013,0.11,28,30,29
90,0.0,0.0,0.11,27,30,28
92,0.0,0.0,0.22,27,30,28
94,-0.0109,-0.0109,0.19,26,29,28
96,-0.0109,-0.0109,0.27,26,29,28
98,0.0217,0.0217,0.08,25,29,27
100,0.0196,0.0196,0.16,25,29,27
102,0.0196,0.0196,0.2,25,29,27
104,0.0196,0.0196,0.24,25,29,27
106,-0.0674,-0.0674,0.12,25,28,27
108,0.0435,0.0435,0.16,25,28,26
110,0.0435,0.0435,0.08,25,28,26
112,0.0435,0.0435,0.2,25,28,26
114,0.0413,0.0413,0.12,25,28,26
116,0.0413,0.0413,0.08,25,28,26
118,0.0304,0.044,0.2,25,27,26
120,-0.0022,-0.0022,0.08,25,26,26
122,0.087,0.087,0.12,25,26,25
124,0.087,0.087,0.2,25,26,25
126,0.087,0.087,0.12,25,26,25
128,0.087,0.087,0.2,25,26,25
130,0.087,0.1005,0.12,25,26,25
132,0.087,0.087,0.16,25,26,25
134,0.0826,0.0848,0.16,25,26,25
136,0.0826,0.0848,0.16,25,26,25
138,0.0826,0.0848,0.12,25,26,25
140,0.0717,0.0717,0.08,24,25,25
142,0.0174,0.0174,0.08,24,24,25
144,0.0217,0.0217,0.12,24,23,24
146,0.0217,0.0217,0.17,24,23,24
148,0.0217,0.0217,0.12,24,23,24
150,0.0217,0.0217,0.17,24,23,24
152,0.0326,0.0326,0.09,23,23,23
154,0.0462,0.0326,0.17,23,23,23
156,0.0484,0.0348,0.13,23,23,23
158,0.0484,0.0348,0.0,23,23,23
160,0.0484,0.0348,0.13,23,23,23
162,0.0484,0.062,0.09,23,23,23
164,-0.0082,-0.0217,0.14,22,22,23
166,-0.0082,-0.0217,0.09,22,22,23
168,-0.0082,-0.0082,0.14,22,22,23
170,-0.006,-0.0196,0.09,22,21,22
172,-0.006,-0.0196,0.23,22,21,22
174,-0.006,-0.006,0.27,22,21,22
176,-0.006,-0.006,0.27,22,21,22
178,-0.006,0.0076,0.18,22,21,22
180,-0.0082,-0.0217,0.05,22,21,22
182,-0.0082,-0.0217,0.18,22,21,22
184,0.0049,-0.0087,0.05,21,21,21
186,0.0049,-0.0087,0.24,21,21,21
188,0.0049,-0.0087,0.1,21,21,21
190,0.0049,-0.0087,0.19,21,21,21
192,0.0049,0.0049,0.14,21,21,21
194,0.0049,0.0049,0.24,21,21,21
196,0.0005,-0.0109,0.1,21,21,21
198,0.0005,0.0005,0.14,21,21,21
200,-0.0538,-0.0674,0.05,20,20,21
202,-0.0647,-0.0647,0.16,19,19,21
204,-0.0321,-0.0457,0.11,18,19,20
206,-0.0163,-0.0163,0.17,18,19,20
208,-0.0185,-0.0457,0.12,17,18,19
210,-0.0185,-0.0185,0.12,17,18,19
212,-0.0185,-0.0457,0.18,17,18,19
214,-0.1076,-0.1076,0.31,16,17,19
216,-0.1424,-0.1696,0.2,15,16,19
218,-0.156,-0.1832,0.13,15,16,19
220,-0.1424,-0.1696,0.07,15,16,19
222,-0.1424,-0.1696,0.07,15,16,19
224,-0.0859,-0.113,0.13,15,16,18
226,-0.1402,-0.1402,0.33,15,15,18
228,-0.1538,-0.181,0.13,15,15,18
230,-0.1538,-0.181,0.27,15,15,18
232,-0.1495,-0.163,0.07,15,14,17
234,-0.1495,-0.163,0.2,15,14,17
236,-0.1516,-0.1674,0.27,15,14,17
238,-0.1842,-0.2114,0.36,14,13,17
240,-0.2168,-0.244,0.14,14,12,17
242,-0.1603,-0.1875,0.14,14,12,16
244,-0.1473,-0.1473,0.15,13,12,15
246,-0.1473,-0.1745,0.08,13,12,15
248,-0.1473,-0.1745,0.08,13,12,15
250,-0.1603,-0.1467,0.25,12,11,15
252,-0.1603,-0.1875,0.17,12,11,15
254,-0.1603,-0.1875,0.08,12,11,15
256,-0.1603,-0.1603,0.25,12,11,15
258,-0.1603,-0.1739,0.08,12,11,15
260,-0.1603,-0.1875,0.17,12,11,15
262,-0.1016,-0.1016,0.25,12,11,14
264,-0.1016,-0.1288,0.08,12,11,14
266,-0.0473,-0.0609,0.25,12,11,13
268,-0.0473,-0.0473,0.25,12,11,13
270,-0.0473,-0.0609,0.17,12,11,13
272,-0.0473,-0.0745,0.17,12,11,13
274,-0.0473,-0.0609,0.33,12,11,13
276,-0.0473,-0.0745,0.17,12,11,13
278,-0.0473,-0.0609,0.25,12,11,13
280,-0.0473,-0.0609,0.25,12,11,13
282,-0.0842,-0.0978,0.09,11,10,13
284,-0.0842,-0.0978,0.0,11,10,13
286,-0.0842,-0.0978,0.45,11,10,13
288,-0.0978,-0.125,0.18,11,10,13
290,-0.0978,-0.1114,0.18,11,10,13
292,-0.0978,-0.0978,0.27,11,10,13
294,-0.0978,-0.1114,0.45,11,10,13
296,-0.1,-0.1272,0.18,11,10,13
298,-0.1,-0.1136,0.09,11,10,13
300,-0.1,-0.1136,0.27,11,10,13
302,-0.1,-0.1272,0.18,11,10,13
304,-0.1,-0.1,0.27,11,10,13
306,-0.1,-0.1272,0.09,11,10,13
308,-0.1,-0.1136,0.18,11,10,13
310,-0.1,-0.1272,0.09,11,10,13
312,-0.1,-0.1136,0.27,11,10,13
314,-0.1,-0.1,0.27,11,10,13
316,-0.1,-0.1136,0.27,11,10,13
318,-0.1,-0.1272,0.18,11,10,13
320,-0.1,-0.1136,0.27,11,10,13
322,-0.1,-0.1136,0.09,11,10,13
324,-0.1,-0.1136,0.18,11,10,13
326,-0.1,-0.1272,0.18,11,10,13
328,-0.1,-0.1136,0.18,11,10,13
330,-0.1,-0.1136,0.18,11,10,13
332,-0.1,-0.1136,0.45,11,10,13
334,-0.1,-0.1272,0.18,11,10,13
336,-0.1,-0.1272,0.18,11,10,13
338,-0.1,-0.1272,0.09,11,10,13
340,-0.0109,-0.038,0.36,11,10,12
342,-0.0109,-0.0245,0.36,11,10,12
344,-0.0109,-0.0245,0.09,11,10,12
346,0.0,0.0,0.4,10,10,11
348,0.0,-0.0136,0.2,10,10,11
350,0.0022,-0.0114,0.2,10,10,11
352,0.0022,0.0022,0.2,10,10,11
354,0.0022,-0.025,0.3,10,10,11
356,0.0022,0.0022,0.2,10,10,11
358,0.0022,-0.0136,0.1,10,10,11
360,0.0022,-0.0136,0.1,10,10,11
362,0.0022,-0.0136,0.0,10,10,11
364,0.0022,-0.0136,0.2,10,10,11
366,-0.0522,-0.0793,0.33,9,9,11
368,-0.0636,-0.0908,0.33,9,8,10
370,-0.0636,-0.0908,0.22,9,8,10
372,-0.0636,-0.0772,0.11,9,8,10
374,-0.0636,-0.0772,0.11,9,8,10
376,-0.0636,-0.0636,0.33,9,8,10
378,-0.0772,-0.0772,0.11,9,8,10
380,-0.0174,-0.0446,0.5,8,8,9
382,0.037,0.0098,0.43,7,8,8
384,0.037,0.037,0.71,7,8,8
386,0.037,0.0234,0.14,7,8,8
388,0.037,0.0098,0.29,7,8,8
390,0.0348,-0.006,0.57,7,8,8
392,0.0348,0.0348,0.43,7,8,8
394,0.0348,0.0348,0.43,7,8,8
396,0.037,0.0234,0.43,7,7,7
398,0.037,0.037,1.0,7,7,7
400,0.037,0.037,0.43,7,7,7
402,0.037,0.0234,0.43,7,7,7
404,0.037,0.0234,0.43,7,7,7
406,0.0326,0.019,0.43,7,7,7
