move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.17,40,40,40
2,0.0,0.0,0.15,40,40,40
4,0.0326,0.0326,0.1,39,40,39
6,-0.0217,-0.0217,0.21,38,39,39
8,0.0109,0.0109,0.24,37,39,38
10,0.0109,0.0109,0.08,37,39,38
12,0.0,0.0,0.17,36,38,38
14,0.0,0.0,0.08,36,38,38
16,-0.0022,-0.0022,0.17,36,38,38
18,-0.0022,-0.0022,0.03,36,38,38
20,-0.0348,-0.0348,0.22,36,37,38
22,0.0761,0.0761,0.14,36,37,37
24,0.0761,0.0761,0.14,36,37,37
26,0.0761,0.0761,0.08,36,37,37
28,0.0217,0.0217,0.29,35,36,37
30,0.0217,0.0217,0.23,35,36,37
32,0.0196,0.0196,0.17,35,36,37
34,0.0087,0.0223,0.24,34,35,37
36,-0.0022,-0.0022,0.26,34,34,37
38,0.0326,0.0326,0.24,34,34,36
40,0.0304,0.0304,0.18,34,34,36
42,0.0304,0.0304,0.12,34,34,36
44,0.0304,0.0304,0.18,34,34,36
46,0.0304,0.0304,0.21,34,34,36
48,0.0304,0.0304,0.21,34,34,36
50,0.0304,0.0304,0.09,34,34,36
52,0.0304,0.0304,0.24,34,34,36
54,0.0304,0.0304,0.18,34,34,36
56,0.0304,0.0304,0.15,34,34,36
58,0.0304,0.0304,0.12,34,34,36
60,0.0304,0.0304,0.12,34,34,36
62,0.0304,0.0304,0.21,34,34,36
64,0.0304,0.0304,0.15,34,34,36
66,0.0304,0.0304,0.21,34,34,36
68,0.0304,0.0304,0.18,34,34,36
70,0.0304,0.0304,0.21,34,34,36
72,-0.0239,-0.0239,0.03,33,33,36
74,0.0087,0.0087,0.12,33,33,35
76,0.0087,0.0223,0.15,33,33,35
78,0.0087,0.0223,0.3,33,33,35
80,0.0087,0.0087,0.18,33,33,35
82,0.0087,0.0087,0.18,33,33,35
84,-0.0457,-0.0457,0.19,32,32,35
86,-0.0457,-0.0457,0.09,32,32,35
88,-0.0457,-0.0457,0.19,32,32,35
90,-0.0457,-0.0457,0.16,32,32,35
92,-0.0565,-0.0565,0.28,32,31,35
94,-0.0565,-0.0565,0.16,32,31,35
96,-0.0565,-0.0565,0.12,32,31,35
98,-0.0565,-0.0565,0.09,32,31,35
100,-0.0565,-0.0565,0.22,32,31,35
102,-0.0565,-0.0565,0.09,32,31,35
104,-0.0565,-0.0565,0.19,32,31,35
106,-0.0565,-0.0565,0.22,32,31,35
108,-0.0565,-0.0565,0.12,32,31,35
110,-0.0565,-0.0565,0.19,32,31,35
112,-0.0565,-0.0565,0.22,32,31,35
114,-0.0565,-0.0565,0.22,32,31,35
116,-0.0565,-0.0565,0.06,32,31,35
118,-0.0565,-0.0565,0.12,32,31,35
120,-0.0565,-0.0565,0.19,32,31,35
122,-0.0565,-0.0565,0.19,32,31,35
124,-0.0565,-0.0565,0.16,32,31,35
126,-0.0565,-0.0565,0.31,32,31,35
128,-0.0565,-0.0565,0.12,32,31,35
130,-0.0565,-0.0565,0.22,32,31,35
132,-0.0565,-0.0565,0.12,32,31,35
134,-0.0565,-0.0565,0.12,32,31,35
136,-0.0565,-0.0565,0.25,32,31,35
138,-0.0565,-0.0565,0.12,32,31,35
140,-0.0565,-0.0565,0.16,32,31,35
142,-0.0587,-0.0587,0.19,32,31,35
144,-0.0587,-0.0587,0.06,32,31,35
146,-0.0587,-0.0587,0.06,32,31,35
148,-0.1457,-0.1457,0.22,32,30,35
150,-0.1457,-0.1457,0.19,32,30,35
152,-0.1457,-0.1457,0.22,32,30,35
154,-0.0348,-0.0348,0.19,32,30,34
156,-0.0348,-0.0348,0.25,32,30,34
158,-0.0457,-0.0457,0.23,31,29,34
160,-0.0457,-0.0457,0.26,31,29,34
162,-0.0457,-0.0457,0.13,31,28,33
164,-0.0457,-0.0457,0.16,31,28,33
166,-0.0457,-0.0457,0.19,31,28,33
168,-0.0457,-0.0457,0.19,31,28,33
170,-0.0543,-0.0543,0.23,31,27,33
172,-0.0679,-0.0679,0.13,31,27,33
174,-0.0788,-0.0652,0.23,30,26,33
176,-0.0788,-0.0788,0.27,30,26,33
178,-0.0788,-0.0788,0.23,30,26,33
180,-0.0788,-0.0788,0.1,30,26,33
182,-0.0766,-0.0766,0.13,30,26,33
184,-0.0766,-0.0766,0.2,30,26,33
186,-0.0766,-0.0766,0.27,30,26,33
188,-0.0766,-0.0766,0.17,30,26,33
190,-0.0223,-0.0223,0.14,29,26,32
192,-0.0223,-0.0223,0.17,29,26,32
194,-0.0223,-0.0223,0.14,29,26,32
196,0.0321,0.0321,0.17,29,26,31
198,0.0321,0.0321,0.14,29,26,31
200,0.0321,0.0321,0.1,29,26,31
202,0.0321,0.0321,0.1,29,26,31
204,0.0408,0.0408,0.11,28,26,30
206,0.0082,0.0082,0.14,28,25,30
208,0.0951,0.0951,0.14,28,25,29
210,0.0973,0.0973,0.18,28,25,29
212,0.0973,0.0973,0.21,28,25,29
214,0.0973,0.0973,0.21,28,25,29
216,0.1082,0.1082,0.19,27,25,28
218,0.1082,0.1217,0.19,27,25,28
220,0.1082,0.1082,0.19,27,25,28
222,0.1082,0.1082,0.15,27,25,28
224,0.1783,0.1647,0.19,26,25,27
226,0.1783,0.1647,0.27,26,25,27
228,0.1783,0.1647,0.19,26,25,27
230,0.1783,0.1783,0.27,26,25,27
232,0.1783,0.1647,0.12,26,25,27
234,0.2109,0.1973,0.2,25,25,26
236,0.2109,0.1973,0.16,25,25,26
238,0.2217,0.2217,0.17,24,25,25
240,0.2217,0.2082,0.17,24,25,25
242,0.2082,0.2082,0.21,24,25,25
244,0.2082,0.2217,0.25,24,25,25
246,0.2082,0.2082,0.21,24,25,25
248,0.2625,0.2761,0.26,23,25,24
250,0.2761,0.2625,0.13,23,25,24
252,0.2761,0.2625,0.13,23,25,24
254,0.2761,0.2625,0.22,23,25,24
256,0.287,0.287,0.09,22,25,23
258,0.287,0.287,0.09,22,25,23
260,0.287,0.287,0.32,22,25,23
262,0.287,0.287,0.14,22,25,23
264,0.287,0.2734,0.18,22,25,23
266,0.2734,0.2734,0.23,22,25,23
268,0.2842,0.2842,0.29,21,25,22
270,0.3386,0.3522,0.25,20,25,21
272,0.3386,0.3522,0.35,20,25,21
274,0.3386,0.3522,0.3,20,25,21
276,0.3386,0.3386,0.35,20,25,21
278,0.3386,0.3386,0.25,20,25,21
280,0.3364,0.3364,0.2,20,25,21
282,0.3364,0.35,0.2,20,25,21
284,0.3364,0.3364,0.2,20,25,21
286,0.3364,0.3364,0.25,20,25,21
288,0.3364,0.3364,0.1,20,25,21
290,0.3364,0.35,0.3,20,25,21
292,0.3364,0.3364,0.2,20,25,21
294,0.3364,0.35,0.2,20,25,21
296,0.3364,0.3364,0.25,20,25,21
298,0.3364,0.3364,0.35,20,25,21
300,0.3364,0.3364,0.1,20,25,21
302,0.3364,0.3364,0.35,20,25,21
304,0.3364,0.3364,0.3,20,25,21
306,0.3364,0.3364,0.15,20,25,21
308,0.3364,0.3364,0.25,20,25,21
310,0.3038,0.3038,0.45,20,24,21
312,0.3038,0.3174,0.3,20,24,21
314,0.3038,0.3038,0.2,20,24,21
316,0.3038,0.3174,0.4,20,24,21
318,0.3582,0.3582,0.26,19,24,20
320,0.369,0.369,0.28,18,24,19
322,0.369,0.369,0.39,18,24,19
324,0.369,0.369,0.39,18,24,19
326,0.369,0.369,0.22,18,24,19
328,0.3364,0.3364,0.28,18,23,19
330,0.3364,0.3364,0.28,18,23,19
332,0.3364,0.3364,0.28,18,23,19
334,0.3364,0.35,0.17,18,23,19
336,0.3038,0.3038,0.17,18,22,19
