move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.2,40,40,40
2,0.0,0.0,0.1,40,40,40
4,0.0,0.0,0.1,39,39,39
6,0.0326,0.0326,0.13,38,39,38
8,0.0326,0.0326,0.16,38,39,38
10,0.0652,0.0652,0.03,37,39,37
12,0.0109,0.0109,0.11,36,38,37
14,0.0109,0.0109,0.14,36,38,37
16,0.0109,0.0109,0.17,36,38,37
18,0.0087,0.0087,0.14,36,38,37
20,-0.0239,-0.0239,0.11,36,37,37
22,-0.0217,-0.0217,0.17,36,36,36
24,-0.0326,-0.0326,0.17,35,35,36
26,-0.0326,-0.0326,0.06,35,35,36
28,-0.0326,-0.0326,0.09,35,35,36
30,0.0217,0.0217,0.17,35,35,35
32,0.0087,0.0087,0.09,34,34,35
34,-0.0457,-0.0457,0.09,33,33,35
36,-0.0457,-0.0457,0.15,33,33,35
38,-0.0761,-0.0761,0.12,33,32,35
40,-0.1087,-0.0951,0.03,33,31,35
42,-0.1549,-0.1549,0.15,33,30,35
44,-0.1549,-0.1549,0.12,33,30,35
46,-0.1685,-0.1549,0.12,33,30,35
48,-0.1576,-0.1576,0.12,32,30,34
50,-0.1793,-0.1793,0.1,31,29,33
52,-0.1902,-0.1902,0.23,31,28,33
54,-0.2011,-0.2011,0.1,31,27,33
56,-0.2011,-0.2011,0.1,30,26,32
58,-0.0576,-0.0576,0.07,29,26,30
60,-0.0576,-0.0576,0.07,29,26,30
62,-0.1141,-0.1141,0.11,28,25,30
64,-0.1141,-0.1141,0.04,28,25,30
66,-0.1141,-0.1141,0.0,28,25,30
68,-0.1141,-0.1141,0.07,28,25,30
70,-0.1141,-0.1141,0.14,28,25,30
72,-0.1141,-0.1141,0.14,28,25,30
74,-0.0815,-0.0815,0.26,27,25,29
76,-0.0815,-0.0815,0.15,27,25,29
78,-0.0815,-0.0815,0.07,27,25,29
80,-0.0946,-0.081,0.12,26,24,29
82,-0.0924,-0.0924,0.15,26,23,28
84,-0.0902,-0.0902,0.04,26,23,28
86,-0.0902,-0.0902,0.15,26,23,28
88,-0.0902,-0.0902,0.04,25,22,27
90,-0.0576,-0.044,0.25,24,22,26
92,-0.1685,-0.1685,0.09,23,21,26
94,-0.1685,-0.1549,0.09,23,21,26
96,-0.1685,-0.1685,0.17,23,21,26
98,-0.1707,-0.1571,0.09,23,21,26
100,-0.1576,-0.1576,0.23,22,21,25
102,-0.1576,-0.1576,0.14,22,21,25
104,-0.1576,-0.1576,0.09,22,21,25
106,-0.1576,-0.1576,0.09,22,21,25
108,-0.1576,-0.1576,0.05,22,21,25
110,-0.1576,-0.1304,0.18,22,21,25
112,-0.1576,-0.1576,0.09,22,21,25
114,-0.1576,-0.1576,0.09,22,21,25
116,-0.1576,-0.144,0.09,22,21,25
118,-0.1576,-0.1576,0.23,22,21,25
120,-0.1228,-0.1228,0.24,21,21,24
122,-0.1228,-0.1228,0.24,21,21,24
124,-0.125,-0.0978,0.24,21,21,24
126,-0.1228,-0.0957,0.14,21,21,24
128,-0.125,-0.125,0.24,21,21,24
130,-0.125,-0.0978,0.19,21,21,24
132,-0.125,-0.125,0.19,21,21,24
134,-0.1141,-0.1141,0.1,20,21,23
136,-0.0815,-0.0543,0.21,19,21,22
138,-0.125,-0.125,0.18,17,20,21
140,-0.1359,-0.1223,0.19,16,19,21
142,-0.1359,-0.1087,0.25,16,19,21
144,-0.1359,-0.1223,0.25,16,19,21
146,-0.1359,-0.1223,0.19,16,19,21
148,-0.1902,-0.1766,0.4,15,18,21
150,-0.1902,-0.1766,0.4,15,18,21
152,-0.1924,-0.1924,0.27,15,18,21
154,-0.1359,-0.1223,0.27,15,18,20
156,-0.1223,-0.0951,0.33,15,18,20
158,-0.1359,-0.1359,0.27,15,18,20
160,-0.1359,-0.1223,0.13,15,18,20
162,-0.1359,-0.1087,0.33,15,18,20
164,-0.1223,-0.1223,0.4,15,18,20
166,-0.1359,-0.1087,0.33,15,18,20
168,-0.1223,-0.1223,0.53,15,18,20
170,-0.1223,-0.1223,0.33,15,18,20
172,-0.1359,-0.1223,0.27,15,18,20
174,-0.1359,-0.1087,0.27,15,18,20
176,-0.1359,-0.1223,0.27,15,18,20
178,-0.1223,-0.1223,0.53,15,18,20
180,-0.1359,-0.1359,0.33,15,18,20
182,-0.1223,-0.1087,0.33,15,18,20
184,-0.1223,-0.1087,0.27,15,18,20
186,-0.1359,-0.1223,0.33,15,18,20
188,-0.1359,-0.1087,0.4,15,18,20
190,-0.1359,-0.1359,0.53,15,18,20
192,-0.1359,-0.1359,0.33,15,18,20
194,-0.1359,-0.1087,0.2,15,18,20
196,-0.1359,-0.1087,0.33,15,18,20
198,-0.1337,-0.1337,0.4,15,18,20
200,-0.1011,-0.0875,0.27,15,18,19
202,-0.1011,-0.0875,0.33,15,18,19
204,-0.1359,-0.1223,0.36,14,17,19
206,-0.1359,-0.1223,0.36,14,17,19
208,-0.0772,-0.0636,0.5,14,17,18
210,-0.0772,-0.0636,0.21,14,17,18
212,-0.1141,-0.1005,0.46,13,16,18
214,-0.1141,-0.1141,0.38,13,16,18
216,-0.1163,-0.1027,0.23,13,16,18
218,-0.1027,-0.1027,0.23,13,16,18
220,-0.1027,-0.1027,0.54,13,16,18
222,-0.1005,-0.087,0.69,13,16,18
224,-0.1027,-0.1027,0.23,13,16,18
226,-0.1027,-0.1163,0.38,13,16,18
228,-0.0918,-0.0918,0.42,12,16,17
