move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.15,40,40,40
2,0.0,0.0,0.25,40,40,40
4,0.0,0.0,0.05,40,40,40
6,-0.0217,-0.0217,0.13,38,39,39
8,-0.0217,-0.0217,0.18,38,39,39
10,-0.0217,-0.0217,0.08,38,39,39
12,-0.0326,-0.0326,0.19,37,38,39
14,-0.087,-0.087,0.06,36,37,39
16,-0.087,-0.087,0.22,36,37,39
18,-0.087,-0.087,0.22,36,37,39
20,-0.087,-0.087,0.08,36,37,39
22,-0.0304,-0.0304,0.11,36,37,38
24,-0.0196,-0.0196,0.2,35,37,37
26,-0.0196,-0.0196,0.12,34,36,36
28,-0.0196,-0.0196,0.09,34,36,36
30,-0.0196,-0.0196,0.15,34,36,36
32,0.013,0.013,0.06,33,36,35
34,0.1,0.1,0.16,31,36,33
36,0.1326,0.1326,0.1,30,36,32
38,0.1326,0.1326,0.1,30,36,32
40,0.0761,0.0761,0.07,29,35,32
42,0.1109,0.1109,0.07,28,35,31
44,0.1087,0.1087,0.33,27,34,30
46,0.0978,0.0978,0.04,26,33,30
48,0.0978,0.1114,0.23,26,33,30
50,0.0978,0.0978,0.23,26,33,30
52,0.0978,0.0978,0.0,26,33,30
54,0.0978,0.0978,0.19,26,33,30
56,0.0978,0.0978,0.15,26,33,30
58,0.0978,0.1114,0.12,26,33,30
60,0.0978,0.0978,0.15,26,33,30
62,0.1,0.1,0.04,26,33,30
64,0.1,0.1,0.08,26,33,30
66,0.1,0.1,0.08,26,33,30
68,0.1,0.1136,0.15,26,33,30
70,0.1,0.1,0.12,26,33,30
72,0.1326,0.1462,0.28,25,33,29
74,0.1304,0.144,0.2,25,33,29
76,0.1304,0.144,0.2,25,33,29
78,0.1304,0.1304,0.12,25,33,29
80,0.1304,0.1304,0.16,25,33,29
82,0.1304,0.1304,0.08,25,33,29
84,0.1304,0.1304,0.24,25,33,29
86,0.1304,0.1304,0.16,25,33,29
