move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.17,40,40,40
3,0.0,0.0,0.15,40,40,40
5,0.0,0.0,0.08,39,39,39
7,0.0,0.0272,0.1,39,39,39
9,0.0,0.0136,0.13,39,39,39
11,0.0,0.0,0.13,39,39,39
13,-0.0109,0.0163,0.13,38,38,39
15,-0.0109,0.0163,0.18,38,38,39
17,-0.0109,-0.0109,0.13,38,37,38
19,-0.0109,-0.0109,0.08,37,36,37
21,-0.0109,-0.0109,0.16,37,36,37
23,-0.0109,0.0027,0.14,37,36,37
25,-0.0109,0.0027,0.14,37,36,37
27,0.0217,0.0217,0.22,36,36,36
29,0.0217,0.0353,0.17,36,36,36
31,-0.0326,-0.0326,0.2,35,35,36
33,-0.0348,-0.0212,0.06,35,35,36
35,-0.0348,-0.0348,0.17,35,35,36
37,-0.0652,-0.0652,0.17,35,34,36
39,-0.0674,-0.0674,0.14,35,34,36
41,-0.0674,-0.0538,0.2,35,34,36
43,-0.0674,-0.0674,0.06,35,34,36
45,-0.0674,-0.0674,0.17,35,34,36
47,-0.0674,-0.0674,0.06,35,34,36
49,-0.0674,-0.0674,0.2,35,34,36
51,-0.1,-0.1,0.11,35,33,36
53,-0.0109,0.0027,0.2,35,33,35
55,-0.0109,-0.0109,0.14,35,33,35
57,-0.0109,-0.0109,0.17,35,33,35
59,-0.0109,-0.0109,0.11,35,33,35
61,-0.0109,-0.0109,0.06,35,33,35
63,-0.0109,-0.0109,0.14,35,33,35
65,-0.0109,-0.0109,0.2,35,33,35
67,-0.0087,-0.0087,0.2,35,33,35
69,-0.0109,-0.0109,0.18,34,32,34
71,-0.0109,-0.0109,0.09,34,32,34
73,-0.0217,0.0054,0.21,33,31,34
75,-0.0217,-0.0217,0.06,33,31,34
77,-0.0348,-0.0076,0.12,32,30,34
79,-0.0457,-0.0457,0.16,32,29,34
81,-0.0457,-0.0185,0.13,31,28,33
83,-0.0109,0.0163,0.1,30,28,32
85,-0.0109,0.0163,0.1,30,28,32
87,-0.013,-0.013,0.13,30,28,32
89,-0.013,-0.013,0.1,30,28,32
91,-0.013,-0.013,0.13,30,28,32
93,-0.013,-0.013,0.1,30,28,32
95,-0.013,-0.013,0.1,30,28,32
97,-0.013,-0.013,0.13,30,28,32
99,-0.013,-0.013,0.23,30,28,32
101,-0.013,0.0141,0.03,30,28,32
103,-0.013,-0.013,0.27,30,28,32
105,-0.013,-0.013,0.03,30,28,32
107,-0.013,0.0141,0.1,30,28,32
109,-0.013,-0.013,0.23,30,28,32
111,-0.013,-0.013,0.13,30,28,32
113,-0.013,-0.013,0.17,30,28,32
115,-0.013,0.0141,0.13,30,28,32
117,-0.013,-0.013,0.1,30,28,32
119,-0.013,-0.013,0.2,30,28,32
121,-0.013,-0.013,0.23,30,28,32
123,-0.013,-0.013,0.1,30,28,32
125,-0.013,-0.013,0.13,30,28,32
127,-0.013,-0.013,0.2,30,28,32
129,-0.013,-0.013,0.13,30,28,32
131,-0.013,0.0005,0.03,30,28,32
133,-0.013,0.0005,0.07,30,28,32
135,-0.013,0.0141,0.17,30,28,32
137,-0.013,0.0141,0.07,30,28,32
139,-0.013,-0.013,0.13,30,28,32
141,-0.013,-0.013,0.13,30,28,32
143,-0.013,0.0141,0.17,30,28,32
145,-0.013,0.0141,0.2,30,28,32
147,-0.013,-0.013,0.23,30,28,32
149,-0.013,0.0141,0.1,30,28,32
151,-0.013,-0.013,0.23,30,28,32
153,-0.013,-0.013,0.1,30,28,32
155,-0.013,0.0141,0.33,30,28,32
157,-0.013,0.0141,0.13,30,28,32
159,-0.013,-0.013,0.27,30,28,32
161,-0.013,0.0005,0.2,30,28,32
163,-0.013,-0.013,0.17,30,28,32
165,-0.013,-0.013,0.13,30,28,32
167,-0.013,-0.013,0.17,30,28,32
169,-0.013,-0.013,0.07,30,28,32
171,-0.013,-0.013,0.17,30,28,32
173,-0.013,-0.013,0.1,30,28,32
175,-0.013,0.0141,0.13,30,28,32
177,-0.013,0.0141,0.13,30,28,32
179,-0.013,0.0141,0.1,30,28,32
181,-0.013,-0.013,0.2,30,28,32
183,-0.013,-0.013,0.1,30,28,32
185,-0.013,-0.013,0.27,30,28,32
187,-0.013,-0.013,0.3,30,28,32
189,-0.013,-0.013,0.17,30,28,32
191,-0.013,0.0141,0.2,30,28,32
193,-0.013,0.0141,0.1,30,28,32
195,-0.013,0.0141,0.17,30,28,32
197,-0.013,0.0141,0.13,30,28,32
199,-0.0674,-0.0402,0.17,30,27,32
201,-0.0652,-0.0652,0.23,30,27,32
203,-0.087,-0.087,0.14,29,26,31
205,-0.1435,-0.1027,0.21,28,24,30
207,-0.0543,-0.0136,0.21,28,24,29
209,-0.0543,-0.0272,0.25,28,24,29
211,-0.0543,-0.0136,0.21,28,24,29
213,-0.0543,-0.0543,0.14,28,24,29
215,-0.05,-0.0092,0.25,28,24,29
217,-0.05,-0.05,0.07,28,24,29
219,-0.05,-0.0228,0.11,28,24,29
221,-0.05,-0.05,0.11,28,24,29
223,-0.087,-0.087,0.33,27,23,29
225,-0.087,-0.0598,0.22,27,23,29
227,-0.087,-0.087,0.22,27,23,29
229,-0.087,-0.0598,0.15,27,23,29
231,-0.0326,-0.0054,0.19,27,23,28
233,-0.0326,-0.0054,0.19,27,23,28
235,-0.0304,-0.0304,0.11,27,23,28
237,-0.0304,-0.0304,0.11,27,23,28
239,-0.0304,-0.0304,0.22,27,23,28
241,0.0022,0.0022,0.23,26,23,27
243,0.0022,0.0022,0.23,26,23,27
245,0.0565,0.0701,0.2,25,23,26
247,0.0891,0.0891,0.25,24,23,25
249,0.0891,0.0891,0.29,24,23,25
251,0.0891,0.1027,0.17,24,23,25
253,0.1,0.1,0.17,23,23,24
255,0.1,0.1408,0.26,23,23,24
257,0.1,0.1,0.3,23,23,24
259,0.1,0.1,0.13,23,23,24
261,0.1,0.1,0.09,23,23,24
263,0.1,0.1272,0.17,23,23,24
265,0.0978,0.125,0.26,23,23,24
267,0.087,0.087,0.32,22,22,24
269,0.087,0.087,0.14,22,22,24
271,0.087,0.1141,0.18,22,22,24
273,0.087,0.087,0.18,22,22,24
275,0.087,0.087,0.09,22,22,24
277,0.087,0.1141,0.23,22,22,24
279,0.0543,0.0815,0.09,22,21,24
281,0.0543,0.0679,0.14,22,21,24
283,0.1109,0.1245,0.14,22,21,23
285,0.1109,0.1109,0.09,22,21,23
287,0.1109,0.1109,0.23,22,21,23
289,0.1109,0.1245,0.27,22,21,23
291,0.1109,0.1109,0.18,22,21,23
293,0.1109,0.1109,0.18,22,21,23
295,0.1109,0.1109,0.27,22,21,23
297,0.1109,0.1109,0.23,22,21,23
299,0.1435,0.1435,0.14,21,21,22
301,0.0543,0.0543,0.15,20,20,22
303,0.0543,0.0815,0.3,20,20,22
