move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.23,40,40,40
3,0.0,0.0,0.1,40,40,40
5,0.0,0.0,0.13,39,39,39
7,0.0,0.0,0.1,39,39,39
9,0.0,0.0272,0.16,38,38,38
11,0.0,0.0,0.11,38,38,38
13,0.0,0.0272,0.22,37,37,37
15,0.0,0.0272,0.19,37,37,37
17,0.0,0.0,0.22,37,37,37
19,0.0,0.0272,0.14,37,37,37
21,0.0,0.0,0.14,37,37,37
23,-0.013,-0.013,0.19,36,36,37
25,-0.0109,-0.0109,0.25,36,35,36
27,-0.0109,-0.0109,0.22,36,35,36
29,-0.0109,-0.0109,0.11,36,35,36
31,0.0,0.0,0.11,35,35,35
33,0.0,0.0,0.17,35,35,35
35,0.0022,0.0022,0.23,35,35,35
37,0.0348,0.0348,0.06,34,35,34
39,0.0326,0.0326,0.18,33,34,33
41,0.0304,0.0304,0.15,33,34,33
43,0.0326,0.0462,0.15,33,34,33
45,0.0326,0.0326,0.24,33,34,33
47,0.0326,0.0462,0.18,33,34,33
49,0.0326,0.0326,0.24,33,34,33
51,0.0326,0.0462,0.27,33,34,33
53,0.0326,0.0326,0.21,33,34,33
55,0.0326,0.0598,0.21,33,34,33
57,0.1435,0.1571,0.12,32,34,32
59,0.1739,0.1739,0.23,30,33,30
61,0.1739,0.1739,0.23,30,33,30
63,0.1761,0.1761,0.17,30,33,30
65,0.1848,0.1984,0.14,28,32,28
67,0.1848,0.1848,0.36,28,32,28
69,0.1957,0.2092,0.22,27,32,27
71,0.1848,0.1848,0.23,26,31,27
73,0.1739,0.1875,0.2,25,30,27
75,0.1739,0.1739,0.28,25,30,27
77,0.163,0.163,0.21,24,29,27
79,0.163,0.1766,0.17,24,29,27
81,0.163,0.1902,0.21,24,29,27
83,0.163,0.1902,0.12,24,29,27
85,0.163,0.163,0.25,24,28,26
87,0.1522,0.1929,0.17,23,27,26
89,0.1522,0.1929,0.17,23,27,26
91,0.1522,0.1658,0.13,23,27,26
93,0.1522,0.1522,0.13,23,27,26
95,0.1522,0.1522,0.26,23,26,25
97,0.1522,0.1522,0.26,23,26,25
99,0.1522,0.1522,0.26,23,26,25
101,0.1522,0.1658,0.26,23,26,25
103,0.1522,0.1793,0.22,23,26,25
105,0.1522,0.1793,0.22,23,26,25
107,0.1652,0.1788,0.23,22,26,24
109,0.1522,0.1522,0.33,21,25,24
111,0.1522,0.1522,0.33,21,25,24
113,0.1522,0.1522,0.43,21,25,24
115,0.1522,0.1522,0.33,21,25,24
117,0.1196,0.1467,0.25,20,24,24
119,0.1739,0.2011,0.35,20,24,23
121,0.2087,0.2087,0.3,20,24,22
123,0.2196,0.2196,0.16,19,24,21
125,0.2304,0.244,0.22,18,24,20
127,0.2413,0.2413,0.12,17,24,19
129,0.2413,0.2413,0.12,17,24,19
131,0.2413,0.2821,0.18,17,24,19
133,0.2435,0.2435,0.29,17,24,19
135,0.2413,0.2413,0.38,16,23,18
137,0.2413,0.2549,0.25,16,23,18
139,0.2413,0.2549,0.44,16,23,18
141,0.2739,0.2875,0.25,16,23,17
143,0.3065,0.3609,0.27,15,23,16
145,0.3065,0.3065,0.47,15,23,16
147,0.3065,0.3065,0.53,15,23,16
149,0.3065,0.3065,0.6,15,23,16
151,0.3065,0.3337,0.29,14,22,15
153,0.3065,0.3473,0.71,14,22,15
155,0.3065,0.3337,0.36,14,22,15
157,0.3065,0.3065,0.43,14,22,15
159,0.3065,0.3065,0.5,14,22,15
161,0.3065,0.3473,0.36,14,22,15
163,0.3065,0.3065,0.57,14,22,15
165,0.3065,0.3609,0.57,14,22,15
167,0.3413,0.3957,0.31,13,22,14
169,0.3413,0.3957,0.46,13,22,14
171,0.3739,0.4283,0.67,12,22,13
173,0.3717,0.3717,0.58,12,22,13
175,0.3717,0.3717,0.73,11,21,12
177,0.3848,0.4391,0.6,10,21,11
179,0.3848,0.3848,0.8,10,21,11
181,0.3848,0.412,0.6,10,21,11
183,0.3848,0.4391,0.5,10,21,11
185,0.3848,0.3848,0.8,10,21,11
187,0.3848,0.4391,0.5,10,21,11
189,0.3848,0.3848,0.7,10,21,11
191,0.3848,0.3848,0.6,10,21,11
193,0.4196,0.4196,1.0,9,21,10
195,0.4196,0.4196,0.78,9,21,10
197,0.4196,0.4739,0.56,9,21,10
199,0.4196,0.4739,0.78,9,21,10
201,0.4739,0.5011,0.75,8,21,9
203,0.5065,0.5609,0.71,7,21,8
205,0.5065,0.5609,0.71,7,21,8
207,0.5065,0.5065,1.0,7,21,8
209,0.5065,0.5609,0.71,7,21,8
211,0.5065,0.5609,0.71,7,21,8
213,0.5065,0.5065,1.0,7,21,8
215,0.5065,0.5473,0.71,7,21,8
217,0.5065,0.5473,0.71,7,21,8
219,0.5065,0.5609,0.71,7,21,8
221,0.4957,0.55,0.67,6,20,8
223,0.4957,0.55,0.67,6,20,8
225,0.4957,0.55,0.67,6,20,8
227,0.4957,0.4957,1.0,6,20,8
229,0.4957,0.55,0.67,6,20,8
231,0.4957,0.5092,0.67,6,20,8
233,0.4957,0.4957,1.0,6,20,8
235,0.4957,0.5092,0.67,6,20,8
237,0.4957,0.5228,0.67,6,20,8
239,0.4957,0.4957,1.0,6,20,8
241,0.4957,0.55,0.67,6,20,8
243,0.4957,0.5092,0.67,6,20,8
245,0.4957,0.5228,0.67,6,20,8
247,0.4978,0.4978,1.0,6,20,8
249,0.4978,0.525,0.67,6,20,8
251,0.4978,0.5522,0.67,6,20,8
253,0.4978,0.4978,1.0,6,20,8
255,0.4978,0.5522,0.67,6,20,8
257,0.4978,0.5522,0.67,6,20,8
259,0.4978,0.4978,1.0,6,20,8
261,0.4978,0.525,0.67,6,20,8
263,0.4978,0.4978,1.0,6,20,8
265,0.4978,0.5386,0.67,6,20,8
267,0.4978,0.4978,1.0,6,20,8
269,0.4978,0.4978,1.0,6,20,8
271,0.4978,0.525,0.67,6,20,8
273,0.4978,0.525,0.67,6,20,8
275,0.4978,0.5114,0.67,6,20,8
277,0.4978,0.525,0.67,6,20,8
279,0.4978,0.5522,0.67,6,20,8
281,0.4978,0.5522,0.67,6,20,8
283,0.4978,0.5522,0.67,6,20,8
285,0.4978,0.5522,0.67,6,20,8
287,0.4978,0.4978,1.0,6,20,8
289,0.4978,0.4978,1.0,6,20,8
291,0.4978,0.4978,1.0,6,20,8
293,0.4978,0.525,0.67,6,20,8
295,0.4978,0.5522,0.67,6,20,8
297,0.4978,0.525,0.67,6,20,8
299,0.4978,0.5114,0.67,6,20,8
301,0.4978,0.525,0.67,6,20,8
303,0.4978,0.5522,0.67,6,20,8
305,0.4978,0.5522,0.67,6,20,8
307,0.4978,0.5522,0.67,6,20,8
309,0.4978,0.525,0.67,6,20,8
311,0.4978,0.4978,1.0,6,20,8
313,0.4978,0.5522,0.67,6,20,8
315,0.4978,0.525,0.67,6,20,8
317,0.4978,0.5522,0.67,6,20,8
319,0.4978,0.4978,1.0,6,20,8
321,0.4978,0.4978,1.0,6,20,8
323,0.4978,0.5114,0.67,6,20,8
325,0.4978,0.4978,1.0,6,20,8
327,0.4978,0.525,0.67,6,20,8
329,0.4978,0.5522,0.67,6,20,8
331,0.4978,0.525,0.67,6,20,8
333,0.4978,0.525,0.67,6,20,8
335,0.4978,0.5522,0.67,6,20,8
337,0.4978,0.525,0.67,6,20,8
339,0.4978,0.5522,0.67,6,20,8
341,0.4978,0.525,0.67,6,20,8
343,0.4978,0.5386,0.67,6,20,8
345,0.4978,0.525,0.67,6,20,8
347,0.4978,0.4978,1.0,6,20,8
349,0.4978,0.525,0.67,6,20,8
351,0.4978,0.5522,0.67,6,20,8
353,0.4978,0.5522,0.67,6,20,8
355,0.4978,0.4978,1.0,6,20,8
357,0.4978,0.5522,0.67,6,20,8
359,0.4978,0.4978,1.0,6,20,8
361,0.4978,0.525,0.67,6,20,8
363,0.4978,0.5522,0.67,6,20,8
365,0.4978,0.5522,0.67,6,20,8
367,0.4978,0.5522,0.67,6,20,8
369,0.4978,0.4978,1.0,6,20,8
371,0.4978,0.5114,0.67,6,20,8
373,0.4978,0.4978,1.0,6,20,8
375,0.4978,0.5522,0.67,6,20,8
377,0.4978,0.5522,0.67,6,20,8
379,0.4978,0.525,0.67,6,20,8
381,0.4978,0.525,0.67,6,20,8
383,0.4978,0.4978,1.0,6,20,8
385,0.4978,0.4978,1.0,6,20,8
387,0.4978,0.4978,1.0,6,20,8
389,0.4978,0.4978,1.0,6,20,8
391,0.4978,0.4978,1.0,6,20,8
393,0.4978,0.5522,0.67,6,20,8
395,0.4978,0.5522,0.67,6,20,8
397,0.4978,0.525,0.67,6,20,8
399,0.4978,0.5114,0.67,6,20,8
401,0.4978,0.5522,0.67,6,20,8
403,0.4978,0.5522,0.67,6,20,8
405,0.4978,0.5522,0.67,6,20,8
407,0.4978,0.525,0.67,6,20,8
409,0.4978,0.5522,0.67,6,20,8
411,0.4978,0.5522,0.67,6,20,8
413,0.4978,0.525,0.67,6,20,8
415,0.4978,0.4978,1.0,6,20,8
417,0.4978,0.5522,0.67,6,20,8
419,0.4978,0.5522,0.67,6,20,8
421,0.4978,0.4978,1.0,6,20,8
423,0.4978,0.525,0.67,6,20,8
425,0.4978,0.4978,1.0,6,20,8
427,0.4978,0.5522,0.67,6,20,8
429,0.4978,0.5522,0.67,6,20,8
431,0.5,0.5,1.0,6,20,8
433,0.5,0.5272,0.67,6,20,8
435,0.5,0.5543,0.67,6,20,8
437,0.5,0.5,1.0,6,20,8
439,0.5,0.5136,0.67,6,20,8
441,0.5,0.5,1.0,6,20,8
443,0.5,0.5543,0.67,6,20,8
445,0.5,0.5543,0.67,6,20,8
447,0.5,0.5,1.0,6,20,8
449,0.5,0.5272,0.67,6,20,8
451,0.5,0.5,1.0,6,20,8
453,0.5,0.5272,0.67,6,20,8
455,0.5,0.5,1.0,6,20,8
457,0.5,0.5272,0.67,6,20,8
459,0.5,0.5543,0.67,6,20,8
461,0.5,0.5272,0.67,6,20,8
463,0.5,0.5543,0.67,6,20,8
465,0.5,0.5272,0.67,6,20,8
467,0.5,0.5543,0.67,6,20,8
469,0.5,0.5543,0.67,6,20,8
471,0.5,0.5543,0.67,6,20,8
473,0.5,0.5272,0.67,6,20,8
475,0.5,0.5136,0.67,6,20,8
477,0.5,0.5543,0.67,6,20,8
479,0.5,0.5136,0.67,6,20,8
481,0.5,0.5543,0.67,6,20,8
483,0.5,0.5136,0.67,6,20,8
485,0.5,0.5272,0.67,6,20,8
487,0.5,0.5543,0.67,6,20,8
489,0.5,0.5543,0.67,6,20,8
491,0.5,0.5136,0.67,6,20,8
493,0.5,0.5543,0.67,6,20,8
495,0.5,0.5543,0.67,6,20,8
497,0.5,0.5272,0.67,6,20,8
499,0.5,0.5543,0.67,6,20,8
501,0.5,0.5543,0.67,6,20,8
503,0.5,0.5136,0.67,6,20,8
505,0.5,0.5543,0.67,6,20,8
507,0.5,0.5,1.0,6,20,8
509,0.5,0.5272,0.67,6,20,8
511,0.5,0.5272,0.67,6,20,8
513,0.5,0.5272,0.67,6,20,8
515,0.5,0.5136,0.67,6,20,8
517,0.5,0.5272,0.67,6,20,8
519,0.5,0.5,1.0,6,20,8
521,0.5,0.5543,0.67,6,20,8
523,0.5,0.5543,0.67,6,20,8
525,0.5,0.5,1.0,6,20,8
527,0.5,0.5,1.0,6,20,8
529,0.5,0.5,1.0,6,20,8
531,0.5,0.5,1.0,6,20,8
533,0.5,0.5543,0.67,6,20,8
535,0.5,0.5,1.0,6,20,8
537,0.5,0.5272,0.67,6,20,8
539,0.5,0.5136,0.67,6,20,8
541,0.5,0.5408,0.67,6,20,8
543,0.5,0.5136,0.67,6,20,8
545,0.5,0.5,1.0,6,20,8
547,0.5,0.5,1.0,6,20,8
549,0.5,0.5543,0.67,6,20,8
551,0.5,0.5,1.0,6,20,8
553,0.5,0.5408,0.67,6,20,8
555,0.5,0.5,1.0,6,20,8
557,0.5,0.5272,0.67,6,20,8
559,0.5,0.5272,0.67,6,20,8
561,0.5,0.5543,0.67,6,20,8
