move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.12,40,40,40
3,0.0,0.0,0.26,39,39,39
5,0.0,0.0,0.28,39,39,39
7,0.0,0.0272,0.08,39,39,39
9,-0.0326,-0.0326,0.08,38,38,39
11,-0.0326,-0.0326,0.16,38,38,39
13,-0.0326,-0.0326,0.18,38,38,39
15,0.0217,0.0353,0.08,38,38,38
17,0.0217,0.0217,0.16,38,38,38
19,0.0217,0.0217,0.18,38,38,38
21,0.0217,0.0217,0.11,38,38,38
23,0.0217,0.0217,0.03,38,38,38
25,0.0543,0.0543,0.19,37,38,37
27,0.0674,0.0674,0.11,36,38,36
29,0.0674,0.081,0.17,36,38,36
31,0.1,0.1,0.11,35,38,35
33,0.1109,0.1109,0.18,34,38,34
35,0.1109,0.1109,0.03,34,38,34
37,0.1652,0.1788,0.09,33,38,33
39,0.1326,0.1326,0.09,32,37,33
41,0.187,0.187,0.16,31,37,32
43,0.187,0.2005,0.23,31,37,32
45,0.1848,0.1848,0.16,31,37,32
47,0.2283,0.2283,0.1,29,37,30
49,0.2283,0.2283,0.17,29,37,30
51,0.2304,0.2304,0.17,29,37,30
53,0.3174,0.331,0.21,28,37,29
55,0.3174,0.3174,0.18,28,37,29
57,0.3174,0.331,0.18,28,37,29
59,0.3283,0.3418,0.19,27,37,28
61,0.3283,0.3554,0.15,27,37,28
63,0.3391,0.3527,0.15,26,37,27
65,0.337,0.3641,0.12,26,37,27
67,0.337,0.337,0.15,26,37,27
69,0.337,0.3641,0.12,26,37,27
71,0.3391,0.3663,0.15,26,36,26
73,0.3391,0.3663,0.15,26,36,26
75,0.2283,0.2554,0.16,25,35,26
77,0.2283,0.2283,0.2,25,35,26
79,0.2283,0.2418,0.32,25,35,26
81,0.2283,0.2283,0.16,25,35,26
83,0.2283,0.2283,0.16,25,34,25
85,0.2609,0.2745,0.17,24,34,24
87,0.2609,0.2609,0.21,24,34,24
89,0.2609,0.288,0.29,24,34,24
91,0.2745,0.2745,0.33,24,34,24
93,0.2745,0.2745,0.25,24,34,24
95,0.2636,0.2772,0.17,23,33,24
97,0.2636,0.2772,0.22,23,33,24
99,0.2636,0.2636,0.22,23,33,24
101,0.2636,0.25,0.22,23,33,24
103,0.2636,0.2772,0.26,23,33,24
105,0.2984,0.2848,0.22,23,33,23
107,0.2984,0.2848,0.26,23,33,23
109,0.2984,0.2848,0.22,23,33,23
111,0.2092,0.2228,0.27,22,32,23
113,0.2092,0.1957,0.27,22,32,23
115,0.2092,0.2092,0.32,22,32,23
117,0.2092,0.1957,0.32,22,32,23
119,0.2201,0.2201,0.24,21,32,22
121,0.2201,0.2473,0.24,21,32,22
123,0.2201,0.2337,0.24,21,32,22
125,0.2201,0.2337,0.33,21,32,22
127,0.2201,0.2201,0.24,21,32,22
129,0.2201,0.2065,0.2,20,31,21
131,0.2201,0.2065,0.3,20,31,21
133,0.2087,0.2359,0.35,20,31,21
135,0.2413,0.2549,0.32,19,31,20
137,0.2413,0.2413,0.37,19,31,20
139,0.2413,0.2549,0.32,19,31,20
141,0.2413,0.2685,0.26,19,31,20
143,0.2435,0.2435,0.26,19,31,20
145,0.2435,0.2571,0.32,19,31,20
147,0.2299,0.2299,0.26,19,31,20
149,0.2277,0.2413,0.22,18,30,19
151,0.2277,0.2413,0.28,18,30,19
153,0.2277,0.2413,0.17,18,30,19
155,0.2277,0.2277,0.44,18,30,19
157,0.2739,0.2603,0.29,17,30,18
159,0.2739,0.2875,0.41,17,30,18
161,0.2739,0.2875,0.18,17,30,18
163,0.2739,0.2739,0.41,17,30,18
165,0.2739,0.2739,0.29,17,30,18
167,0.2739,0.2739,0.35,17,30,18
169,0.2761,0.2761,0.41,17,30,18
171,0.3087,0.3223,0.31,16,30,17
173,0.3087,0.2951,0.44,16,30,17
175,0.2522,0.2386,0.47,15,29,17
177,0.2522,0.2793,0.2,15,29,17
179,0.2543,0.2408,0.27,15,29,17
181,0.2543,0.2543,0.4,15,29,17
183,0.2543,0.2679,0.4,15,29,17
185,0.2196,0.206,0.43,14,28,17
187,0.2196,0.206,0.5,14,28,17
189,0.187,0.1734,0.54,13,27,17
191,0.2005,0.2005,0.46,13,27,17
193,0.187,0.187,0.62,13,27,17
195,0.187,0.1734,0.54,13,27,17
197,0.1891,0.1755,0.54,13,27,17
199,0.1891,0.1755,0.38,13,27,17
201,0.1891,0.1755,0.38,13,27,17
203,0.1761,0.2033,0.5,12,26,17
205,0.1761,0.1625,0.25,12,26,17
207,0.1761,0.1761,0.25,12,26,17
209,0.1761,0.1761,0.5,12,26,17
211,0.1739,0.1603,0.42,12,26,17
213,0.1739,0.1739,0.42,12,26,17
215,0.1739,0.1875,0.5,12,26,17
217,0.1739,0.1739,0.42,12,26,17
219,0.1739,0.1739,0.25,12,26,17
221,0.1739,0.1875,0.42,12,26,17
223,0.1603,0.1739,0.42,12,26,17
225,0.1625,0.1625,0.33,12,26,17
227,0.1495,0.1359,0.45,11,25,17
229,0.1495,0.1359,0.45,11,25,17
231,0.1516,0.1788,0.36,11,25,17
233,0.1516,0.138,0.45,11,25,17
235,0.1516,0.1788,0.64,11,25,17
237,0.1516,0.1788,0.45,11,25,17
239,0.1516,0.138,0.18,11,25,17
241,0.1495,0.1495,0.27,11,24,16
243,0.1516,0.1788,0.27,11,24,16
245,0.1516,0.1788,0.36,11,24,16
247,0.1386,0.1386,0.4,10,23,16
249,0.1386,0.1658,0.3,10,23,16
251,0.1408,0.1408,0.5,10,23,16
253,0.1408,0.1679,0.5,10,23,16
255,0.1755,0.2027,0.5,10,23,15
257,0.1734,0.1598,0.5,10,23,15
259,0.1734,0.2005,0.2,10,23,15
261,0.1734,0.1734,0.5,10,23,15
263,0.1734,0.2005,0.8,10,23,15
265,0.1734,0.1598,0.4,10,23,15
267,0.1755,0.2027,0.5,10,23,15
269,0.1755,0.2027,0.6,10,23,15
271,0.1755,0.1755,0.6,10,23,15
273,0.1755,0.2027,0.4,10,23,15
275,0.1755,0.2027,0.3,10,23,15
277,0.1755,0.162,0.6,10,23,15
279,0.1777,0.1777,0.7,10,23,15
281,0.1777,0.2049,0.4,10,23,15
283,0.1777,0.2049,0.5,10,23,15
285,0.1755,0.2027,0.4,10,23,15
287,0.1734,0.1598,0.5,10,23,15
289,0.1734,0.1598,0.4,10,23,15
291,0.1734,0.1598,0.4,10,23,15
293,0.1755,0.162,0.3,10,23,15
295,0.1734,0.1598,0.44,9,22,14
297,0.1734,0.2005,0.33,9,22,14
299,0.1734,0.1598,0.56,9,22,14
301,0.1734,0.1734,0.67,9,22,14
303,0.1734,0.2005,0.11,9,22,14
305,0.1734,0.187,0.33,9,22,14
307,0.1734,0.187,0.11,9,22,14
309,0.1734,0.187,0.56,9,22,14
311,0.1734,0.1734,0.78,9,22,14
313,0.1734,0.187,0.22,9,22,14
315,0.1734,0.187,0.22,9,22,14
317,0.1734,0.1598,0.33,9,22,14
319,0.1734,0.2005,0.56,9,22,14
321,0.1734,0.1734,0.56,9,22,14
323,0.187,0.187,0.56,9,22,14
325,0.1913,0.2185,0.44,9,22,14
327,0.1913,0.2185,0.22,9,22,14
329,0.2049,0.2049,0.56,9,22,14
331,0.2049,0.1913,0.44,9,22,14
333,0.1913,0.2185,0.44,9,22,14
335,0.1913,0.1777,0.33,9,22,14
337,0.2592,0.2728,0.56,9,22,13
