player1,player2,game_num,time_taken,moves,nbr_of_prior,per_of_hit,win_1,win_2,pieces_1,pieces_2
custom,asmodeus,0,183,325,366168,41154,1,0,11,8
custom,asmodeus,1,268,494,557842,41282,0,1,7,12
custom,asmodeus,2,195,368,406127,42597,0,1,6,12
custom,asmodeus,3,76,121,138433,38.97,1,0,29,22
custom,asmodeus,4,118,183,208459,40247,1,0,22,16
custom,asmodeus,5,164,309,344795,43111,1,0,13,7
custom,asmodeus,6,222,407,456892,42228,1,0,15,8
custom,asmodeus,7,623,823,931929,32.57,1,0,18,7
custom,asmodeus,8,219,371,415837,40219,1,0,15,7
custom,asmodeus,9,189,357,363708,41.81,1,0,8,7
custom,asmodeus,10,943,1500,1704740,32.61,0,0,18,21
custom,asmodeus,11,201,401,439814,44915,1,0,10,7
custom,asmodeus,12,292,497,554826,41124,1,0,10,6
custom,asmodeus,13,66,103,115881,36.15,1,0,28,27
custom,asmodeus,14,212,317,359328,37967,1,0,19,15
custom,asmodeus,15,114,274,217067,41505,0,1,10,19
custom,asmodeus,16,298,469,530655,37806,1,0,12,7
custom,asmodeus,17,154,209,238263,37824,1,0,22,14
custom,asmodeus,18,473,1500,1689424,64396,0,0,14,7
custom,asmodeus,19,229,440,426411,37862,0,1,4,12
custom,asmodeus,20,202,389,417909,42468,1,0,11,7
custom,asmodeus,21,227,420,412244,40417,0,1,6,10
custom,asmodeus,22,150,321,365240,43728,1,0,17,8
custom,asmodeus,23,162,286,318017,40138,0,1,13,14
custom,asmodeus,24,188,379,430671,43136,1,0,13,9
custom,asmodeus,25,281,562,629297,40194,0,1,6,8
custom,asmodeus,26,148,273,306283,41861,1,0,17,7
custom,asmodeus,27,163,315,354507,44011,1,0,10,7
custom,asmodeus,28,185,357,397277,43861,1,0,16,7
custom,asmodeus,29,220,389,436404,41.16,1,0,22,7
custom,asmodeus,30,193,335,373271,43084,1,0,11,6
custom,asmodeus,31,119,183,208715,39174,1,0,25,18
custom,asmodeus,32,201,345,388378,40963,1,0,15,6
custom,asmodeus,33,187,377,420418,44089,1,0,8,8
custom,asmodeus,34,137,219,247565,38867,1,0,17,18
custom,asmodeus,35,124,272,264230,42529,0,1,8,20
custom,asmodeus,36,138,208,234006,39881,0,1,20,21
custom,asmodeus,37,186,330,371043,40973,0,1,13,13
custom,asmodeus,38,150,320,313038,42447,0,1,4,11
custom,asmodeus,39,276,453,514364,41222,1,0,12,7
custom,asmodeus,40,97,137,156293,39938,1,0,28,21
custom,asmodeus,41,323,471,531627,36257,1,0,11,7
custom,asmodeus,42,240,407,461094,40149,1,0,7,6
custom,asmodeus,43,204,343,387932,42009,1,0,13,6
custom,asmodeus,44,202,356,399424,41092,0,1,10,9
custom,asmodeus,45,198,355,381023,42.43,1,0,13,7
custom,asmodeus,46,214,443,494124,43365,1,0,8,7
custom,asmodeus,47,166,272,306285,40605,0,1,22,19
custom,asmodeus,48,126,253,285396,44421,1,0,21,7
custom,asmodeus,49,220,333,376509,37613,1,0,20,11
custom,asmodeus,50,217,391,0,0,70,26,0,0
custom,hunter,0,539,848,950883,35968,0,1,8,25
custom,hunter,1,1274,1500,1706386,32643,0,0,33,27
custom,hunter,2,257,417,469110,37998,1,0,18,10
custom,hunter,3,904,1237,1396682,32826,1,0,17,9
custom,hunter,4,197,347,394626,39498,1,0,21,13
custom,hunter,5,1115,1500,1703487,31.98,0,0,22,14
custom,hunter,6,272,540,603555,42352,0,1,7,14
custom,hunter,7,671,1500,1703701,46727,0,0,11,20
custom,hunter,8,374,541,613492,37778,1,0,18,9
custom,hunter,9,476,911,939485,50115,1,0,7,8
custom,hunter,10,260,442,497924,37603,0,1,7,23
custom,hunter,11,948,1500,1705870,33766,0,0,31,33
custom,hunter,12,150,284,293353,40492,0,1,7,25
custom,hunter,13,369,655,710096,43997,1,0,8,4
custom,hunter,14,271,498,542263,41418,0,1,6,21
custom,hunter,15,280,466,526038,39403,0,1,8,27
custom,hunter,16,494,721,816594,37164,1,0,11,13
custom,hunter,17,796,1251,1420913,35649,1,0,22,14
custom,hunter,18,652,999,1129564,42149,1,0,18,9
custom,hunter,19,380,537,604737,38075,1,0,22,7
custom,hunter,20,296,599,656048,47796,1,0,13,7
custom,hunter,21,338,485,539151,38917,1,0,11,7
custom,hunter,22,237,341,386735,39774,1,0,18,9
custom,hunter,23,442,863,971319,41637,1,0,10,4
custom,hunter,24,219,462,508921,44558,0,1,7,22
custom,hunter,25,303,804,841558,54057,0,1,8,7
custom,hunter,26,525,1129,1273407,45936,1,0,12,11
custom,hunter,27,225,369,417924,38124,1,0,14,21
custom,hunter,28,513,1323,1464011,53387,1,0,11,7
custom,hunter,29,194,365,409694,40.71,1,0,10,20
custom,hunter,30,311,515,572378,39776,1,0,14,6
custom,hunter,31,150,253,284178,38666,1,0,26,21
custom,hunter,32,606,1012,1145486,37462,0,1,8,22
custom,hunter,33,410,722,817745,38723,0,1,7,16
custom,hunter,34,291,398,446996,38114,0,1,22,10
custom,hunter,35,342,571,634179,40101,1,0,13,4
custom,hunter,36,338,453,512343,36085,1,0,15,17
custom,hunter,37,226,414,462341,38879,0,1,7,18
custom,hunter,38,1110,1500,1703546,33231,0,0,11,15
