move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.12,40,40,40
3,0.0109,0.0109,0.15,39,40,39
5,0.0109,0.0109,0.1,39,40,39
7,0.0109,0.0109,0.18,39,40,39
9,0.0,0.0,0.16,38,39,39
11,0.0,0.0136,0.08,38,38,38
13,0.0,0.0,0.14,37,37,37
15,0.0,0.0,0.14,37,37,37
17,0.0,0.0136,0.11,37,37,37
19,0.0109,0.0109,0.14,36,37,36
21,0.0109,0.0109,0.08,36,37,36
23,0.0109,0.0109,0.19,36,37,36
25,-0.0435,-0.0435,0.11,35,36,36
27,-0.0109,0.0163,0.12,34,36,35
29,-0.0109,0.0163,0.18,34,36,35
31,-0.0652,-0.0652,0.12,33,35,35
33,-0.0652,-0.0652,0.18,33,35,35
35,-0.0652,-0.038,0.21,33,35,35
37,-0.0652,-0.0516,0.12,33,35,35
39,-0.0674,-0.0674,0.18,33,35,35
41,-0.1217,-0.1217,0.12,33,34,35
43,-0.1217,-0.1217,0.18,33,34,35
45,-0.1217,-0.0946,0.09,32,33,34
47,-0.0326,-0.0326,0.06,32,33,33
49,-0.0326,-0.0054,0.16,32,33,33
51,-0.0652,-0.0652,0.16,31,32,33
53,-0.0674,-0.0674,0.19,31,32,33
55,-0.0326,-0.0326,0.19,31,32,32
57,-0.0326,-0.0326,0.16,31,32,32
59,-0.0,0.0272,0.13,30,32,31
61,-0.087,-0.0598,0.21,29,31,31
63,-0.087,-0.087,0.07,29,31,31
65,-0.087,-0.0598,0.31,29,31,31
67,-0.0326,-0.0054,0.14,28,31,30
69,-0.0326,-0.0326,0.07,28,31,30
71,-0.0326,-0.019,0.07,28,30,29
73,-0.0326,-0.0326,0.18,28,30,29
75,-0.0326,-0.0326,0.21,28,30,29
77,-0.0913,-0.0913,0.19,27,29,29
79,-0.0543,-0.0272,0.04,27,29,28
81,-0.0543,-0.0272,0.07,27,29,28
83,-0.0543,-0.0543,0.07,27,29,28
85,-0.0543,-0.0272,0.11,27,29,28
87,-0.0543,-0.0543,0.11,27,29,28
89,-0.0543,-0.0543,0.11,27,29,28
91,-0.0543,-0.0272,0.15,27,29,28
93,-0.0891,-0.0891,0.19,27,28,28
95,-0.0891,-0.0891,0.07,27,28,28
97,-0.0891,-0.0891,0.15,27,28,28
99,-0.0891,-0.0891,0.19,27,28,28
101,-0.0891,-0.062,0.15,27,28,28
