move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.25,40,40,40
2,0.0,0.0,0.25,40,40,40
4,0.0,0.0,0.03,40,40,40
6,0.0,0.0,0.13,39,39,39
8,0.0326,0.0326,0.16,38,39,38
10,0.0326,0.0326,0.13,38,39,38
12,0.0109,0.0109,0.19,36,38,37
14,0.0109,0.0109,0.11,36,38,37
16,-0.0435,-0.0435,0.14,35,37,37
18,0.0435,0.0435,0.17,35,37,36
20,0.0435,0.0435,0.2,35,37,36
22,0.0435,0.0435,0.09,34,36,35
24,0.0435,0.0435,0.12,34,36,35
26,0.0435,0.0435,0.18,34,36,35
28,0.0543,0.0543,0.09,33,36,34
30,0.0543,0.0543,0.06,33,36,34
32,0.0543,0.0543,0.12,33,35,33
34,0.0435,0.0435,0.09,32,34,33
36,-0.0435,-0.0435,0.06,31,33,33
38,-0.0435,-0.0435,0.1,31,33,33
40,-0.0435,-0.0435,0.19,31,33,33
42,-0.0413,-0.0413,0.13,31,33,33
44,-0.0326,-0.019,0.1,30,33,32
46,0.0022,0.0022,0.17,30,33,31
48,-0.0,-0.0,0.07,30,33,31
50,-0.0,-0.0,0.13,30,33,31
52,-0.0,-0.0,0.1,30,33,31
54,-0.0,-0.0,0.17,30,33,31
56,-0.0,-0.0,0.17,30,33,31
58,-0.0326,-0.0326,0.23,30,32,31
60,-0.0326,-0.0326,0.2,30,32,31
62,-0.0326,-0.0326,0.13,30,32,31
64,-0.0674,-0.0674,0.17,29,31,31
66,-0.0109,-0.0109,0.17,29,31,30
68,-0.0109,-0.0109,0.21,29,31,30
70,-0.0109,-0.0109,0.21,29,31,30
72,-0.1196,-0.1196,0.21,28,30,30
74,-0.1196,-0.1196,0.07,28,30,30
76,-0.1196,-0.1196,0.14,28,30,30
78,-0.1217,-0.1217,0.18,28,30,30
80,-0.1239,-0.1103,0.25,28,29,29
82,-0.1217,-0.1217,0.15,27,28,28
84,-0.1217,-0.1217,0.11,27,28,28
86,-0.1217,-0.1217,0.15,27,28,28
88,-0.1217,-0.1217,0.07,27,28,28
90,-0.1217,-0.1217,0.19,27,28,28
92,-0.1217,-0.1217,0.15,27,28,28
94,-0.1239,-0.1239,0.11,27,28,28
96,-0.1217,-0.1217,0.15,26,27,27
98,-0.1217,-0.1217,0.19,26,27,27
100,-0.1217,-0.1217,0.31,26,27,27
102,-0.0891,-0.0891,0.12,25,27,26
104,-0.0891,-0.0891,0.12,25,27,26
106,-0.1435,-0.1435,0.12,24,26,26
108,-0.1435,-0.1299,0.25,24,26,26
110,-0.1457,-0.1457,0.17,24,26,26
112,-0.1457,-0.1457,0.08,24,26,26
