move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.1,40,40,40
2,0.0,0.0,0.25,40,40,40
4,0.0,0.0,0.12,40,40,40
6,0.0,0.0136,0.0,40,40,40
8,0.0,0.0,0.25,40,40,40
10,0.0,0.0,0.1,40,40,40
12,-0.0109,-0.0109,0.15,39,39,40
14,-0.0543,-0.0543,0.19,37,38,39
16,-0.0543,-0.0543,0.22,37,38,39
18,-0.0543,-0.0543,0.19,37,38,39
20,-0.0543,-0.0543,0.19,37,38,39
22,-0.0543,-0.0543,0.14,37,38,39
24,-0.0543,-0.0543,0.24,37,38,39
26,-0.0543,-0.0543,0.14,37,38,39
28,-0.0543,-0.0543,0.08,37,38,39
30,-0.0543,-0.0408,0.08,37,38,39
32,-0.0543,-0.0543,0.14,37,38,39
34,-0.0543,-0.0543,0.14,37,38,39
36,-0.0891,-0.0891,0.05,37,37,39
38,-0.0326,-0.0326,0.19,37,37,38
40,-0.0326,-0.0326,0.14,37,37,38
42,-0.0326,-0.0326,0.14,37,37,38
44,-0.1196,-0.106,0.19,36,36,38
46,-0.1522,-0.1522,0.11,35,35,38
48,-0.0435,-0.0435,0.17,35,35,37
50,0.0109,0.0109,0.11,35,35,36
52,0.0109,0.0109,0.23,35,35,36
54,0.0109,0.0109,0.14,35,35,36
56,0.0109,0.0109,0.2,35,35,36
58,-0.0978,-0.0978,0.12,34,34,36
60,-0.0978,-0.0978,0.18,34,34,36
62,-0.1,-0.1,0.18,34,34,36
64,0.0109,0.0109,0.18,34,34,35
66,0.0109,0.0109,0.15,34,34,35
68,0.0109,0.0109,0.09,34,34,35
70,-0.0022,-0.0022,0.21,33,33,35
72,0.0,0.0,0.18,33,33,35
74,0.0,0.0,0.12,33,33,35
76,0.0,0.0,0.33,33,33,35
78,0.0,0.0,0.18,33,33,35
80,0.0,0.0,0.24,33,33,35
82,0.0,0.0,0.21,33,33,35
84,0.0565,0.0565,0.16,32,33,34
86,0.0674,0.081,0.12,32,33,33
88,0.0674,0.0674,0.16,32,33,33
90,0.0674,0.0674,0.09,32,33,33
92,0.0674,0.0674,0.22,32,33,33
94,0.0783,0.0783,0.23,31,33,32
96,0.0783,0.0783,0.19,31,33,32
98,0.0783,0.0783,0.13,31,33,32
100,0.0783,0.0783,0.1,31,33,32
102,0.0783,0.0783,0.06,31,33,32
104,0.0783,0.0783,0.19,31,33,32
106,0.0783,0.0783,0.16,31,33,32
108,0.0783,0.0783,0.06,31,33,32
110,0.0783,0.0783,0.26,31,33,32
112,0.1109,0.1109,0.17,30,33,31
114,0.1109,0.1109,0.1,30,33,31
116,0.1109,0.1109,0.13,30,33,31
118,0.1109,0.1109,0.23,30,33,31
120,0.1109,0.1109,0.2,30,33,31
122,0.1109,0.1109,0.1,30,33,31
124,0.1109,0.1109,0.1,30,33,31
126,0.1109,0.1109,0.23,30,33,31
128,0.1435,0.1435,0.24,29,33,30
130,0.1435,0.1435,0.14,29,33,30
132,0.1435,0.1435,0.14,29,33,30
134,0.1435,0.1435,0.1,29,33,30
136,0.1391,0.1505,0.1,29,33,30
138,0.1739,0.1739,0.21,28,33,29
140,0.1739,0.1739,0.25,28,33,29
142,0.1739,0.1739,0.18,28,33,29
144,0.1739,0.1739,0.07,28,33,29
146,0.1739,0.1739,0.21,28,33,29
148,0.1739,0.1875,0.25,28,33,29
150,0.1739,0.1739,0.14,28,33,29
152,0.1739,0.1739,0.18,28,33,29
154,0.1739,0.1739,0.29,28,33,29
156,0.1739,0.1739,0.18,28,33,29
158,0.1739,0.1739,0.21,28,33,29
160,0.1391,0.1391,0.25,28,32,29
162,0.1283,0.1283,0.11,28,31,29
164,0.1848,0.1848,0.11,28,31,28
166,0.1848,0.1848,0.21,28,31,28
168,0.1848,0.1984,0.21,28,31,28
170,0.1848,0.1848,0.14,28,31,28
172,0.1848,0.1848,0.25,28,31,28
174,0.1848,0.1848,0.18,28,31,28
176,0.1848,0.1848,0.25,28,31,28
178,0.1848,0.1848,0.21,28,31,28
180,0.1826,0.1826,0.25,28,31,28
182,0.1174,0.1174,0.15,27,29,28
184,0.1174,0.1174,0.26,27,29,28
186,0.0848,0.0848,0.19,27,28,28
188,0.0848,0.0848,0.15,27,28,28
190,0.0848,0.0848,0.11,27,28,28
192,0.0848,0.0848,0.07,27,28,28
194,0.1739,0.1739,0.22,27,28,27
196,0.1739,0.1875,0.26,27,28,27
198,0.1739,0.1739,0.04,27,28,27
200,0.1739,0.1875,0.19,27,28,27
202,0.087,0.087,0.27,26,27,27
204,0.087,0.087,0.27,26,27,27
206,-0.0217,-0.0217,0.4,25,26,27
208,-0.0109,-0.0109,0.2,25,26,26
210,-0.0109,0.0027,0.16,25,26,26
212,-0.0217,-0.0217,0.46,24,25,26
214,-0.0217,-0.0082,0.17,24,25,26
216,-0.0217,-0.0217,0.21,24,25,26
218,-0.0217,-0.0217,0.25,24,25,26
220,-0.0217,-0.0217,0.29,24,25,26
222,-0.0217,-0.0217,0.25,24,25,26
224,-0.0217,-0.0217,0.08,24,25,26
226,-0.0239,-0.0239,0.12,24,25,26
228,-0.0239,-0.0239,0.21,24,25,26
230,-0.0239,-0.0103,0.17,24,25,26
232,-0.0239,-0.0239,0.33,24,25,26
234,-0.0565,-0.0565,0.38,24,24,26
236,-0.0136,-0.0136,0.17,24,24,25
238,-0.0136,-0.0136,0.17,24,24,25
240,-0.0136,-0.0136,0.33,24,24,25
242,-0.0136,0.0,0.17,24,24,25
244,-0.0136,-0.0136,0.29,24,24,25
246,-0.0158,-0.0158,0.21,24,24,25
248,-0.0136,-0.0136,0.13,23,23,24
250,-0.0136,-0.0136,0.26,23,23,24
252,-0.0136,0.0,0.17,23,23,24
254,-0.0245,-0.0245,0.18,22,22,24
256,-0.0245,-0.0245,0.23,22,22,24
258,-0.0245,-0.0109,0.14,22,22,24
260,-0.0245,-0.0245,0.14,22,22,24
262,-0.0245,-0.0109,0.18,22,22,24
264,-0.0245,-0.0245,0.32,22,22,24
266,-0.0245,-0.0245,0.18,22,22,24
268,-0.013,-0.0152,0.18,22,22,24
270,-0.0674,-0.0674,0.14,21,21,24
272,-0.0674,-0.0674,0.33,21,21,24
274,-0.081,-0.0674,0.52,21,21,24
276,-0.1054,-0.0918,0.29,21,20,24
278,-0.0918,-0.0918,0.33,21,20,24
280,-0.0918,-0.0647,0.29,21,20,24
282,-0.1598,-0.1598,0.24,21,19,24
284,-0.1924,-0.1788,0.19,21,18,24
286,-0.1924,-0.1788,0.33,21,18,24
288,-0.1967,-0.1967,0.33,21,18,24
290,-0.1967,-0.1832,0.19,21,18,24
292,-0.1967,-0.1967,0.14,21,18,24
294,-0.1924,-0.1924,0.33,21,18,24
296,-0.1924,-0.1788,0.29,21,18,24
298,-0.1924,-0.1924,0.33,21,18,24
300,-0.1924,-0.1924,0.14,21,18,24
302,-0.1902,-0.1902,0.33,21,18,24
304,-0.2038,-0.1902,0.33,21,18,24
306,-0.2038,-0.1902,0.24,21,18,24
308,-0.2038,-0.2038,0.19,21,18,24
310,-0.2038,-0.2038,0.43,21,18,24
312,-0.2038,-0.2038,0.24,21,18,24
314,-0.2038,-0.2038,0.19,21,18,24
316,-0.2038,-0.2038,0.19,21,18,24
318,-0.2038,-0.2038,0.29,21,18,24
320,-0.2582,-0.2582,0.43,21,17,24
322,-0.2582,-0.2582,0.19,21,17,24
324,-0.2582,-0.2582,0.24,21,17,24
326,-0.2446,-0.2582,0.29,21,17,24
328,-0.2582,-0.2582,0.38,21,17,24
330,-0.2446,-0.2582,0.19,21,17,24
332,-0.2446,-0.2582,0.33,21,17,24
334,-0.2446,-0.2582,0.19,21,17,24
336,-0.2582,-0.2582,0.14,21,17,24
338,-0.2582,-0.2582,0.24,21,17,24
340,-0.2582,-0.2582,0.24,21,17,24
342,-0.2446,-0.2582,0.24,21,17,24
344,-0.2582,-0.2582,0.24,21,17,24
346,-0.2582,-0.2582,0.29,21,17,24
348,-0.2582,-0.2582,0.14,21,17,24
350,-0.2582,-0.2446,0.24,21,17,24
352,-0.2582,-0.2582,0.33,21,17,24
354,-0.2582,-0.2582,0.14,21,17,24
356,-0.2582,-0.2582,0.14,21,17,24
358,-0.269,-0.269,0.25,20,16,24
360,-0.269,-0.269,0.2,20,16,24
362,-0.269,-0.2554,0.35,20,16,24
364,-0.269,-0.269,0.25,20,16,24
366,-0.269,-0.269,0.35,20,16,24
368,-0.269,-0.269,0.25,20,16,24
370,-0.269,-0.2554,0.4,20,16,24
372,-0.269,-0.269,0.2,20,16,24
374,-0.2668,-0.2668,0.25,20,16,24
376,-0.2668,-0.2533,0.3,20,16,24
378,-0.3016,-0.3016,0.2,20,15,24
380,-0.3016,-0.288,0.15,20,15,24
382,-0.3016,-0.3016,0.2,20,15,24
384,-0.2908,-0.2908,0.32,19,15,23
386,-0.2908,-0.2908,0.37,19,15,23
388,-0.2908,-0.2908,0.32,19,15,23
390,-0.2929,-0.2793,0.47,19,14,22
392,-0.2929,-0.2929,0.42,19,14,22
394,-0.2908,-0.2772,0.47,19,14,22
396,-0.2908,-0.2772,0.16,19,14,22
398,-0.2886,-0.2886,0.32,19,14,22
400,-0.2886,-0.2886,0.21,19,14,22
402,-0.2886,-0.2886,0.11,19,14,22
404,-0.2777,-0.2777,0.22,18,14,21
406,-0.2777,-0.2641,0.28,18,14,21
408,-0.2777,-0.2777,0.28,18,14,21
410,-0.2777,-0.2777,0.22,18,14,21
412,-0.2777,-0.2641,0.17,18,14,21
414,-0.2777,-0.2641,0.39,18,14,21
416,-0.2777,-0.2777,0.22,18,14,21
418,-0.2533,-0.2668,0.24,17,14,20
420,-0.2533,-0.2533,0.24,17,14,20
422,-0.2533,-0.2533,0.47,17,14,20
424,-0.2533,-0.2533,0.24,17,14,20
426,-0.2533,-0.2533,0.29,17,14,20
428,-0.2533,-0.2668,0.12,17,14,20
430,-0.2533,-0.2668,0.29,17,14,20
432,-0.2533,-0.2668,0.24,17,14,20
434,-0.2533,-0.2533,0.29,17,14,20
436,-0.2533,-0.2533,0.29,17,14,20
438,-0.2533,-0.2533,0.47,17,14,20
440,-0.2533,-0.2668,0.18,17,14,20
442,-0.2533,-0.2668,0.18,17,14,20
444,-0.2533,-0.2668,0.35,17,14,20
446,-0.2424,-0.2424,0.19,16,14,19
448,-0.2098,-0.2098,0.4,15,14,18
450,-0.2424,-0.2424,0.47,15,13,18
452,-0.2424,-0.2424,0.27,15,13,18
454,-0.2424,-0.2424,0.27,15,13,18
456,-0.2424,-0.2424,0.07,15,13,18
458,-0.2424,-0.2424,0.27,15,13,18
460,-0.2424,-0.2288,0.33,15,13,18
462,-0.2424,-0.2424,0.4,15,13,18
464,-0.2424,-0.2424,0.27,15,13,18
466,-0.2315,-0.2315,0.21,14,13,17
468,-0.2315,-0.2315,0.36,14,13,17
470,-0.2859,-0.2995,0.36,14,12,17
472,-0.2859,-0.2995,0.29,14,12,17
474,-0.2859,-0.2995,0.36,14,12,17
476,-0.2859,-0.2859,0.36,14,12,17
478,-0.3207,-0.3207,0.54,13,11,17
480,-0.3228,-0.3228,0.31,13,11,17
482,-0.3228,-0.3228,0.31,13,11,17
484,-0.3228,-0.3364,0.23,13,11,17
486,-0.3228,-0.3228,0.23,13,11,17
488,-0.3228,-0.3228,0.46,13,11,17
490,-0.3207,-0.3207,0.46,13,11,17
492,-0.3554,-0.3418,0.54,13,10,17
494,-0.3533,-0.3533,0.38,13,10,17
496,-0.3554,-0.3554,0.46,13,10,17
498,-0.3554,-0.3418,0.38,13,10,17
500,-0.3554,-0.3554,0.38,13,10,17
502,-0.3554,-0.3418,0.46,13,10,17
504,-0.3554,-0.3554,0.46,13,10,17
506,-0.3554,-0.3554,0.46,13,10,17
508,-0.3554,-0.369,0.62,13,10,17
510,-0.3554,-0.3554,0.54,13,10,17
512,-0.3554,-0.369,0.31,13,10,17
514,-0.3554,-0.369,0.38,13,10,17
516,-0.3554,-0.3418,0.15,13,10,17
518,-0.3533,-0.3533,0.62,13,10,17
520,-0.3533,-0.3533,0.54,13,10,17
522,-0.3533,-0.3397,0.31,13,10,17
524,-0.3533,-0.3533,0.38,13,10,17
526,-0.3533,-0.3533,0.31,13,10,17
528,-0.3533,-0.3397,0.31,13,10,17
530,-0.3533,-0.3261,0.23,13,10,17
532,-0.3511,-0.3511,0.38,13,10,17
534,-0.3511,-0.3239,0.23,13,10,17
