move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.23,40,40,40
2,0.0,0.0,0.15,40,40,40
4,0.0326,0.0326,0.1,39,40,39
6,0.0326,0.0326,0.08,38,39,38
8,0.0326,0.0326,0.08,37,38,37
10,0.0217,0.0217,0.22,36,37,37
12,0.0217,0.0217,0.08,36,37,37
14,0.0217,0.0217,0.11,36,37,37
16,0.0543,0.0543,0.14,35,37,36
18,0.1087,0.1087,0.11,35,37,35
20,0.0543,0.0543,0.09,34,36,35
22,0.0543,0.0543,0.18,34,36,35
24,0.0891,0.0891,0.18,33,36,34
26,0.0435,0.0435,0.1,31,35,33
28,0.0435,0.0435,0.13,31,35,33
30,0.0435,0.0435,0.06,31,35,33
32,0.0435,0.0435,0.1,30,34,32
34,0.0435,0.0435,0.23,30,34,32
36,0.0435,0.0435,0.2,30,34,32
38,0.0435,0.0435,0.23,30,34,32
40,0.0435,0.0435,0.1,30,34,32
42,0.0457,0.0457,0.17,30,34,32
44,0.1,0.1272,0.14,29,34,31
46,0.1,0.1,0.17,29,34,31
48,0.0978,0.0978,0.28,29,34,31
50,0.087,0.087,0.21,28,33,31
52,0.087,0.087,0.32,28,33,31
54,0.087,0.087,0.18,28,33,31
56,0.0848,0.0848,0.21,28,33,31
58,0.0848,0.0848,0.25,28,33,31
60,0.0848,0.0848,0.21,28,32,30
62,0.0848,0.0984,0.18,28,32,30
64,0.0522,0.0522,0.18,28,31,30
66,0.0196,0.0196,0.14,28,30,30
68,-0.013,-0.013,0.25,28,29,30
70,0.0978,0.0978,0.11,28,29,29
72,0.0978,0.0978,0.21,28,29,29
74,0.0957,0.1092,0.32,28,29,29
76,0.1087,0.1087,0.15,27,29,28
78,0.1087,0.1087,0.22,27,29,28
80,0.1,0.1,0.23,26,28,28
82,0.1,0.1136,0.15,26,28,28
84,0.1,0.1,0.27,26,28,28
86,0.1,0.1,0.23,26,28,28
88,0.1326,0.1462,0.19,26,28,27
90,0.1304,0.1304,0.24,25,27,26
92,0.1304,0.1304,0.16,25,27,26
94,0.1196,0.1196,0.29,24,26,26
96,0.1217,0.1217,0.33,24,26,26
98,0.0978,0.0978,0.09,22,25,25
100,0.0978,0.1114,0.14,22,25,25
102,0.0978,0.0978,0.14,22,25,25
104,0.0978,0.0978,0.23,22,24,24
106,0.0978,0.0978,0.23,22,24,24
108,0.0978,0.0978,0.09,22,24,24
110,0.0978,0.0978,0.14,22,24,24
112,0.0978,0.0978,0.05,22,24,24
114,0.0978,0.0978,0.18,22,24,24
116,0.0978,0.0978,0.14,22,24,24
118,0.0978,0.0978,0.09,22,24,24
120,0.0978,0.0978,0.14,22,24,24
122,0.0978,0.0978,0.14,22,24,24
124,0.0978,0.0978,0.05,22,24,24
126,0.0978,0.0978,0.18,22,24,24
128,0.0978,0.0978,0.18,22,24,24
130,0.0978,0.0978,0.14,22,24,24
132,0.0978,0.0978,0.23,22,24,24
134,0.0978,0.0978,0.36,22,24,24
