move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.05,40,40,40
2,0.0,0.0,0.07,40,40,40
4,0.0,0.0,0.15,40,40,40
6,0.0435,0.0435,0.08,38,40,38
8,0.0435,0.0435,0.05,38,40,38
10,-0.0109,-0.0109,0.14,37,39,38
12,-0.0109,-0.0109,0.11,37,39,38
14,-0.0109,-0.0109,0.14,37,39,38
16,-0.0109,-0.0109,0.16,37,39,38
18,-0.0109,-0.0109,0.06,36,38,37
20,-0.0087,-0.0087,0.14,36,38,37
22,0.0239,0.0239,0.2,35,38,36
24,0.013,0.013,0.15,34,37,36
26,0.013,0.013,0.18,34,37,36
28,0.013,0.013,0.21,34,37,36
30,0.0783,0.0783,0.12,33,37,34
32,0.0783,0.0783,0.18,33,37,34
34,0.0783,0.0783,0.03,33,37,34
36,0.0783,0.0783,0.15,33,37,34
38,0.0783,0.0783,0.18,33,37,34
40,0.0783,0.0918,0.12,33,37,34
42,0.0565,0.0565,0.06,31,36,33
44,-0.0326,-0.0326,0.1,30,35,33
46,-0.0326,-0.0326,0.23,30,35,33
48,-0.0326,-0.0326,0.37,30,35,33
50,-0.0326,-0.0326,0.03,30,35,33
52,-0.0435,-0.0299,0.1,29,34,33
54,-0.0435,-0.0435,0.28,29,34,33
56,-0.0435,-0.0435,0.34,29,34,33
58,-0.0109,-0.0109,0.07,29,34,32
60,-0.0109,0.0027,0.24,29,34,32
62,-0.0109,-0.0109,0.28,29,34,32
64,-0.0087,-0.0087,0.14,29,34,32
66,0.0457,0.0457,0.18,28,34,31
68,0.1543,0.1543,0.15,27,34,30
70,0.1543,0.1543,0.15,27,34,30
72,0.187,0.187,0.15,26,34,29
74,0.2196,0.2196,0.2,25,34,28
76,0.2196,0.2196,0.24,25,34,28
78,0.3065,0.3065,0.22,23,34,26
80,0.3174,0.3174,0.14,22,34,25
82,0.4043,0.4043,0.27,22,34,24
84,0.4043,0.4043,0.09,22,34,24
86,0.4043,0.4179,0.18,22,34,24
88,0.4043,0.4043,0.18,22,34,24
90,0.4043,0.4043,0.36,22,34,24
92,0.4913,0.5185,0.19,21,34,23
94,0.4804,0.4804,0.15,20,33,23
96,0.4804,0.4804,0.35,20,33,23
98,0.4804,0.4804,0.25,20,33,23
100,0.513,0.5266,0.25,20,33,22
102,0.5261,0.5261,0.42,19,33,21
104,0.5239,0.5239,0.11,19,33,21
106,0.5239,0.5239,0.11,19,33,21
108,0.5239,0.5239,0.32,19,33,21
110,0.5565,0.5701,0.28,18,33,20
112,0.5565,0.5565,0.33,18,33,20
114,0.5565,0.5565,0.28,18,33,20
116,0.5565,0.5565,0.22,18,33,20
118,0.5565,0.5565,0.28,18,33,20
120,0.5565,0.5565,0.28,18,33,20
122,0.5587,0.5587,0.39,18,33,20
124,0.5696,0.5832,0.24,17,33,19
126,0.5696,0.5967,0.35,17,33,19
128,0.5832,0.5832,0.35,17,33,19
130,0.6158,0.6293,0.31,16,33,18
132,0.6158,0.6429,0.31,16,33,18
134,0.6288,0.6152,0.27,15,33,17
136,0.6288,0.656,0.2,15,33,17
138,0.594,0.6076,0.29,14,32,17
140,0.594,0.594,0.43,14,32,17
142,0.6049,0.6321,0.15,13,32,16
144,0.6049,0.5913,0.31,13,32,16
146,0.6049,0.5913,0.23,13,32,16
148,0.6049,0.6049,0.38,13,32,16
150,0.6049,0.5913,0.23,13,32,16
152,0.6071,0.6207,0.38,13,32,16
154,0.6071,0.6342,0.31,13,32,16
156,0.6071,0.6207,0.31,13,32,16
158,0.594,0.594,0.67,12,31,16
160,0.594,0.6212,0.42,12,31,16
162,0.5832,0.5832,0.45,11,30,16
164,0.5832,0.5832,0.27,11,30,16
166,0.5832,0.5696,0.45,11,30,16
168,0.5832,0.6103,0.55,11,30,16
170,0.594,0.594,0.4,10,30,15
172,0.594,0.594,0.6,10,30,15
174,0.594,0.594,0.5,10,30,15
176,0.6266,0.6266,0.5,10,30,14
178,0.6266,0.6266,0.4,10,30,14
180,0.6592,0.6592,0.6,10,30,13
182,0.6592,0.6864,0.4,10,30,13
184,0.7136,0.7136,0.33,9,30,12
186,0.7136,0.7272,0.44,9,30,12
188,0.7136,0.7272,0.56,9,30,12
190,0.7136,0.7272,0.56,9,30,12
192,0.7136,0.7408,0.56,9,30,12
194,0.7136,0.7408,0.78,9,30,12
196,0.7136,0.7272,0.78,9,30,12
198,0.7136,0.7136,0.78,9,30,12
200,0.7136,0.7136,0.78,9,30,12
202,0.7136,0.7408,0.78,9,30,12
204,0.7136,0.7136,0.78,9,30,12
206,0.7136,0.7272,0.78,9,30,12
208,0.7136,0.7408,0.56,9,30,12
210,0.7136,0.7408,0.78,9,30,12
212,0.7136,0.7272,0.78,9,30,12
214,0.7136,0.7136,1.0,9,30,12
216,0.7136,0.7272,0.78,9,30,12
218,0.7136,0.7408,0.78,9,30,12
220,0.7136,0.7136,0.78,9,30,12
222,0.7136,0.7272,0.56,9,30,12
224,0.7136,0.7272,0.78,9,30,12
226,0.7462,0.7598,0.75,8,30,11
228,0.7462,0.7734,0.75,8,30,11
230,0.7462,0.7734,0.75,8,30,11
232,0.7462,0.7734,0.75,8,30,11
234,0.7484,0.7484,0.75,8,30,11
236,0.7592,0.7592,0.71,7,30,10
238,0.7592,0.7592,1.0,7,30,10
240,0.7592,0.7728,0.71,7,30,10
242,0.7592,0.7728,0.71,7,30,10
244,0.7592,0.7864,0.71,7,30,10
246,0.7571,0.7707,0.71,7,30,10
248,0.7571,0.7707,0.71,7,30,10
250,0.7571,0.7842,0.71,7,30,10
252,0.7571,0.7842,0.71,7,30,10
254,0.7571,0.7842,0.71,7,30,10
256,0.7571,0.7707,0.71,7,30,10
258,0.7571,0.7707,0.71,7,30,10
260,0.7571,0.7707,0.71,7,30,10
262,0.7571,0.7571,1.0,7,30,10
264,0.8136,0.8408,0.71,7,30,9
266,0.8136,0.8408,0.71,7,30,9
268,0.8136,0.8408,0.71,7,30,9
270,0.8136,0.8272,0.71,7,30,9
272,0.8136,0.8272,0.71,7,30,9
274,0.8136,0.8136,1.0,7,30,9
276,0.8136,0.8272,0.71,7,30,9
278,0.8136,0.8272,0.71,7,30,9
280,0.8136,0.8408,0.71,7,30,9
282,0.8136,0.8408,0.71,7,30,9
284,0.8136,0.8272,0.71,7,30,9
286,0.8136,0.8408,0.71,7,30,9
288,0.8136,0.8272,0.71,7,30,9
290,0.8136,0.8408,0.71,7,30,9
292,0.8136,0.8408,0.71,7,30,9
294,0.8136,0.8272,0.71,7,30,9
296,0.8136,0.8272,0.71,7,30,9
298,0.8136,0.8272,0.71,7,30,9
300,0.8136,0.8272,0.71,7,30,9
302,0.8136,0.8272,0.71,7,30,9
304,0.8136,0.8272,0.71,7,30,9
306,0.8136,0.8136,1.0,7,30,9
308,0.8136,0.8408,0.71,7,30,9
310,0.8136,0.8408,0.71,7,30,9
312,0.8136,0.8272,0.71,7,30,9
314,0.8136,0.8136,1.0,7,30,9
316,0.8136,0.8136,1.0,7,30,9
318,0.8136,0.8136,0.71,7,30,9
320,0.8158,0.8429,0.71,7,30,9
322,0.8158,0.8429,0.71,7,30,9
324,0.8158,0.8429,0.71,7,30,9
326,0.8158,0.8293,0.71,7,30,9
328,0.8158,0.8293,0.71,7,30,9
330,0.8158,0.8158,0.71,7,30,9
332,0.8158,0.8429,0.71,7,30,9
334,0.8158,0.8158,1.0,7,30,9
336,0.8158,0.8293,0.71,7,30,9
338,0.8158,0.8429,0.71,7,30,9
340,0.8158,0.8293,0.71,7,30,9
342,0.8158,0.8158,0.71,7,30,9
344,0.8158,0.8158,0.71,7,30,9
346,0.8158,0.8158,0.71,7,30,9
348,0.8158,0.8293,0.71,7,30,9
350,0.8158,0.8158,1.0,7,30,9
