move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.12,40,40,40
3,0.0,0.0136,0.17,40,40,40
5,0.0,0.0,0.23,39,39,39
7,0.0,0.0,0.31,39,39,39
9,0.0,0.0,0.21,39,39,39
11,0.0,0.0,0.26,39,39,39
13,-0.0543,-0.0272,0.18,38,38,39
15,-0.0543,-0.0408,0.16,38,38,39
17,-0.0543,-0.0543,0.21,38,38,39
19,-0.0543,-0.0543,0.29,38,38,39
21,-0.0543,-0.0272,0.08,38,38,39
23,-0.0543,-0.0408,0.16,37,37,38
25,-0.0543,-0.0543,0.08,36,36,37
27,-0.0543,-0.0408,0.08,36,36,37
29,-0.0543,-0.0272,0.17,36,36,37
31,-0.0543,-0.0543,0.11,35,35,36
33,-0.0543,-0.0543,0.2,35,35,36
35,-0.0543,-0.0272,0.24,34,34,35
37,-0.0543,-0.0543,0.24,34,34,35
39,-0.0543,-0.0543,0.09,34,34,35
41,-0.0543,-0.0543,0.26,34,34,35
43,-0.0543,-0.0543,0.24,34,34,35
45,-0.0543,-0.0272,0.21,34,34,35
47,-0.0543,-0.0543,0.09,34,34,35
49,-0.087,-0.087,0.18,33,33,35
51,-0.087,-0.087,0.16,32,32,34
53,-0.087,-0.0598,0.16,32,32,34
55,-0.0891,-0.0891,0.09,32,32,34
57,-0.1,-0.1,0.22,32,31,34
59,-0.1,-0.1,0.19,32,31,34
61,-0.1326,-0.1326,0.19,32,30,34
63,-0.1326,-0.1326,0.09,32,30,34
65,-0.1326,-0.1326,0.16,32,30,34
67,-0.1326,-0.1326,0.22,32,30,34
69,-0.1304,-0.1304,0.22,32,30,34
71,-0.1304,-0.1168,0.12,32,30,34
73,-0.1304,-0.1304,0.28,32,30,34
75,-0.1304,-0.1033,0.19,32,30,34
77,-0.1304,-0.1304,0.09,32,30,34
79,-0.1283,-0.1283,0.19,32,30,34
81,-0.1413,-0.1413,0.1,31,29,34
83,-0.1413,-0.1413,0.19,31,29,34
85,-0.1413,-0.1413,0.13,31,29,34
87,-0.1522,-0.1522,0.23,30,28,34
89,-0.1522,-0.1522,0.27,30,28,34
91,-0.1543,-0.1543,0.2,30,28,34
93,-0.0978,-0.0978,0.1,30,28,33
95,-0.0978,-0.0978,0.07,30,28,33
97,-0.0978,-0.0978,0.17,30,28,33
99,-0.0978,-0.0978,0.07,30,28,33
101,-0.0978,-0.0978,0.23,30,28,33
103,-0.0978,-0.0978,0.23,30,28,33
105,-0.0978,-0.0978,0.3,30,28,33
107,-0.1,-0.1,0.17,30,28,33
109,-0.1,-0.1,0.07,30,28,33
111,-0.1,-0.1,0.23,30,28,33
113,-0.1,-0.1,0.17,30,28,33
115,-0.1,-0.1,0.17,30,28,33
117,-0.1,-0.1,0.17,30,28,33
119,-0.1,-0.1,0.23,30,28,33
121,-0.1,-0.1,0.2,30,28,33
123,-0.1,-0.1,0.27,30,28,33
125,-0.1,-0.1,0.17,30,28,33
127,-0.1,-0.1,0.23,30,28,33
129,-0.1,-0.1,0.13,30,28,33
131,-0.1,-0.1,0.17,30,28,33
133,-0.1,-0.1,0.2,30,28,33
135,-0.1,-0.1,0.13,30,28,33
137,-0.1,-0.1,0.1,30,28,33
139,-0.1,-0.1,0.27,30,28,33
141,-0.1,-0.0728,0.23,30,28,33
143,-0.1,-0.1,0.17,30,28,33
145,-0.1,-0.1,0.1,30,28,33
147,-0.1,-0.1,0.17,30,28,33
149,-0.1,-0.1,0.1,30,28,33
151,-0.1,-0.1,0.17,30,28,33
153,-0.1326,-0.1326,0.13,30,27,33
155,-0.0217,-0.0217,0.23,30,27,32
157,-0.0217,-0.0217,0.17,30,27,32
159,-0.0217,-0.0217,0.2,30,27,32
161,-0.0217,-0.0217,0.2,30,27,32
163,-0.0326,-0.0326,0.21,29,26,32
165,-0.0326,-0.0326,0.1,29,26,32
167,-0.0326,-0.0326,0.17,29,26,32
169,-0.0326,-0.0326,0.21,29,26,32
171,0.0,0.0,0.14,29,26,31
173,-0.0109,-0.0109,0.11,28,25,31
175,0.0217,0.0217,0.15,27,25,30
177,-0.0891,-0.0891,0.04,26,24,30
179,-0.0891,-0.0891,0.19,26,24,30
181,-0.0761,-0.0761,0.15,26,24,29
183,-0.063,-0.0766,0.19,26,24,28
185,-0.0761,-0.0897,0.12,25,23,28
187,-0.0761,-0.0897,0.2,25,23,28
189,-0.087,-0.1005,0.25,24,22,28
191,-0.087,-0.087,0.12,24,22,28
193,-0.087,-0.1005,0.12,24,22,28
195,-0.087,-0.1005,0.12,24,22,28
197,-0.087,-0.1005,0.33,24,22,28
199,-0.0891,-0.1027,0.25,24,22,28
201,-0.0326,-0.0326,0.33,24,22,27
203,-0.019,-0.0326,0.12,24,22,27
205,-0.019,-0.019,0.17,24,22,27
207,-0.0212,-0.0348,0.12,24,22,27
209,-0.0212,-0.0348,0.12,24,22,27
211,-0.0212,-0.0348,0.12,24,22,27
213,-0.0212,-0.0212,0.08,24,22,27
215,-0.019,-0.0326,0.17,24,22,27
217,0.0158,0.0158,0.42,24,22,26
219,0.0158,0.0022,0.08,24,22,26
221,0.0701,0.0701,0.22,23,22,25
223,-0.019,-0.019,0.5,22,21,25
225,-0.019,-0.019,0.09,22,21,25
227,-0.019,-0.019,0.05,22,21,25
229,-0.019,-0.019,0.32,22,21,25
231,-0.019,-0.0326,0.18,22,21,25
233,-0.019,-0.0326,0.23,22,21,25
235,-0.019,-0.0326,0.27,22,21,25
237,-0.0212,-0.0348,0.32,22,21,25
239,-0.0212,-0.0348,0.32,22,21,25
241,-0.0538,-0.0538,0.18,22,20,25
243,-0.0674,-0.081,0.27,22,20,25
245,-0.0652,-0.0788,0.09,22,19,24
247,-0.0652,-0.0652,0.18,22,19,24
249,-0.0516,-0.0652,0.14,22,19,24
251,-0.0516,-0.0652,0.23,22,19,24
253,-0.0864,-0.0728,0.43,21,18,24
255,-0.0864,-0.0864,0.19,21,18,24
257,-0.0864,-0.0728,0.29,21,18,24
259,-0.0842,-0.0978,0.19,21,18,24
261,-0.0734,-0.087,0.15,20,18,23
263,-0.0734,-0.087,0.15,20,18,23
265,-0.0734,-0.0734,0.25,20,18,23
267,-0.0625,-0.0625,0.37,19,18,22
269,-0.0299,-0.0435,0.17,18,18,21
271,-0.019,-0.019,0.53,17,18,20
273,-0.0755,-0.0891,0.25,16,17,20
275,-0.0755,-0.0755,0.25,16,17,20
277,-0.0755,-0.062,0.19,16,17,20
279,-0.0755,-0.0755,0.31,16,17,20
281,-0.0755,-0.0755,0.19,16,17,20
283,-0.0755,-0.0755,0.38,16,17,20
285,-0.0755,-0.062,0.06,16,17,20
287,-0.1082,-0.1082,0.19,16,16,20
289,-0.1082,-0.1217,0.12,16,16,20
291,-0.106,-0.106,0.31,16,16,20
293,-0.1196,-0.1196,0.31,16,16,20
295,-0.1196,-0.106,0.07,15,15,19
297,-0.1217,-0.1353,0.0,15,15,19
299,-0.1522,-0.1658,0.27,15,14,19
301,-0.1522,-0.1658,0.27,15,14,19
303,-0.1522,-0.1522,0.33,15,14,19
305,-0.1848,-0.1848,0.07,15,13,19
307,-0.1848,-0.1848,0.2,15,13,19
309,-0.1984,-0.212,0.07,15,13,19
311,-0.1848,-0.1848,0.27,15,13,19
313,-0.1848,-0.1848,0.47,15,13,19
315,-0.1848,-0.1984,0.2,15,13,19
317,-0.1848,-0.1984,0.13,15,13,19
319,-0.1848,-0.1712,0.27,15,13,19
321,-0.1848,-0.1984,0.27,15,13,19
323,-0.1848,-0.1848,0.27,15,13,19
325,-0.1848,-0.1848,0.27,15,13,19
327,-0.2174,-0.2174,0.07,15,12,19
329,-0.2636,-0.2636,0.33,15,11,19
331,-0.2636,-0.2772,0.0,15,11,19
333,-0.2636,-0.2772,0.13,15,11,19
335,-0.2772,-0.2772,0.33,15,11,19
337,-0.2772,-0.25,0.13,15,11,19
339,-0.2636,-0.2772,0.2,15,11,19
