move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0136,0.1,40,40,40
3,0.0,0.0136,0.1,40,40,40
5,-0.0348,-0.0348,0.15,39,39,40
7,0.0217,0.0217,0.1,39,39,39
9,0.0217,0.0217,0.13,39,39,39
11,-0.0109,-0.0109,0.03,38,38,39
13,-0.013,-0.013,0.18,38,38,39
15,-0.0109,-0.0109,0.22,37,36,37
17,-0.0109,0.0163,0.16,37,36,37
19,-0.0109,-0.0109,0.14,37,36,37
21,-0.0109,-0.0109,0.14,37,36,37
23,-0.0109,-0.0109,0.22,37,36,37
25,-0.0109,-0.0109,0.11,37,36,37
27,-0.0109,-0.0109,0.19,37,36,37
29,0.013,0.0266,0.11,35,35,36
31,0.0087,0.0087,0.14,35,35,36
33,0.0109,0.0245,0.2,35,34,35
35,0.0109,0.0109,0.15,34,33,34
37,-0.0217,-0.0082,0.18,33,32,34
39,-0.0217,-0.0217,0.06,33,32,34
41,-0.0217,-0.0217,0.15,33,32,34
43,0.0109,0.0245,0.21,33,32,33
45,0.0217,0.0217,0.23,31,31,31
47,0.0217,0.0217,0.19,31,31,31
49,0.0217,0.0353,0.26,31,31,31
51,0.0217,0.0353,0.1,31,31,31
53,0.0217,0.0217,0.13,31,31,31
55,0.0217,0.0217,0.06,31,31,31
57,0.0217,0.0217,0.19,31,31,31
59,-0.0652,-0.0652,0.17,30,30,31
61,-0.0652,-0.0652,0.13,30,30,31
63,-0.0652,-0.0516,0.13,30,30,31
65,-0.0652,-0.0652,0.2,30,30,31
67,-0.0652,-0.0652,0.07,30,30,31
69,-0.0326,-0.0326,0.14,29,30,30
71,-0.0543,-0.0543,0.19,27,29,29
73,-0.0652,-0.0652,0.12,26,28,29
75,-0.0652,-0.0652,0.23,26,28,29
77,-0.0652,-0.0652,0.27,26,28,29
79,-0.0652,-0.0652,0.23,26,28,29
81,-0.0652,-0.0652,0.23,26,28,29
83,-0.0652,-0.0652,0.15,26,28,29
85,-0.0652,-0.0652,0.23,26,28,29
87,-0.0652,-0.038,0.19,26,28,29
89,-0.0652,-0.038,0.08,26,28,29
91,-0.0652,-0.038,0.23,26,28,29
93,-0.0652,-0.0652,0.27,26,28,29
95,-0.0761,-0.0489,0.2,25,27,29
97,-0.0783,-0.0511,0.28,25,27,29
99,-0.0783,-0.0783,0.24,25,27,29
101,0.0109,0.0109,0.32,25,27,28
103,0.0109,0.0245,0.16,25,27,28
105,0.0109,0.0109,0.12,25,27,28
107,0.0109,0.0109,0.2,25,27,28
109,0.0109,0.038,0.16,25,27,28
111,0.0109,0.0109,0.2,25,27,28
113,0.0109,0.0245,0.36,25,26,27
115,0.0109,0.0109,0.2,25,26,27
117,0.0,0.0,0.29,24,25,27
119,0.0,0.0,0.21,24,25,27
121,0.0,0.0,0.12,24,25,27
123,0.0,0.0,0.17,24,25,27
125,-0.0022,-0.0022,0.25,24,25,27
127,-0.0022,-0.0022,0.17,24,25,27
129,-0.0348,-0.0076,0.17,24,24,27
131,-0.0674,-0.0674,0.17,24,23,27
133,0.0457,0.0457,0.17,24,23,26
135,0.0457,0.0728,0.21,24,23,26
137,0.0565,0.0565,0.22,23,23,25
139,0.0565,0.0565,0.22,23,23,25
141,0.0891,0.1163,0.41,22,23,24
143,0.0891,0.1163,0.32,22,23,24
145,0.1435,0.1842,0.24,21,23,23
147,0.1571,0.1571,0.19,21,23,23
149,0.1571,0.1571,0.19,21,23,23
151,0.1435,0.1435,0.14,21,23,23
153,0.1761,0.1761,0.15,20,23,22
155,0.1848,0.1848,0.21,19,23,21
157,0.1848,0.2255,0.16,19,23,21
159,0.2549,0.2413,0.28,18,23,20
161,0.2549,0.2549,0.33,18,23,20
163,0.2549,0.2413,0.33,18,23,20
165,0.2413,0.2413,0.17,18,23,20
167,0.2413,0.2413,0.17,18,23,20
169,0.2413,0.2549,0.33,18,23,20
171,0.2413,0.2413,0.22,18,23,20
