move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.18,39,39,39
3,0.0,0.0272,0.18,39,39,39
5,0.0,0.0,0.18,39,39,39
7,0.0348,0.0484,0.11,38,39,38
9,0.0457,0.0457,0.19,37,39,37
11,0.0457,0.0457,0.19,37,39,37
13,0.0457,0.0592,0.3,37,39,37
15,0.0457,0.0592,0.11,37,39,37
17,0.0783,0.0918,0.06,36,39,36
19,0.0783,0.0783,0.19,36,39,36
21,0.1348,0.1348,0.23,35,39,35
23,0.1348,0.1484,0.14,35,39,35
25,0.1348,0.1348,0.14,35,39,35
27,0.1457,0.1457,0.15,34,39,34
29,0.2109,0.2245,0.12,32,39,32
31,0.1565,0.1837,0.16,31,38,32
33,0.1891,0.2163,0.23,30,38,31
35,0.1891,0.1891,0.2,30,38,31
37,0.2217,0.2217,0.07,29,38,30
39,0.1652,0.1652,0.14,28,37,30
41,0.1543,0.1815,0.04,27,36,30
43,0.1,0.1,0.19,26,35,30
45,0.0435,0.0435,0.32,25,34,30
47,0.0435,0.0571,0.08,25,34,30
49,0.0435,0.0435,0.04,25,34,30
51,0.0326,0.0326,0.08,24,33,30
53,0.0326,0.0598,0.17,24,33,30
55,0.0326,0.0462,0.17,24,33,30
57,0.0326,0.0326,0.21,24,33,30
59,0.0326,0.0326,0.12,24,33,30
61,0.0652,0.0652,0.25,24,33,29
63,0.0652,0.0788,0.25,24,33,29
65,0.0674,0.081,0.21,24,33,29
67,0.0674,0.081,0.21,24,33,29
69,0.0109,0.0109,0.13,23,32,29
71,0.0109,0.038,0.04,23,32,29
73,0.0109,0.0245,0.26,23,32,29
75,0.0674,0.0946,0.09,22,32,28
77,0.1543,0.1543,0.18,22,32,27
79,0.2196,0.2467,0.15,20,32,25
81,0.2196,0.2332,0.2,20,32,25
83,0.2522,0.2793,0.42,19,32,24
85,0.2522,0.2793,0.26,19,32,24
87,0.2522,0.2658,0.16,19,32,24
89,0.2522,0.2793,0.21,19,32,24
91,0.2522,0.2522,0.26,19,32,24
93,0.2522,0.2522,0.11,19,32,24
95,0.2522,0.2658,0.21,19,32,24
97,0.2522,0.2522,0.32,19,32,24
99,0.2522,0.2658,0.37,19,32,24
101,0.2522,0.2522,0.11,19,32,24
103,0.2522,0.2522,0.32,19,32,24
105,0.2522,0.2522,0.11,19,32,24
107,0.2848,0.2848,0.28,18,32,23
109,0.1739,0.1739,0.24,17,31,23
111,0.1739,0.1739,0.35,17,31,23
113,0.1739,0.2011,0.18,17,31,23
115,0.2283,0.2418,0.29,17,31,22
117,0.2283,0.2418,0.24,17,31,22
119,0.2391,0.2391,0.38,16,31,21
121,0.2391,0.2527,0.19,16,31,21
123,0.2391,0.2527,0.25,16,31,21
125,0.2391,0.2527,0.31,16,31,21
127,0.2391,0.2527,0.31,16,31,21
129,0.2283,0.2283,0.4,15,30,21
131,0.2283,0.2418,0.33,15,30,21
133,0.263,0.2766,0.29,14,30,20
135,0.263,0.263,0.57,14,30,20
137,0.2739,0.2739,0.46,13,30,19
139,0.2739,0.2739,0.38,13,30,19
141,0.2875,0.2739,0.15,13,30,19
143,0.2739,0.2739,0.54,13,30,19
145,0.2739,0.2875,0.31,13,30,19
147,0.2739,0.3011,0.31,13,30,19
149,0.2984,0.2984,0.33,12,30,18
151,0.2984,0.2984,0.42,12,30,18
153,0.2984,0.2984,0.42,12,30,18
155,0.2984,0.312,0.33,12,30,18
157,0.2962,0.2962,0.25,12,29,17
159,0.2962,0.3098,0.42,12,29,17
161,0.2962,0.3098,0.25,12,29,17
163,0.2962,0.3098,0.25,12,28,16
165,0.2962,0.3098,0.5,12,28,16
167,0.2962,0.2962,0.33,12,28,16
169,0.2962,0.3098,0.5,12,28,16
171,0.2962,0.2962,0.42,12,28,16
173,0.2962,0.3098,0.5,12,28,16
175,0.3446,0.3446,0.58,12,28,15
177,0.3554,0.3554,0.36,11,28,14
179,0.3446,0.331,0.6,10,27,14
181,0.331,0.331,0.5,10,27,14
183,0.331,0.3174,0.7,10,27,14
185,0.331,0.3174,0.3,10,27,14
187,0.3418,0.3283,0.56,9,27,13
189,0.3418,0.3283,0.44,9,27,13
191,0.3418,0.3418,0.78,9,27,13
193,0.3418,0.3418,0.22,9,27,13
195,0.3984,0.3848,0.5,8,27,12
197,0.431,0.4446,0.43,7,27,11
199,0.431,0.4174,0.57,7,27,11
201,0.431,0.431,0.29,7,27,11
203,0.4853,0.4853,0.43,7,27,10
205,0.4989,0.4989,1.0,7,27,10
207,0.4989,0.4989,0.71,7,27,10
209,0.4989,0.4853,0.71,7,27,10
211,0.4853,0.4853,1.0,7,27,10
213,0.5533,0.5533,1.0,6,27,9
215,0.5533,0.5533,1.0,6,27,9
217,0.5533,0.5261,0.67,6,27,9
219,0.5533,0.5533,1.0,6,27,9
221,0.5533,0.5397,0.67,6,27,9
223,0.5533,0.5533,0.67,6,27,9
225,0.5533,0.5533,0.67,6,27,9
227,0.5533,0.5261,0.67,6,27,9
229,0.5859,0.5859,0.6,5,27,8
231,0.5859,0.5723,0.6,5,27,8
233,0.5859,0.5723,0.6,5,27,8
235,0.5859,0.5859,0.6,5,27,8
237,0.5859,0.5587,0.6,5,27,8
239,0.5859,0.5859,0.6,5,27,8
241,0.5859,0.5859,0.6,5,27,8
243,0.5859,0.5859,0.6,5,27,8
245,0.5859,0.5859,1.0,5,27,8
247,0.5859,0.5859,1.0,5,27,8
249,0.5859,0.5859,0.6,5,27,8
251,0.5859,0.5859,1.0,5,27,8
253,0.5859,0.5723,0.6,5,27,8
255,0.5511,0.5511,1.0,5,26,8
257,0.5511,0.5511,0.6,5,26,8
259,0.5375,0.5375,1.0,5,26,8
261,0.5511,0.5239,0.6,5,26,8
263,0.5375,0.5375,0.6,5,26,8
265,0.5511,0.5511,0.6,5,26,8
267,0.5511,0.5511,0.6,5,26,8
269,0.5511,0.5511,1.0,5,26,8
271,0.5511,0.5511,1.0,5,26,8
273,0.5533,0.5533,0.6,5,26,8
275,0.5511,0.5511,0.6,5,26,8
277,0.5511,0.5511,1.0,5,26,8
279,0.5511,0.5375,0.6,5,26,8
281,0.5511,0.5511,1.0,5,26,8
283,0.5511,0.5511,1.0,5,26,8
285,0.5647,0.5647,1.0,5,26,8
287,0.5511,0.5511,0.6,5,26,8
289,0.5647,0.5647,1.0,5,26,8
291,0.5511,0.5375,0.6,5,26,8
293,0.5511,0.5511,0.6,5,26,8
295,0.5511,0.5375,0.6,5,26,8
297,0.5533,0.5533,1.0,5,26,8
299,0.5533,0.5261,0.6,5,26,8
301,0.5533,0.5397,0.6,5,26,8
303,0.5533,0.5397,0.6,5,26,8
305,0.5533,0.5533,0.6,5,26,8
307,0.5533,0.5397,0.6,5,26,8
309,0.5533,0.5397,0.6,5,26,8
311,0.5511,0.5375,0.6,5,26,8
313,0.5511,0.5511,1.0,5,26,8
315,0.5511,0.5239,0.6,5,26,8
317,0.5511,0.5239,0.6,5,26,8
319,0.5511,0.5511,1.0,5,26,8
321,0.5533,0.5397,0.6,5,26,8
323,0.5533,0.5533,0.6,5,26,8
325,0.5402,0.513,0.5,4,25,8
327,0.5402,0.5402,0.5,4,25,8
329,0.5402,0.5402,0.5,4,25,8
331,0.5402,0.513,0.5,4,25,8
333,0.5402,0.5402,1.0,4,25,8
335,0.5424,0.5424,0.5,4,25,8
337,0.5424,0.5424,1.0,4,25,8
339,0.6511,0.6375,0.5,4,25,7
