move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.05,40,40,40
3,0.0109,0.0245,0.15,39,40,39
5,0.0109,0.0109,0.21,39,40,39
7,0.0109,0.038,0.13,39,40,39
9,0.0109,0.0109,0.08,39,40,39
11,0.0435,0.0435,0.26,38,40,38
13,0.0435,0.0435,0.11,38,40,38
15,0.0435,0.0707,0.08,38,40,38
17,0.0435,0.0707,0.13,38,40,38
19,0.0761,0.0761,0.27,37,40,37
21,0.0435,0.0707,0.08,36,39,37
23,0.0978,0.0978,0.14,36,39,36
25,0.0978,0.125,0.06,36,39,36
27,-0.0109,-0.0109,0.14,35,38,36
29,-0.0109,0.0163,0.09,35,38,36
31,-0.0109,-0.0109,0.14,35,38,36
33,-0.0109,0.0163,0.11,35,38,36
35,-0.0109,0.0163,0.11,35,38,36
37,-0.0217,-0.0217,0.15,34,37,36
39,-0.0804,-0.0804,0.09,33,36,36
41,-0.0435,-0.0435,0.12,33,36,35
43,-0.0457,-0.0457,0.27,33,36,35
45,0.0652,0.0652,0.15,33,36,34
47,0.0652,0.0652,0.09,33,36,34
49,0.0652,0.0788,0.21,33,36,34
51,0.0761,0.0761,0.12,32,36,33
53,0.0761,0.0761,0.06,32,36,33
55,0.0761,0.0761,0.13,31,35,32
57,0.0761,0.0761,0.19,31,35,32
59,0.0761,0.0761,0.32,31,35,32
61,0.0761,0.0761,0.16,31,35,32
63,0.063,0.063,0.2,30,34,32
65,0.0978,0.0978,0.17,30,34,31
67,0.0978,0.1114,0.17,30,34,31
69,0.0978,0.1114,0.17,30,34,31
71,0.1109,0.1109,0.21,29,34,30
73,0.1109,0.1245,0.14,29,34,30
75,0.1109,0.1109,0.1,29,34,30
77,0.1435,0.1571,0.21,28,34,29
79,0.087,0.1005,0.07,27,33,29
81,0.087,0.087,0.26,27,33,29
83,0.0891,0.0891,0.22,27,33,29
85,0.087,0.1005,0.11,27,33,29
87,0.1217,0.1217,0.23,26,33,28
89,0.1196,0.1196,0.19,26,33,28
91,0.1196,0.1467,0.19,26,33,28
93,0.1174,0.1446,0.08,26,33,28
95,0.0848,0.0848,0.31,26,32,28
97,0.1413,0.1549,0.19,26,32,27
99,0.1413,0.1821,0.08,25,31,26
101,0.1304,0.1304,0.0,24,30,26
103,0.1304,0.1712,0.12,24,30,26
105,0.0761,0.0761,0.13,23,29,26
107,0.0761,0.0761,0.22,23,29,26
109,0.0761,0.0761,0.04,23,29,26
111,0.0761,0.0761,0.26,23,29,26
113,0.0761,0.1033,0.13,23,29,26
115,0.0761,0.0761,0.13,23,29,26
117,0.0761,0.0761,0.22,23,29,26
119,0.087,0.1005,0.27,22,29,25
121,0.087,0.1141,0.23,22,29,25
123,0.087,0.087,0.14,22,29,25
125,0.0848,0.112,0.27,22,29,25
127,0.0848,0.1255,0.05,22,29,25
129,0.0522,0.0522,0.27,22,28,25
131,0.0522,0.0522,0.23,22,28,25
133,0.0543,0.0543,0.18,22,28,25
135,0.0652,0.0652,0.05,21,28,24
137,0.0652,0.0788,0.14,21,28,24
139,0.0652,0.106,0.25,20,27,23
141,0.0652,0.106,0.15,20,27,23
143,0.0652,0.106,0.05,20,27,23
145,0.0739,0.0875,0.16,19,27,22
147,0.063,0.0766,0.16,19,26,22
149,0.0652,0.106,0.11,19,25,21
151,0.0652,0.106,0.21,19,25,21
153,0.0652,0.0924,0.21,19,25,21
155,0.0652,0.106,0.11,19,25,21
157,0.0652,0.0652,0.16,19,25,21
159,0.1196,0.1467,0.17,18,25,20
161,0.1196,0.1603,0.17,18,25,20
163,0.1174,0.1582,0.28,18,25,20
165,0.1152,0.1424,0.22,18,25,20
167,0.1174,0.1174,0.06,17,24,19
169,0.1174,0.1582,0.18,17,24,19
171,0.1196,0.1603,0.18,17,24,19
173,0.1196,0.1196,0.47,17,24,19
175,0.1196,0.1467,0.41,17,24,19
177,0.1739,0.1739,0.41,17,24,18
179,0.1739,0.1739,0.47,17,24,18
181,0.1739,0.2147,0.18,17,24,18
183,0.1739,0.2147,0.24,17,24,18
185,0.1848,0.1984,0.06,16,24,17
187,0.1848,0.2255,0.31,16,24,17
189,0.1848,0.1848,0.25,16,24,17
191,0.1522,0.1793,0.31,16,23,17
193,0.1522,0.1929,0.31,16,23,17
195,0.1522,0.1522,0.38,16,23,17
197,0.1522,0.1929,0.31,16,23,17
199,0.1478,0.175,0.5,16,23,17
201,0.1152,0.1424,0.33,15,22,17
203,0.1582,0.1853,0.2,15,22,16
205,0.1603,0.1875,0.2,15,22,16
207,0.1495,0.1495,0.21,14,21,16
209,0.1386,0.1522,0.08,13,20,16
211,0.1386,0.1793,0.31,13,20,16
213,0.1386,0.1658,0.23,13,20,16
215,0.1386,0.1793,0.15,13,20,16
217,0.1386,0.1658,0.31,13,20,16
219,0.1386,0.1793,0.15,13,20,16
221,0.1386,0.1386,0.31,13,20,16
223,0.1386,0.1793,0.23,13,20,16
225,0.1386,0.1522,0.15,13,20,16
227,0.0842,0.1114,0.0,13,19,16
229,0.0842,0.125,0.31,13,19,16
231,0.0842,0.125,0.23,13,19,16
233,0.0842,0.0842,0.38,13,19,16
235,0.0864,0.1272,0.15,13,19,16
237,0.1,0.1272,0.08,13,19,16
239,0.1,0.1272,0.08,13,19,16
241,0.1,0.1272,0.23,13,19,16
243,0.0978,0.1114,0.08,13,19,16
245,0.0978,0.125,0.15,13,19,16
247,0.0978,0.125,0.23,13,19,16
249,-0.013,-0.013,0.17,12,18,16
251,-0.013,0.0141,0.17,12,18,16
253,-0.013,-0.013,0.0,12,18,16
255,-0.013,-0.0266,0.33,12,18,16
257,-0.0152,-0.0152,0.17,12,18,16
259,-0.0397,-0.0533,0.36,11,17,16
261,-0.094,-0.1076,0.18,11,16,16
263,-0.0962,-0.112,0.09,11,16,16
265,-0.094,-0.094,0.6,10,15,15
267,-0.094,-0.1076,0.3,10,15,15
269,-0.0918,-0.1054,0.4,10,14,14
271,-0.0918,-0.0647,0.4,10,14,14
