move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.12,40,40,40
2,0.0,0.0,0.1,40,40,40
4,0.0109,0.0109,0.15,39,40,39
6,-0.0435,-0.0435,0.24,38,39,39
8,-0.0435,-0.0435,0.18,38,39,39
10,-0.0435,-0.0435,0.18,38,39,39
12,-0.0435,-0.0435,0.11,37,38,38
14,0.0652,0.0652,0.11,37,38,37
16,-0.0435,-0.0435,0.19,36,37,37
18,-0.0435,-0.0435,0.19,36,37,37
20,-0.0435,-0.0435,0.14,36,37,37
22,-0.0457,-0.0457,0.14,36,37,37
24,-0.0109,-0.0109,0.17,35,37,36
26,-0.0109,-0.0109,0.14,35,37,36
28,0.0022,0.0022,0.2,35,37,35
30,0.0022,0.0022,0.11,35,37,35
32,-0.0326,-0.0326,0.12,34,36,35
34,-0.0435,-0.0435,0.09,34,35,35
36,0.013,0.013,0.12,34,35,34
38,0.013,0.013,0.21,34,35,34
40,0.013,0.013,0.09,34,35,34
42,0.013,0.013,0.21,34,35,34
44,0.0239,0.0375,0.09,33,35,33
46,0.0239,0.0239,0.15,33,35,33
48,0.0239,0.0375,0.15,33,35,33
50,0.0239,0.0239,0.12,33,35,33
52,-0.0109,-0.0109,0.09,32,34,33
54,0.0239,0.0239,0.19,32,34,32
56,0.0239,0.0239,0.19,32,34,32
58,0.0239,0.0239,0.06,31,33,31
60,0.0239,0.0239,0.16,31,33,31
62,0.0239,0.0239,0.19,31,33,31
64,0.0239,0.0239,0.23,31,33,31
66,0.0217,0.0196,0.23,31,33,31
68,0.0348,0.0348,0.1,30,33,30
70,0.0348,0.0348,0.17,30,33,30
72,0.0348,0.0348,0.17,30,33,30
74,0.0348,0.0348,0.1,30,33,30
76,0.0457,0.0457,0.1,29,33,29
78,0.0435,0.0707,0.14,29,33,29
80,0.0435,0.0571,0.1,29,33,29
82,0.0435,0.0435,0.21,29,33,29
84,-0.0109,-0.0109,0.14,28,32,29
86,-0.0109,-0.0109,0.21,28,32,29
88,0.0435,0.0435,0.22,27,32,28
90,0.0435,0.0435,0.15,27,32,28
92,0.0435,0.0435,0.26,27,32,28
94,0.0457,0.0457,0.11,27,32,28
96,0.0435,0.0435,0.26,27,32,28
98,-0.0152,-0.0152,0.15,26,31,28
100,0.0217,0.0217,0.08,26,31,27
102,0.0196,0.0196,0.19,26,31,27
104,0.0217,0.0217,0.15,26,31,27
106,0.0239,0.0239,0.19,26,31,27
108,0.0239,0.0239,0.19,26,31,27
110,0.0239,0.0239,0.23,26,31,27
112,0.0217,0.0217,0.27,26,31,27
114,0.0217,0.0217,0.12,26,31,27
116,0.0217,0.0217,0.19,26,31,27
118,0.0217,0.0217,0.27,26,31,27
120,0.0217,0.0217,0.15,26,31,27
122,0.0217,0.0217,0.12,26,31,27
124,0.0217,0.0217,0.27,26,31,27
126,0.0217,0.0217,0.27,26,31,27
128,0.0196,0.0196,0.19,26,31,27
130,-0.0891,-0.0755,0.15,26,30,27
132,-0.0891,-0.0891,0.15,26,30,27
134,-0.087,-0.087,0.27,26,30,27
136,-0.087,-0.087,0.27,26,30,27
138,-0.0848,-0.0848,0.19,26,30,27
140,-0.0848,-0.0848,0.19,26,30,27
142,-0.087,-0.087,0.24,25,29,26
144,-0.087,-0.087,0.12,25,29,26
146,-0.087,-0.087,0.12,25,29,26
148,-0.0761,-0.0761,0.17,24,29,25
150,-0.0761,-0.0761,0.12,24,29,25
152,-0.0761,-0.0761,0.08,24,29,25
154,-0.0783,-0.0783,0.25,24,29,25
156,0.0326,0.0326,0.12,24,29,24
158,0.0326,0.0326,0.25,24,29,24
160,0.0326,0.0326,0.17,24,29,24
162,0.0326,0.0326,0.08,24,29,24
164,0.0196,0.0196,0.22,23,28,24
166,0.0196,0.0196,0.17,23,28,24
168,-0.013,-0.013,0.26,23,27,24
170,0.0435,0.0435,0.26,23,27,23
172,0.0435,0.0571,0.17,23,27,23
174,0.0435,0.0435,0.35,23,27,23
176,0.0435,0.0435,0.13,23,27,23
178,0.0435,0.0435,0.13,23,27,23
180,0.0413,0.0413,0.17,23,27,23
182,0.0304,0.0304,0.18,22,26,23
184,0.0304,0.044,0.23,22,26,23
186,0.0326,0.0326,0.18,22,25,22
188,0.0326,0.0326,0.14,22,25,22
190,0.0304,0.0304,0.32,22,25,22
192,0.0652,0.0652,0.24,21,25,21
194,0.0674,0.0674,0.19,21,25,21
196,0.0652,0.0652,0.1,21,25,21
198,0.0304,0.0304,0.25,20,24,21
200,0.0304,0.0304,0.05,20,24,21
202,0.0196,0.0196,0.05,20,23,21
204,-0.013,0.0005,0.1,20,22,21
206,-0.081,-0.0674,0.3,20,21,21
