move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.17,40,40,40
2,0.0,0.0,0.07,40,40,40
4,0.0,0.0,0.28,39,39,39
6,0.0,0.0,0.08,39,39,39
8,-0.0109,-0.0109,0.16,38,38,39
10,-0.0109,-0.0109,0.21,38,37,38
12,-0.0109,-0.0109,0.29,38,37,38
14,-0.0109,-0.0109,0.11,38,37,38
16,-0.0109,-0.0109,0.16,38,37,38
18,-0.0109,-0.0109,0.13,38,37,38
20,-0.0109,-0.0109,0.16,38,37,38
22,-0.0109,-0.0109,0.11,38,37,38
24,-0.0109,-0.0109,0.16,38,37,38
26,-0.0109,-0.0109,0.11,38,37,38
28,-0.0087,-0.0087,0.26,38,37,38
30,0.0022,0.0022,0.19,37,37,37
32,0.013,0.013,0.08,36,37,36
34,0.013,0.013,0.17,36,37,36
36,-0.0087,-0.0087,0.06,34,36,35
38,-0.0087,-0.0087,0.15,34,36,35
40,-0.0087,-0.0087,0.18,34,36,35
42,-0.0087,-0.0087,0.24,34,36,35
44,-0.0109,-0.0109,0.12,34,36,35
46,-0.0109,-0.0109,0.15,34,36,35
48,-0.013,-0.013,0.03,34,36,35
50,-0.013,-0.013,0.09,34,36,35
52,-0.013,-0.013,0.15,34,36,35
54,-0.013,-0.013,0.15,34,36,35
56,-0.013,-0.013,0.18,34,36,35
58,-0.013,-0.013,0.18,34,36,35
60,-0.013,-0.013,0.21,34,36,35
62,-0.013,-0.013,0.12,34,36,35
64,-0.0109,-0.0109,0.29,34,35,34
66,0.1,0.1136,0.12,33,35,33
68,0.1109,0.1109,0.28,32,35,32
70,0.1109,0.1245,0.22,32,35,32
72,0.1652,0.1652,0.13,31,35,31
74,0.1652,0.1652,0.26,31,35,31
76,0.1652,0.1652,0.19,31,35,31
78,0.1652,0.1652,0.13,31,35,31
80,0.1652,0.1788,0.19,31,35,31
82,0.1652,0.1652,0.23,31,35,31
84,0.1652,0.1652,0.13,31,35,31
86,0.1652,0.1652,0.23,31,35,31
88,0.1543,0.1679,0.1,30,34,31
90,0.1543,0.1543,0.2,30,34,31
92,0.1543,0.1543,0.1,30,34,31
94,0.1891,0.1891,0.23,30,34,30
96,0.1891,0.2163,0.07,30,34,30
98,0.0783,0.0783,0.31,29,33,30
100,0.0783,0.0783,0.14,29,33,30
102,0.0783,0.0783,0.17,29,33,30
104,0.0783,0.0783,0.21,29,33,30
106,0.0783,0.0783,0.14,29,33,30
108,0.0783,0.0783,0.14,29,33,30
110,0.1652,0.1652,0.21,28,33,29
112,0.2522,0.2658,0.04,27,33,28
114,0.2522,0.2522,0.22,27,33,28
116,0.2522,0.2522,0.15,27,33,28
118,0.2826,0.2826,0.19,26,33,27
120,0.2848,0.2984,0.23,26,33,27
122,0.2826,0.2826,0.15,26,33,27
124,0.2804,0.2804,0.15,26,33,27
126,0.2826,0.2826,0.27,26,33,27
128,0.2804,0.2918,0.15,26,33,27
130,0.2826,0.2826,0.19,26,33,27
132,0.2826,0.2826,0.19,26,33,27
134,0.2826,0.2826,0.42,26,33,27
136,0.2804,0.2804,0.12,26,33,27
138,0.2826,0.2826,0.19,26,33,27
140,0.2804,0.2804,0.27,26,33,27
142,0.2826,0.2826,0.23,26,33,27
144,0.2826,0.2826,0.19,26,33,27
146,0.2826,0.2826,0.23,26,33,27
148,0.2804,0.2804,0.27,26,33,27
150,0.2826,0.2826,0.27,26,33,27
152,0.2804,0.2804,0.23,26,33,27
154,0.2826,0.2826,0.23,26,33,27
156,0.2826,0.2962,0.23,26,33,27
158,0.2826,0.2826,0.23,26,33,27
160,0.2804,0.2804,0.27,26,33,27
162,0.2826,0.2826,0.23,26,33,27
164,0.2804,0.2783,0.23,26,33,27
166,0.2826,0.2826,0.23,26,33,27
168,0.2826,0.2826,0.31,26,33,27
170,0.2826,0.2826,0.31,26,33,27
172,0.2804,0.2804,0.12,26,33,27
174,0.2826,0.2826,0.15,26,33,27
176,0.2804,0.2804,0.19,26,33,27
178,0.2826,0.2826,0.19,26,33,27
180,0.2826,0.2826,0.31,26,33,27
182,0.2826,0.2826,0.23,26,33,27
184,0.2804,0.2783,0.19,26,33,27
186,0.2826,0.2826,0.15,26,33,27
188,0.2804,0.2804,0.27,26,33,27
190,0.2826,0.2826,0.04,26,33,27
192,0.2826,0.2826,0.23,26,33,27
194,0.2826,0.2826,0.27,26,33,27
196,0.2804,0.2804,0.12,26,33,27
198,0.2826,0.2826,0.23,26,33,27
200,0.2804,0.2804,0.15,26,33,27
202,0.2826,0.2826,0.27,26,33,27
204,0.2826,0.2962,0.27,26,33,27
206,0.2826,0.2826,0.35,26,33,27
208,0.2804,0.2804,0.08,26,33,27
210,0.2826,0.2962,0.23,26,33,27
212,0.2804,0.2804,0.04,26,33,27
