move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.23,40,40,40
2,0.0109,0.0109,0.1,39,40,39
4,0.0109,0.0109,0.18,38,39,38
6,0.0109,0.0109,0.11,38,39,38
8,0.0109,0.0109,0.13,38,39,38
10,0.0,0.0,0.11,37,38,38
12,0.0,0.0,0.16,37,37,37
14,0.0,0.0,0.14,37,37,37
16,0.0,0.0,0.19,37,37,37
18,0.0,0.0,0.05,37,37,37
20,-0.0348,-0.0348,0.17,36,36,37
22,-0.0783,-0.0783,0.21,34,35,36
24,0.0109,0.0109,0.24,34,35,35
26,0.0109,0.0109,0.18,34,35,35
28,0.0109,0.0245,0.09,34,35,35
30,-0.0217,-0.0217,0.18,33,34,35
32,-0.0217,-0.0217,0.12,33,34,35
34,0.0109,0.0109,0.21,33,34,34
36,0.0109,0.0109,0.03,33,34,34
38,0.013,0.013,0.15,33,34,34
40,0.013,0.013,0.24,33,34,34
42,0.013,0.013,0.15,33,34,34
44,0.0435,0.0435,0.19,32,34,33
46,0.0413,0.0413,0.26,31,33,32
48,0.0435,0.0571,0.1,30,32,31
50,0.0978,0.0978,0.1,29,32,30
52,0.0978,0.0978,0.28,29,32,30
54,0.1304,0.1304,0.25,28,32,29
56,0.1304,0.144,0.29,28,32,29
58,0.0978,0.0978,0.22,27,31,29
60,0.0978,0.0978,0.19,27,31,29
62,0.0978,0.0978,0.26,27,31,29
64,0.1522,0.1522,0.15,26,31,28
66,0.1522,0.1522,0.31,26,31,28
68,0.1522,0.1522,0.15,26,31,28
70,0.1522,0.1522,0.27,26,31,28
72,0.1522,0.1522,0.31,26,31,28
74,0.1522,0.1522,0.15,26,31,28
76,0.1522,0.1658,0.15,26,31,28
78,0.15,0.15,0.27,26,31,28
80,0.1391,0.1527,0.08,26,30,28
82,0.1413,0.1549,0.12,26,29,27
84,0.1413,0.1549,0.19,26,29,27
86,0.1304,0.1304,0.32,25,28,27
88,0.1304,0.1304,0.24,25,28,27
90,0.1304,0.144,0.24,25,28,27
92,0.1304,0.1304,0.24,25,28,27
94,0.1304,0.144,0.28,25,28,27
96,0.1109,0.1109,0.26,23,27,26
98,0.1109,0.1245,0.13,23,26,25
100,0.1109,0.1245,0.26,23,26,25
102,0.1109,0.1109,0.35,23,26,25
104,0.1109,0.1109,0.22,23,26,25
106,0.113,0.113,0.17,23,26,25
108,0.113,0.113,0.3,23,26,25
110,0.113,0.113,0.17,23,26,25
112,0.113,0.113,0.22,23,26,25
114,0.113,0.113,0.22,23,26,25
116,0.1457,0.1457,0.26,23,26,24
118,0.1457,0.1457,0.26,23,26,24
120,0.1457,0.1728,0.22,23,26,24
122,0.1565,0.1565,0.23,22,26,23
124,0.1565,0.1701,0.23,22,26,23
126,0.2087,0.2087,0.29,21,25,21
128,0.2087,0.2223,0.24,21,25,21
130,0.2087,0.2087,0.29,21,25,21
132,0.2087,0.2359,0.29,21,25,21
134,0.2087,0.2087,0.25,20,24,20
136,0.2087,0.2359,0.25,20,24,20
138,0.2087,0.2087,0.55,20,24,20
140,0.2109,0.2109,0.4,20,24,20
142,0.2087,0.2223,0.32,19,23,19
144,0.2087,0.2087,0.26,19,23,19
146,0.2087,0.2223,0.21,19,23,19
148,0.2087,0.2495,0.32,19,23,19
150,0.2087,0.2087,0.11,19,23,19
152,0.2087,0.2223,0.32,19,23,19
154,0.2043,0.2179,0.42,19,23,19
156,0.2413,0.2821,0.17,18,23,18
158,0.2413,0.2413,0.39,18,23,18
160,0.2413,0.2413,0.33,18,23,18
162,0.2435,0.2435,0.28,18,23,18
164,0.1848,0.1984,0.31,16,21,17
166,0.1848,0.1984,0.19,16,21,17
168,0.1848,0.1848,0.44,16,21,17
170,0.1848,0.1848,0.62,16,21,17
172,0.187,0.2141,0.25,16,21,17
174,0.1848,0.212,0.31,16,20,16
176,0.1848,0.2255,0.31,16,20,16
178,0.1848,0.1848,0.5,16,20,16
180,0.1712,0.1712,0.5,16,20,16
182,0.1712,0.1712,0.31,16,20,16
184,0.1712,0.1848,0.38,16,20,16
186,0.169,0.169,0.44,16,20,16
188,0.1821,0.1957,0.53,15,20,15
190,0.1821,0.1957,0.4,15,20,15
192,0.1821,0.2228,0.4,15,20,15
194,0.1821,0.1957,0.47,15,20,15
196,0.1821,0.1821,0.47,15,20,15
198,0.1821,0.1957,0.6,15,20,15
200,0.1821,0.1821,0.4,15,20,15
202,0.1821,0.1821,0.47,15,20,15
204,0.1821,0.2092,0.47,15,20,15
206,0.1821,0.1957,0.6,15,20,15
208,0.1821,0.2092,0.6,15,20,15
210,0.1821,0.1821,0.47,15,20,15
212,0.1821,0.2092,0.6,15,20,15
214,0.1821,0.2092,0.6,15,20,15
216,0.1821,0.1821,0.8,15,20,15
218,0.1821,0.2228,0.6,15,20,15
220,0.1821,0.1821,0.73,15,20,15
222,0.1712,0.1984,0.57,14,19,15
224,0.1712,0.1984,0.57,14,19,15
226,0.1712,0.1984,0.5,14,19,15
228,0.1712,0.1984,0.64,14,19,15
230,0.1712,0.1712,0.64,14,19,15
232,0.1712,0.1848,0.43,14,19,15
234,0.1125,0.1261,0.64,14,18,15
236,0.1168,0.144,0.43,14,17,14
238,0.1168,0.1168,0.64,14,17,14
240,0.1299,0.1571,0.46,13,17,13
242,0.1299,0.1435,0.62,13,17,13
244,0.1299,0.1299,0.69,13,17,13
246,0.1299,0.1435,0.69,13,17,13
248,0.1299,0.1299,0.85,13,17,13
250,0.119,0.119,0.67,12,16,13
252,0.119,0.1326,0.5,12,16,13
254,0.119,0.1326,0.58,12,16,13
256,0.119,0.1326,0.67,12,16,13
258,0.119,0.1462,0.42,12,16,13
260,0.119,0.1326,0.58,12,16,13
262,0.119,0.1598,0.58,12,16,13
264,0.119,0.119,0.83,12,16,13
266,0.119,0.1598,0.67,12,16,13
268,0.119,0.119,0.67,12,16,13
270,0.1234,0.1505,0.5,12,16,13
272,0.1234,0.1234,0.67,12,16,13
274,0.1234,0.1641,0.58,12,16,13
276,0.1234,0.1505,0.67,12,16,13
278,0.1234,0.137,0.67,12,16,13
280,0.1234,0.137,0.58,12,16,13
282,0.1364,0.1364,0.82,11,16,12
284,0.169,0.1826,0.6,10,16,11
286,0.1321,0.1321,0.78,9,15,11
288,0.1321,0.1728,0.56,9,15,11
290,0.1321,0.1321,0.78,9,15,11
292,0.1299,0.1707,0.78,9,14,10
294,0.1299,0.1435,0.56,9,14,10
296,0.1299,0.1435,0.56,9,14,10
298,0.1299,0.1571,0.78,9,14,10
300,0.1299,0.1299,1.0,9,14,10
302,0.1299,0.1299,0.78,9,14,10
304,0.1299,0.1571,0.78,9,14,10
306,0.1299,0.1299,0.78,9,14,10
308,0.1299,0.1571,0.56,9,14,10
310,0.1299,0.1842,0.56,9,14,10
312,0.1299,0.1571,0.78,9,14,10
314,0.1299,0.1435,0.56,9,14,10
316,0.1299,0.1571,0.56,9,14,10
318,0.1299,0.1299,0.78,9,14,10
320,0.1299,0.1571,0.78,9,14,10
322,0.1299,0.1571,0.56,9,14,10
324,0.1299,0.1571,0.78,9,14,10
326,0.1299,0.1707,0.56,9,14,10
328,0.1299,0.1299,0.78,9,14,10
330,0.1625,0.2168,0.75,8,14,9
332,0.1625,0.1625,1.0,8,14,9
334,0.1625,0.1761,0.75,8,14,9
336,0.1625,0.1761,0.75,8,14,9
338,0.1951,0.1951,1.0,7,14,8
340,0.1951,0.1951,1.0,7,14,8
342,0.1951,0.1951,1.0,7,14,8
344,0.1995,0.2266,0.71,7,14,8
346,0.1995,0.213,0.71,7,14,8
348,0.1995,0.2266,0.71,7,14,8
350,0.2674,0.2674,0.71,7,14,7
