move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.12,40,40,40
2,0.0,0.0,0.15,40,40,40
4,0.0543,0.0543,0.11,38,39,38
6,0.0543,0.0543,0.05,38,39,38
8,0.0652,0.0652,0.16,37,39,37
10,0.1,0.1,0.08,36,39,36
12,0.0978,0.0978,0.17,35,38,35
14,0.0978,0.0978,0.17,35,38,35
16,0.0978,0.0978,0.14,35,38,35
18,0.0978,0.0978,0.09,35,38,35
20,0.1087,0.1087,0.18,34,38,34
22,0.1196,0.1196,0.18,33,38,33
24,0.1196,0.1196,0.15,33,38,33
26,0.1196,0.1196,0.12,33,38,33
28,0.1196,0.1196,0.09,32,37,32
30,0.1196,0.1196,0.16,32,37,32
32,0.1196,0.1196,0.12,32,37,32
34,0.1196,0.1196,0.06,32,37,32
36,0.1761,0.1761,0.19,31,37,31
38,0.187,0.187,0.23,30,37,30
40,0.2739,0.2739,0.1,29,37,29
42,0.3065,0.3337,0.25,28,37,28
44,0.3065,0.3065,0.18,28,37,28
46,0.2848,0.2848,0.19,26,36,27
48,0.2848,0.2848,0.23,26,36,27
50,0.1848,0.1848,0.25,24,35,26
52,0.1848,0.1848,0.08,24,35,26
54,0.1848,0.1848,0.25,24,35,26
56,0.1848,0.1984,0.29,24,35,26
58,0.1848,0.1984,0.42,24,35,26
60,0.2174,0.231,0.33,24,35,25
62,0.2332,0.2196,0.08,24,35,25
64,0.244,0.244,0.22,23,35,24
66,0.1875,0.1875,0.09,22,34,24
68,0.1875,0.1739,0.09,22,34,24
70,0.1766,0.163,0.29,21,33,24
72,0.1766,0.1766,0.29,21,33,24
74,0.1766,0.1766,0.19,21,33,24
76,0.1766,0.163,0.29,21,33,24
78,0.1766,0.163,0.14,21,33,24
80,0.1766,0.1766,0.24,21,33,24
82,0.1766,0.163,0.14,21,33,24
84,0.1766,0.1902,0.24,21,33,24
86,0.1766,0.1766,0.24,21,33,24
88,0.1766,0.1766,0.14,21,33,24
90,0.1902,0.163,0.29,21,33,24
92,0.2011,0.1875,0.15,20,33,23
94,0.2359,0.2359,0.26,19,33,22
96,0.2359,0.2359,0.26,19,33,22
98,0.2359,0.2223,0.26,19,33,22
100,0.2685,0.2413,0.28,18,33,21
102,0.2685,0.2685,0.22,18,33,21
104,0.2576,0.2576,0.47,17,32,21
106,0.2576,0.2576,0.41,17,32,21
108,0.2576,0.2304,0.47,17,32,21
110,0.2576,0.2304,0.29,17,32,21
112,0.2576,0.2304,0.24,17,32,21
114,0.2576,0.244,0.41,17,32,21
116,0.2576,0.2304,0.29,17,32,21
118,0.2598,0.2462,0.29,17,32,21
120,0.3549,0.3549,0.38,16,32,20
122,0.3875,0.3875,0.47,15,32,19
124,0.4201,0.4201,0.36,14,32,18
126,0.4745,0.4745,0.31,13,32,17
128,0.5614,0.5614,0.17,12,32,16
130,0.594,0.594,0.36,11,32,15
132,0.594,0.6076,0.55,11,32,15
134,0.594,0.594,0.36,11,32,15
136,0.594,0.6212,0.27,11,32,15
138,0.594,0.594,0.45,11,32,15
140,0.594,0.594,0.36,11,32,15
142,0.6484,0.6484,0.6,10,32,14
144,0.681,0.681,0.56,9,32,13
146,0.681,0.6946,0.78,9,32,13
148,0.6946,0.681,0.67,9,32,13
150,0.7272,0.7408,0.5,8,32,12
